"","wordcloud_bigram_vi$ngrams","cat_sent_vi","wordcloud_bigram_vi$freq"
"21681","price given ","Neutral",1
"21682","reply pages ","Neutral",1
"21683","way back ","Neutral",1
"21684","ever"", ""well ","Positive",1
"21685","seemed know ","Neutral",1
"21686","fitted sim ","Positive",1
"21687","implied lying ","Negative",1
"21688","without tablet ","Neutral",1
"21689","saw light ","Neutral",1
"21690","single service ","Neutral",1
"21691","nothing cancelling ","Negative",1
"21692","discovered agreed ","Positive",1
"21693","idea returned ","Neutral",1
"21694","month earlier ","Neutral",1
"21695","days realise ","Neutral",1
"21696","know much ","Neutral",1
"21697","man repeated ","Neutral",1
"21698","service listening ","Neutral",1
"21699","ridiculous considering ","Negative",1
"21700","live cancelled ","Negative",1
"21701","card activated ","Neutral",1
"21702","know paying ","Neutral",1
"21703","details tell ","Neutral",1
"21704","vodafone sought ","Neutral",1
"21705","done mobile"", ","Neutral",1
"21706","complete letter ","Neutral",1
"21707","requested email ","Neutral",1
"21708","morning may ","Neutral",1
"21709","convoluted excuses ","Negative",1
"21710","home broadbandlandline ","Neutral",1
"21711","bye"", 
""st ","Neutral",1
"21712","mid sentence ","Neutral",1
"21713","swansea complain ","Negative",1
"21714","never monthly ","Neutral",1
"21715","succeed receiving ","Positive",1
"21716","first tried ","Neutral",1
"21717","inexcusable downright ","Negative",1
"21718","row asked ","Neutral",1
"21719","phone surname ","Neutral",1
"21720","real companies ","Positive",1
"21721","months courtesy ","Positive",1
"21722","blocked member ","Negative",1
"21723","first interested ","Positive",1
"21724","actually hadnt ","Neutral",1
"21725","passed staff ","Neutral",1
"21726","saving pay ","Positive",1
"21727","phone sims ","Neutral",1
"21728","make charges ","Neutral",1
"21729","porting issue ","Neutral",1
"21730","even sent ","Neutral",1
"21731","one stuck ","Negative",1
"21732","charge refueled ","Neutral",1
"21733","sense loyalty ","Positive",1
"21734","default credit ","Positive",1
"21735","callstexts readdress ","Neutral",1
"21736","response language ","Neutral",1
"21737","cancel remainder ","Negative",1
"21738","happening greeted ","Positive",1
"21739","talking arrogant ","Negative",1
"21740","help allow ","Positive",1
"21741","impossible process ","Negative",1
"21742","calls say ","Neutral",1
"21743","cancelling things ","Negative",1
"21744","blame eyes ","Negative",1
"21745","money modern ","Positive",1
"21746","house hoped ","Neutral",1
"21747","ended confirming ","Neutral",1
"21748","pay vodafone ","Negative",1
"21749","levelbought sim ","Neutral",1
"21750","decided look ","Neutral",1
"21751","useless passed ","Negative",1
"21752","give"", 
""honestly ","Neutral",1
"21753","done calling ","Neutral",1
"21754","th bill ","Neutral",1
"21755","calmly said ","Neutral",1
"21756","trade waiting ","Neutral",1
"21757","recording transcripts ","Neutral",1
"21758","name advice ","Neutral",1
"21759","aware phone ","Neutral",1
"21760","bank explained ","Neutral",1
"21761","finished months ","Neutral",1
"21762","absolute hardest ","Negative",1
"21763","spain made ","Neutral",1
"21764","year experiencing ","Neutral",1
"21765","appalling never ","Negative",1
"21766","issueservice great ","Positive",1
"21767","put mind ","Neutral",1
"21768","putting departments ","Neutral",1
"21769","love threaten ","Neutral",1
"21770","said repair ","Neutral",1
"21771","letter struggled ","Negative",1
"21772","temp hang ","Negative",1
"21773","advertising think ","Neutral",1
"21774","good spoil ","Positive",1
"21775","set apn ","Neutral",1
"21776","reps seem ","Neutral",1
"21777","got money ","Positive",1
"21778","favourif want ","Neutral",1
"21779","end meant ","Neutral",1
"21780","given case ","Neutral",1
"21781","negative rating ","Negative",1
"21782","away steal ","Negative",1
"21783","days give ","Neutral",1
"21784","haven thievespower ","Positive",1
"21785","getting security ","Neutral",1
"21786","bullied paying ","Negative",1
"21787","mistake tells ","Negative",1
"21788","virginmediacharged contracted ","Negative",1
"21789","provided avoid"", ","Negative",1
"21790","phone daughters ","Neutral",1
"21791","real richard ","Positive",1
"21792","blaming handset ","Negative",1
"21793","though last ","Neutral",1
"21794","great now ","Positive",1
"21795","processed promised ","Positive",1
"21796","covering ask ","Neutral",1
"21797","delivered rung ","Neutral",1
"21798","informed ok ","Neutral",1
"21799","info eventually ","Neutral",1
"21800","added data ","Neutral",1
"21801","told delivery ","Positive",1
"21802","u put ","Neutral",1
"21803","complete farce ","Negative",1
"21804","upgrade tariff ","Negative",1
"21805","bad reception ","Negative",1
"21806","customer servicelieshostilitypoor ","Neutral",1
"21807","manager anyone ","Neutral",1
"21808","supposed updated ","Neutral",1
"21809","take pee ","Neutral",1
"21810","whenever asked ","Neutral",1
"21811","dd demands ","Negative",1
"21812","bartholomew send ","Neutral",1
"21813","anyone lycamobile ","Neutral",1
"21814","lots incentives ","Neutral",1
"21815","contract didnt ","Neutral",1
"21816","bb"", ""one ","Neutral",1
"21817","tbh got ","Neutral",1
"21818","question last ","Neutral",1
"21819","per uk ","Neutral",1
"21820","days type ","Neutral",1
"21821","charges dishonestly ","Negative",1
"21822","fixed now ","Neutral",1
"21823","work next ","Positive",1
"21824","try contacting ","Neutral",1
"21825","partner described ","Positive",1
"21826","offer anything ","Positive",1
"21827","cancel forwarded ","Negative",1
"21828","purpose placed ","Neutral",1
"21829","lot agreed ","Positive",1
"21830","morning still ","Neutral",1
"21831","service data ","Neutral",1
"21832","collect money ","Positive",1
"21833","csr idea ","Neutral",1
"21834","therefore lady ","Neutral",1
"21835","soon moving ","Neutral",1
"21836","checks refusing ","Negative",1
"21837","really learned ","Neutral",1
"21838","building fufuu ","Positive",1
"21839","""rubbish mobile ","Negative",1
"21840","
""using vm ","Neutral",1
"21841","s got ","Neutral",1
"21842","rating needed ","Neutral",1
"21843","case opened ","Neutral",1
"21844","expected period ","Neutral",1
"21845","noted bill ","Positive",1
"21846","pricesdata boundle ","Neutral",1
"21847","hassle"", 
""retention ","Negative",1
"21848","gaff namely ","Negative",1
"21849","changed account ","Neutral",1
"21850","ago lost ","Negative",1
"21851","customer past ","Neutral",1
"21852","awaiting update ","Neutral",1
"21853","treat consumers ","Neutral",1
"21854","calls different ","Neutral",1
"21855","mb mb ","Neutral",1
"21856","unlimited nothing ","Positive",1
"21857","ever taking ","Neutral",1
"21858","service forget ","Negative",1
"21859","angry aggressive ","Negative",1
"21860","hide"", ""option ","Positive",1
"21861","claim trying ","Neutral",1
"21862","three transfer ","Neutral",1
"21863","call realised ","Neutral",1
"21864","better improve ","Positive",1
"21865","pay call ","Negative",1
"21866","delay csr ","Negative",1
"21867","ill advised ","Negative",1
"21868","checking first ","Neutral",1
"21869","absolutely terrible ","Negative",1
"21870","elsewhere shocked ","Negative",1
"21871","sells directly ","Neutral",1
"21872","going usa ","Neutral",1
"21873","cancel make ","Negative",1
"21874","told looked ","Neutral",1
"21875","go choose ","Neutral",1
"21876","send next ","Neutral",1
"21877","hardly using ","Neutral",1
"21878","inform gone ","Neutral",1
"21879","within month ","Neutral",1
"21880","sit aimlessly ","Neutral",1
"21881","elsewhere avoid"", ","Negative",1
"21882","loyalty deals ","Positive",1
"21883","services keep ","Neutral",1
"21884","lie pass ","Negative",1
"21885","done one ","Neutral",1
"21886","tesco calling ","Neutral",1
"21887","gaff great"", ","Positive",1
"21888","along pure ","Positive",1
"21889","details passed ","Neutral",1
"21890","money november"", ","Positive",1
"21891","unresolvedevery time ","Neutral",1
"21892","set payg ","Neutral",1
"21893","always saying ","Neutral",1
"21894","necessary network ","Neutral",1
"21895","easier leave ","Positive",1
"21896","work money ","Positive",1
"21897","knows skys ","Neutral",1
"21898","whole brand ","Neutral",1
"21899","tv series ","Neutral",1
"21900","rudely said ","Neutral",1
"21901","troubleshooting multiple ","Neutral",1
"21902","previous call ","Neutral",1
"21903","airtime sounds ","Neutral",1
"21904","settings call ","Neutral",1
"21905","street closed ","Neutral",1
"21906","little ever ","Neutral",1
"21907","data trying ","Neutral",1
"21908","great thought ","Positive",1
"21909","told unless ","Neutral",1
"21910","£ something ","Neutral",1
"21911","still provided ","Neutral",1
"21912","person access ","Neutral",1
"21913","received one ","Positive",1
"21914","completely different ","Positive",1
"21915","terriblenobody seems ","Neutral",1
"21916","ago fit ","Positive",1
"21917","anyone concluded ","Neutral",1
"21918","simple one ","Neutral",1
"21919","proper network"", ","Positive",1
"21920","lines away ","Neutral",1
"21921","know fixed ","Neutral",1
"21922","sim realized ","Neutral",1
"21923","internally lodge ","Neutral",1
"21924","problems mind ","Negative",1
"21925","webchat email ","Neutral",1
"21926","sim best ","Positive",1
"21927","talk wife ","Positive",1
"21928","saddenly without ","Neutral",1
"21929","cool need ","Positive",1
"21930","id recieved ","Neutral",1
"21931","even confused ","Negative",1
"21932","sort many ","Neutral",1
"21933","split money ","Positive",1
"21934","plan guys"", ","Neutral",1
"21935","confirmed belief ","Positive",1
"21936","yearswill cancelling ","Negative",1
"21937","inviting new ","Positive",1
"21938","money foster ","Positive",1
"21939","joke bought ","Positive",1
"21940","team ignores ","Negative",1
"21941","creating nothing ","Neutral",1
"21942","comms companies"", ","Neutral",1
"21943","immediately couple ","Neutral",1
"21944","carrier number ","Neutral",1
"21945","likes proof ","Positive",1
"21946","ee now ","Neutral",1
"21947","neighbour found ","Positive",1
"21948","bt copying ","Neutral",1
"21949","recording explain ","Neutral",1
"21950","supposed come ","Neutral",1
"21951","reconnected promised ","Positive",1
"21952","though new ","Positive",1
"21953","order laughable ","Negative",1
"21954","including credit ","Positive",1
"21955","taken contract ","Neutral",1
"21956","stars opinion"", ","Neutral",1
"21957","sorted phone ","Neutral",1
"21958","mobile disconnect ","Negative",1
"21959","billing question ","Neutral",1
"21960","leave take ","Negative",1
"21961","leaving school ","Neutral",1
"21962","amazon unlock ","Neutral",1
"21963","mom say ","Neutral",1
"21964","confirmation hours ","Neutral",1
"21965","order need ","Neutral",1
"21966","like short ","Positive",1
"21967","new respect ","Positive",1
"21968","leaving long ","Neutral",1
"21969","retailer cases ","Neutral",1
"21970","upset now ","Negative",1
"21971","way less ","Neutral",1
"21972","deals guess ","Neutral",1
"21973","back stolen ","Negative",1
"21974","due backlog ","Neutral",1
"21975","mean nothing ","Neutral",1
"21976","resolve never ","Positive",1
"21977","save quid ","Positive",1
"21978","somewhere"", ""worst ","Negative",1
"21979","services joke ","Positive",1
"21980","upgraded samsung ","Positive",1
"21981","scream frustration ","Negative",1
"21982","allowance finished ","Neutral",1
"21983","hold said ","Neutral",1
"21984","connection decided ","Neutral",1
"21985","beginning awful ","Negative",1
"21986","network quite ","Neutral",1
"21987","one reason ","Positive",1
"21988","number ceased ","Neutral",1
"21989","language country ","Neutral",1
"21990","till connected ","Neutral",1
"21991","argued one ","Neutral",1
"21992","warned"", 
""offering ","Negative",1
"21993","note concerns ","Negative",1
"21994","still still ","Neutral",1
"21995","idea talking ","Neutral",1
"21996","new bag ","Positive",1
"21997","forced pay ","Negative",1
"21998","
""good deal ","Positive",1
"21999","paid call ","Neutral",1
"22000","cancelled phone ","Negative",1
"22001","shipping address ","Neutral",1
"22002","work guys ","Positive",1
"22003","yes months ","Positive",1
"22004","trained job ","Neutral",1
"22005","prob updates ","Neutral",1
"22006","put whole ","Neutral",1
"22007","delivery mobile ","Positive",1
"22008","company read ","Neutral",1
"22009","help case ","Neutral",1
"22010","hint security ","Neutral",1
"22011","min wait ","Negative",1
"22012","anyway sent ","Neutral",1
"22013","""changed mobile ","Neutral",1
"22014","barge pole ","Neutral",1
"22015","developed new ","Positive",1
"22016","correct"", 
""absolutely ","Positive",1
"22017","inept go ","Negative",1
"22018","capabilities didn ","Positive",1
"22019","supplied samsung ","Neutral",1
"22020","presumably triggering ","Neutral",1
"22021","almost daily ","Neutral",1
"22022","seller manage ","Positive",1
"22023","husband argued ","Neutral",1
"22024","store requested ","Neutral",1
"22025","line yet ","Neutral",1
"22026","caught lie ","Negative",1
"22027","happy customers ","Positive",1
"22028","maybe know ","Neutral",1
"22029","pushing long ","Neutral",1
"22030","decent manager ","Positive",1
"22031","company tried ","Neutral",1
"22032","soon boarding ","Neutral",1
"22033","missold contract ","Neutral",1
"22034","competent agents ","Positive",1
"22035","mobile"", ""took ","Neutral",1
"22036","attitude help ","Neutral",1
"22037","oversees employees ","Neutral",1
"22038","lucky next ","Positive",1
"22039","happens multiple ","Neutral",1
"22040","problem sorted"", ","Negative",1
"22041","code different ","Neutral",1
"22042","ha neighbour ","Neutral",1
"22043","fleabite topped ","Neutral",1
"22044","run hundreds ","Neutral",1
"22045","service reinstated ","Neutral",1
"22046","casethursday called ","Neutral",1
"22047","taking good ","Positive",1
"22048","case incurred ","Neutral",1
"22049","company offered ","Neutral",1
"22050","centre disappointed ","Negative",1
"22051","mental breakdown ","Negative",1
"22052","time given ","Neutral",1
"22053","service going ","Neutral",1
"22054","july received ","Positive",1
"22055","totally unlimited ","Positive",1
"22056","issues team ","Neutral",1
"22057","charging sim ","Neutral",1
"22058","deal"", 
""turns ","Positive",1
"22059","talk advisers ","Positive",1
"22060","moved smarty ","Neutral",1
"22061","saving £mo ","Positive",1
"22062","happy ask ","Positive",1
"22063","mobile may ","Neutral",1
"22064","tried register ","Neutral",1
"22065","mobile useless ","Negative",1
"22066","free however ","Positive",1
"22067","globe thick ","Neutral",1
"22068","number cut ","Negative",1
"22069","wish leave ","Positive",1
"22070","code three ","Neutral",1
"22071","minute local ","Neutral",1
"22072","experience"", 
""absolutely ","Neutral",1
"22073","block lifted ","Negative",1
"22074","move last ","Neutral",1
"22075","within letter ","Neutral",1
"22076","plus internet ","Neutral",1
"22077","lifetime discountporting ","Neutral",1
"22078","dispatched blah ","Negative",1
"22079","paying mobile ","Neutral",1
"22080","condensation damage ","Negative",1
"22081","days customer ","Neutral",1
"22082","questions day ","Neutral",1
"22083","providers moral ","Positive",1
"22084","paying sarted ","Neutral",1
"22085","system information ","Positive",1
"22086","still gb ","Neutral",1
"22087","won case ","Positive",1
"22088","expensive network ","Negative",1
"22089","idiots absolutely ","Negative",1
"22090","contact phone ","Positive",1
"22091","going continue ","Positive",1
"22092","simple benefited ","Neutral",1
"22093","resolved properly ","Positive",1
"22094","want sorted ","Neutral",1
"22095","shiny telephone ","Positive",1
"22096","never good ","Positive",1
"22097","copy statement ","Neutral",1
"22098","worst least ","Negative",1
"22099","like wanted ","Positive",1
"22100","recommend going ","Positive",1
"22101","supposed pay ","Negative",1
"22102","pay absolutely ","Negative",1
"22103","otherwise £ ","Neutral",1
"22104","mobile introduce ","Neutral",1
"22105","manager openly ","Positive",1
"22106","know technical ","Neutral",1
"22107","details anything ","Neutral",1
"22108","anything seems ","Neutral",1
"22109","department utter ","Neutral",1
"22110","know happened ","Neutral",1
"22111","allowed add ","Neutral",1
"22112","roxan told ","Neutral",1
"22113","sending old ","Neutral",1
"22114","due g ","Neutral",1
"22115","taking long ","Neutral",1
"22116","allowed complain ","Negative",1
"22117","request remove ","Negative",1
"22118","
""give zero ","Neutral",1
"22119","winding retain ","Neutral",1
"22120","credibility increases ","Positive",1
"22121","
""sim tarriff ","Neutral",1
"22122","problem setting ","Negative",1
"22123","number minutes ","Neutral",1
"22124","never issueskeep ","Neutral",1
"22125","also good ","Positive",1
"22126","passion everyone ","Positive",1
"22127","manager building ","Positive",1
"22128","usual practice ","Positive",1
"22129","work time ","Positive",1
"22130","everything advised ","Neutral",1
"22131","tell available ","Positive",1
"22132","problems caused ","Negative",1
"22133","
""data service ","Neutral",1
"22134","staff state ","Neutral",1
"22135","understanding completely ","Positive",1
"22136","downright disgrace ","Negative",1
"22137","well great ","Positive",1
"22138","recently moved ","Neutral",1
"22139","company causing ","Neutral",1
"22140","busy number ","Neutral",1
"22141","else experience ","Neutral",1
"22142","tomorrow phone ","Neutral",1
"22143","away tracking ","Neutral",1
"22144","tho try ","Neutral",1
"22145","process finding ","Neutral",1
"22146","sentlong story ","Neutral",1
"22147","anything bad ","Negative",1
"22148","think needed ","Neutral",1
"22149","charge shhiit ","Neutral",1
"22150","think improving ","Positive",1
"22151","review read ","Neutral",1
"22152","costs taking ","Neutral",1
"22153","shame media ","Negative",1
"22154","
""load crapp ","Neutral",1
"22155","hell advertise ","Negative",1
"22156","leave greek ","Negative",1
"22157","better data ","Positive",1
"22158","mobilegoodbye mobile ","Neutral",1
"22159","nothing hours ","Neutral",1
"22160","another product"", ","Neutral",1
"22161","either saying ","Neutral",1
"22162","online log ","Neutral",1
"22163","are"", ""wanted ","Neutral",1
"22164","like percent ","Positive",1
"22165","text price ","Neutral",1
"22166","calling poor ","Negative",1
"22167","providing best ","Positive",1
"22168","house time ","Neutral",1
"22169","thought try ","Neutral",1
"22170","toggle mobile ","Neutral",1
"22171","contract fee ","Negative",1
"22172","passive demographic ","Negative",1
"22173","use excessive ","Negative",1
"22174","disconnect found ","Neutral",1
"22175","listen kept ","Neutral",1
"22176","said packs ","Neutral",1
"22177","insurance via ","Neutral",1
"22178","bill go ","Neutral",1
"22179","queue woman ","Neutral",1
"22180","knocked unfortunately ","Negative",1
"22181","golden era ","Positive",1
"22182","support stink ","Neutral",1
"22183","planned receive ","Neutral",1
"22184","days running ","Neutral",1
"22185","customer waiting ","Neutral",1
"22186","address charged ","Neutral",1
"22187","issues cancel ","Negative",1
"22188","proper communication ","Positive",1
"22189","caring loyal ","Positive",1
"22190","contractyes know ","Neutral",1
"22191","bangladeshi staff ","Neutral",1
"22192","times monthly ","Neutral",1
"22193","sort guess ","Neutral",1
"22194","time seemed ","Neutral",1
"22195","alterations ultimately ","Neutral",1
"22196","misleading bogus ","Negative",1
"22197","sayingomg see ","Neutral",1
"22198","tell please ","Positive",1
"22199","upset publish ","Negative",1
"22200","management contact ","Positive",1
"22201","elsewhere anybody ","Neutral",1
"22202","idea spent ","Negative",1
"22203","fully systems ","Positive",1
"22204","network everything ","Neutral",1
"22205","later cut ","Negative",1
"22206","fault handset ","Negative",1
"22207","sorted month ","Neutral",1
"22208","recording fake ","Negative",1
"22209","estimate spent ","Negative",1
"22210","tech services ","Neutral",1
"22211","lied store ","Negative",1
"22212","debit surprised ","Neutral",1
"22213","
""took month ","Neutral",1
"22214","customers never ","Neutral",1
"22215","interested profits ","Positive",1
"22216","stop changing ","Negative",1
"22217","set standing ","Neutral",1
"22218","phone line ","Neutral",1
"22219","letter offering ","Neutral",1
"22220","explained concern ","Negative",1
"22221","complaint reference ","Negative",1
"22222","listen even ","Neutral",1
"22223","chose deduct ","Negative",1
"22224","chased bag ","Neutral",1
"22225","ever soon ","Neutral",1
"22226","stating issue ","Neutral",1
"22227","cut cable ","Negative",1
"22228","setting things ","Neutral",1
"22229","email site ","Neutral",1
"22230","dodgy update ","Neutral",1
"22231","decline window ","Negative",1
"22232","without briefing ","Neutral",1
"22233","causing almost ","Neutral",1
"22234","lying now ","Negative",1
"22235","lying customers ","Negative",1
"22236","year"", 
""rude ","Negative",1
"22237","call hours ","Neutral",1
"22238","repaired phone ","Neutral",1
"22239","abroad companies ","Neutral",1
"22240","dead person ","Negative",1
"22241","t exist ","Neutral",1
"22242","offers best ","Positive",1
"22243","team always ","Neutral",1
"22244","duty care ","Positive",1
"22245","costs"", 
""poor ","Negative",1
"22246","plan quid ","Neutral",1
"22247","shame appalling ","Negative",1
"22248","stock presumably ","Neutral",1
"22249","cut another ","Negative",1
"22250","service ladies ","Neutral",1
"22251","appears deeply ","Neutral",1
"22252","registered take ","Neutral",1
"22253","data pounds ","Neutral",1
"22254","codes wanted ","Neutral",1
"22255","s premium ","Neutral",1
"22256","nonlocal accent ","Neutral",1
"22257","issues credit ","Positive",1
"22258","frustration times ","Negative",1
"22259","working page ","Positive",1
"22260","good nothing ","Positive",1
"22261","weeks direct ","Neutral",1
"22262","understand working ","Positive",1
"22263","package wife ","Neutral",1
"22264","service model ","Positive",1
"22265","englishcalling since ","Neutral",1
"22266","blocked behind ","Negative",1
"22267","thing new ","Positive",1
"22268","instead monthly ","Neutral",1
"22269","according say ","Neutral",1
"22270","purchased one ","Neutral",1
"22271","area next ","Neutral",1
"22272","bill th ","Neutral",1
"22273","stars legacy ","Positive",1
"22274","activated working ","Positive",1
"22275","customers replyquestion ","Neutral",1
"22276","everything mainly ","Neutral",1
"22277","repair now ","Neutral",1
"22278","told black ","Negative",1
"22279","say acutally ","Neutral",1
"22280","condescending dismissive ","Negative",1
"22281","told expired ","Negative",1
"22282","cheeky phone ","Neutral",1
"22283","saying t ","Neutral",1
"22284","bad tell ","Negative",1
"22285","else don ","Neutral",1
"22286","ago called ","Neutral",1
"22287","month bases ","Neutral",1
"22288","got family ","Neutral",1
"22289","warn run ","Negative",1
"22290","acknowledge mistakes ","Negative",1
"22291","incident th ","Negative",1
"22292","including mobile ","Positive",1
"22293","unimpressed customer ","Negative",1
"22294","rubbers"", 
""sould ","Neutral",1
"22295","elected change ","Neutral",1
"22296","bad feeling ","Negative",1
"22297","prob phonedef ","Neutral",1
"22298","away james"", ","Neutral",1
"22299","help eat ","Positive",1
"22300","fully gone ","Positive",1
"22301","laughable seriously ","Negative",1
"22302","damage short ","Negative",1
"22303","back pcp ","Neutral",1
"22304","february back ","Neutral",1
"22305","chase refund ","Positive",1
"22306","usage minimal ","Neutral",1
"22307","different answers ","Neutral",1
"22308","ur number ","Neutral",1
"22309","debit let ","Neutral",1
"22310","describe way ","Neutral",1
"22311","block straight ","Positive",1
"22312","texts people ","Neutral",1
"22313","address used ","Neutral",1
"22314","people laughing ","Positive",1
"22315","recorded system ","Neutral",1
"22316","told fix ","Neutral",1
"22317","fraudulently using ","Neutral",1
"22318","cancel dreading ","Negative",1
"22319","excited receive ","Positive",1
"22320","mobile behave ","Neutral",1
"22321","language barriers ","Neutral",1
"22322","plus take ","Neutral",1
"22323","cancel starts ","Negative",1
"22324","signal piggy ","Neutral",1
"22325","unused rollover ","Neutral",1
"22326","feedback"", 
""customer ","Neutral",1
"22327","reasonable prices ","Positive",1
"22328","sim months ","Neutral",1
"22329","available give"", ","Positive",1
"22330","using old ","Neutral",1
"22331","g updated ","Neutral",1
"22332","includes tariff ","Negative",1
"22333","opted daily ","Neutral",1
"22334","leave tell ","Negative",1
"22335","signal flipping ","Neutral",1
"22336","totalling yes ","Positive",1
"22337","""probably worse ","Negative",1
"22338","offered never ","Neutral",1
"22339","time report ","Neutral",1
"22340","appalling experience ","Negative",1
"22341","wish looked ","Positive",1
"22342","mins month ","Neutral",1
"22343","kitchen backgroundshouting ","Neutral",1
"22344","took age ","Neutral",1
"22345","going stop ","Negative",1
"22346","therefore easy ","Positive",1
"22347","warehouse got ","Neutral",1
"22348","shocked reviews ","Negative",1
"22349","eligible upgrade ","Positive",1
"22350","given complaint ","Negative",1
"22351","tits ring ","Neutral",1
"22352","media details ","Neutral",1
"22353","emergency use ","Negative",1
"22354","total madness ","Negative",1
"22355","beleave"", ""customer ","Neutral",1
"22356","address checks ","Neutral",1
"22357","need"", 
""recently ","Neutral",1
"22358","customers attempt ","Neutral",1
"22359","charges added ","Neutral",1
"22360","either useless ","Negative",1
"22361","justice situation ","Positive",1
"22362","accused truly ","Negative",1
"22363","took twenty ","Neutral",1
"22364","hours claim ","Neutral",1
"22365","vodafone customer ","Neutral",1
"22366","contract bag ","Neutral",1
"22367","different browser ","Neutral",1
"22368","overall service ","Neutral",1
"22369","hand text ","Neutral",1
"22370","able check ","Neutral",1
"22371","abroad iof ","Neutral",1
"22372","case decide ","Neutral",1
"22373","business used ","Neutral",1
"22374","care media ","Positive",1
"22375","worked calls ","Positive",1
"22376","ninth explaining ","Neutral",1
"22377","call foreign ","Negative",1
"22378","tried log ","Neutral",1
"22379","centre week ","Neutral",1
"22380","poor rating ","Negative",1
"22381","abused clearly ","Negative",1
"22382","know amount ","Neutral",1
"22383","leaving calls ","Neutral",1
"22384","backs letters ","Neutral",1
"22385","service disgusting ","Negative",1
"22386","come asked ","Neutral",1
"22387","explain send ","Neutral",1
"22388","calls longterm ","Neutral",1
"22389","begining took ","Neutral",1
"22390","uk apn ","Neutral",1
"22391","peanut monkeys ","Neutral",1
"22392","sim credit ","Positive",1
"22393","reply toms ","Neutral",1
"22394","respectively without ","Neutral",1
"22395","checked days ","Neutral",1
"22396","bad word ","Negative",1
"22397","english robot ","Neutral",1
"22398","emailing resort ","Neutral",1
"22399","centre know ","Neutral",1
"22400","clarification someone ","Neutral",1
"22401","however date ","Neutral",1
"22402","delivery changed ","Positive",1
"22403","lose shocking ","Negative",1
"22404","nothing scam ","Negative",1
"22405","feels like ","Positive",1
"22406","supervise disgrace ","Negative",1
"22407","contract providers ","Neutral",1
"22408","now charging ","Neutral",1
"22409","managed mobile ","Neutral",1
"22410","ever terrible ","Negative",1
"22411","agreementprecontract credit ","Positive",1
"22412","come hours ","Neutral",1
"22413","phone overpaid ","Negative",1
"22414","charged customers ","Neutral",1
"22415","service keeping ","Neutral",1
"22416","supposed days ","Neutral",1
"22417","phone deactivated ","Neutral",1
"22418","act law ","Neutral",1
"22419","finished £ ","Neutral",1
"22420","fraudelent company ","Neutral",1
"22421","one operators ","Neutral",1
"22422","go miles ","Neutral",1
"22423","frustrated dealing ","Negative",1
"22424","problem tell ","Negative",1
"22425","option retentions ","Positive",1
"22426","""shocking warranty ","Negative",1
"22427","appalling speaking ","Negative",1
"22428","nothing eventually ","Neutral",1
"22429","hospital without ","Neutral",1
"22430","customers fibre ","Neutral",1
"22431","reception dropped ","Neutral",1
"22432","phone sorting ","Neutral",1
"22433","else market ","Neutral",1
"22434","call account ","Neutral",1
"22435","minuets don ","Neutral",1
"22436","help whatsoever ","Neutral",1
"22437","patronising litterly ","Neutral",1
"22438","confirmed actually ","Positive",1
"22439","deals difficult ","Negative",1
"22440","monthy costs ","Neutral",1
"22441","least helpful ","Positive",1
"22442","avoid pack ","Negative",1
"22443","sims minimum ","Neutral",1
"22444","term thought ","Neutral",1
"22445","stand britain ","Neutral",1
"22446","distance worst ","Negative",1
"22447","charge months ","Neutral",1
"22448","nearly two ","Neutral",1
"22449","short hav ","Neutral",1
"22450","""poor service ","Negative",1
"22451","download usual ","Positive",1
"22452","got words ","Neutral",1
"22453","thing moving ","Neutral",1
"22454","experiences entirely ","Neutral",1
"22455","cost forget ","Negative",1
"22456","absolutely horrendous"", ","Negative",1
"22457","years complaints ","Negative",1
"22458","nearly every ","Neutral",1
"22459","noticed first ","Neutral",1
"22460","emailed inform ","Neutral",1
"22461","roaming great ","Positive",1
"22462","rep clearly ","Positive",1
"22463","provider mobile ","Neutral",1
"22464","excellent endevoured ","Positive",1
"22465","sim used ","Neutral",1
"22466","unhelpful appalled ","Negative",1
"22467","spanking new ","Positive",1
"22468","understand old ","Neutral",1
"22469","information order ","Positive",1
"22470","received lovely ","Positive",1
"22471","behalf appreciated ","Positive",1
"22472","sending picture ","Neutral",1
"22473","days probably ","Neutral",1
"22474","digital system ","Neutral",1
"22475","joe public ","Neutral",1
"22476","fifty pounds ","Neutral",1
"22477","deliverycustomer services ","Neutral",1
"22478","though thought ","Neutral",1
"22479","phone funds ","Neutral",1
"22480","contract carphone ","Neutral",1
"22481","disconnected within ","Negative",1
"22482","paper declaring ","Neutral",1
"22483","asda contact ","Positive",1
"22484","yet processed ","Neutral",1
"22485","""minutes sim ","Neutral",1
"22486","part entered ","Neutral",1
"22487","scenario acceptable ","Positive",1
"22488","let pass ","Neutral",1
"22489","times calls ","Neutral",1
"22490","days complete ","Neutral",1
"22491","promised charge ","Positive",1
"22492","probably idea ","Neutral",1
"22493","one name ","Neutral",1
"22494","totally acted ","Neutral",1
"22495","providing value ","Positive",1
"22496","see buy ","Neutral",1
"22497","explaining plan ","Neutral",1
"22498","recommend dying ","Neutral",1
"22499","card open ","Neutral",1
"22500","fools ever ","Negative",1
"22501","month turn ","Neutral",1
"22502","emails later ","Neutral",1
"22503","accent worst ","Negative",1
"22504","media contract"", ","Neutral",1
"22505","give wide ","Neutral",1
"22506","lie keep ","Negative",1
"22507","interrogate new ","Positive",1
"22508","delivered today ","Neutral",1
