"","wordcloud_bigram_vi$ngrams","cat_sent_vi","wordcloud_bigram_vi$freq"
"336","media mobile ","Neutral",7
"337","local store ","Neutral",7
"338","order cancelled ","Negative",7
"339","called complain ","Negative",7
"340","feel like ","Positive",7
"341","phone work ","Positive",7
"342","day called ","Neutral",7
"343","taking money ","Positive",7
"344","one thing ","Neutral",7
"345","data £ ","Neutral",7
"346","back days ","Neutral",7
"347","deal £ ","Positive",7
"348","service provider ","Neutral",7
"349","placed order ","Neutral",7
"350","back hours ","Neutral",7
"351","overseas call ","Neutral",7
"352","text message ","Neutral",7
"353","received letter ","Positive",7
"354","staff rude ","Negative",7
"355","wrong information ","Negative",7
"356","resolve problem ","Positive",7
"357","data service ","Neutral",7
"358","one phone ","Neutral",7
"359","data charges ","Neutral",7
"360","£ extra ","Positive",7
"361","make sure ","Neutral",7
"362","time called ","Neutral",7
"363","use company ","Neutral",7
"364","
""customer service ","Neutral",7
"365","account number ","Neutral",7
"366","ee network ","Neutral",7
"367","month ago ","Neutral",7
"368","said need ","Neutral",7
"369","paying £ ","Neutral",7
"370","many people ","Neutral",7
"371","phone still ","Neutral",7
"372","spoke someone ","Neutral",7
"373","indian call ","Neutral",7
"374","avoid company ","Negative",7
"375","monthly bill ","Neutral",7
"376","take hours ","Neutral",7
"377","etc etc ","Neutral",7
"378","black friday ","Negative",7
"379","monthly sim ","Neutral",7
"380","go allowance ","Neutral",7
"381","still waiting ","Neutral",7
"382","trying sort ","Neutral",7
"383","order number ","Neutral",7
"384","well clear ","Positive",7
"385","mobile network ","Neutral",7
"386","phone now ","Neutral",7
"387","upgrade phone ","Neutral",7
"388","sim activated ","Neutral",7
"389","make receive ","Neutral",6
"390","complaints team ","Negative",6
"391","mobile uk ","Neutral",6
"392","sim deals ","Neutral",6
"393","phone days ","Neutral",6
"394","back time ","Neutral",6
"395","new customer ","Positive",6
"396","sales rep ","Neutral",6
"397","customer satisfaction ","Neutral",6
"398","£ phone ","Neutral",6
"399","got text ","Neutral",6
"400","hear back ","Neutral",6
"401","phone returned ","Neutral",6
"402","sent bill ","Neutral",6
"403","sim sent ","Neutral",6
"404","got call ","Neutral",6
"405","second time ","Neutral",6
"406","number phone ","Neutral",6
"407","home phone ","Neutral",6
"408","using data ","Neutral",6
"409","said phone ","Neutral",6
"410","days now ","Neutral",6
"411","sim arrived ","Neutral",6
"412","one account ","Neutral",6
"413","hard understand ","Negative",6
"414","credit card ","Positive",6
"415","told one ","Neutral",6
"416","someone call ","Neutral",6
"417","say call ","Neutral",6
"418","worst mobile ","Negative",6
"419","uk call ","Neutral",6
"420","asked call ","Neutral",6
"421","solve problem ","Positive",6
"422","first bill ","Neutral",6
"423","cancellation fee ","Negative",6
"424","eligible iphone ","Positive",6
"425","broadband tv ","Neutral",6
"426","email telling ","Neutral",6
"427","uk based ","Neutral",6
"428","mobile accounts ","Neutral",6
"429","minutes later ","Neutral",6
"430","explain everything ","Neutral",6
"431","third party ","Neutral",6
"432","phone times ","Neutral",6
"433","customer experience ","Neutral",6
"434","customer mobile ","Neutral",6
"435","return phone ","Neutral",6
"436","call said ","Neutral",6
"437","answer questions ","Neutral",6
"438","£ even ","Neutral",6
"439","service now ","Neutral",6
"440","went back ","Neutral",6
"441","new handset ","Positive",6
"442","stopped working ","Negative",6
"443","sent email ","Neutral",6
"444","next month ","Neutral",6
"445","able use ","Neutral",6
"446","sim plan ","Neutral",6
"447","finally got ","Positive",6
"448","extra month ","Positive",6
"449","told order ","Neutral",6
"450","absolute joke ","Positive",6
"451","t know ","Neutral",6
"452","took days ","Neutral",6
"453","phone bill ","Neutral",6
"454","rude customer ","Negative",6
"455","tried cancel ","Negative",6
"456","sim went ","Neutral",6
"457","samsung s ","Neutral",6
"458","last month ","Neutral",6
"459","stay away"", ","Neutral",6
"460","contract even ","Neutral",6
"461","monthly payments ","Neutral",6
"462","pretty much ","Positive",6
"463","pay fee ","Negative",6
"464","contacted customer ","Neutral",6
"465","another network ","Neutral",6
"466","now left ","Neutral",6
"467","security question ","Neutral",6
"468","
""terrible customer ","Negative",6
"469","hour phone ","Neutral",6
"470","ordered iphone ","Neutral",6
"471","rude unhelpful ","Negative",6
"472","decided cancel ","Negative",6
"473","contract go ","Neutral",6
"474","calling card ","Neutral",6
"475","better deals ","Positive",6
"476","without knowledge ","Positive",6
"477","pay contract ","Negative",6
"478","gb £ ","Neutral",6
"479","service worst ","Negative",6
"480","still received ","Positive",6
"481","receive incoming ","Neutral",6
"482","different provider ","Neutral",6
"483","roaming charges ","Neutral",6
"484","sim contracts ","Neutral",6
"485","made mistake ","Negative",6
"486","pac codes ","Neutral",6
"487","satisfaction guarantee ","Positive",6
"488","told wait ","Negative",6
"489","unlock code ","Neutral",6
"490","still phone ","Neutral",6
"491","still resolved ","Positive",6
"492","later received ","Positive",6
"493","make complaint ","Negative",6
"494","worst service ","Negative",6
"495","using phone ","Neutral",6
"496","hours trying ","Neutral",6
"497","mobile internet ","Neutral",6
"498","phoned told ","Neutral",6
"499","contract due ","Neutral",6
"500","numerous times ","Neutral",6
"501","£ monthly ","Neutral",6
"502","got bill ","Neutral",6
"503","poor signal ","Negative",6
"504","last years ","Neutral",6
"505","let know ","Neutral",6
"506","spoke said ","Neutral",6
"507","good true ","Positive",6
"508","now told ","Neutral",6
"509","going back ","Neutral",6
"510","said ok ","Neutral",6
"511","cancel within ","Negative",6
"512","even give ","Neutral",6
"513","service mobile ","Neutral",6
"514","now phone ","Neutral",6
"515","account closed ","Neutral",6
"516","told now ","Neutral",6
"517","credit checks ","Positive",6
"518","service said ","Neutral",6
"519","call helpline ","Neutral",6
"520","want leave ","Negative",6
"521","last months ","Neutral",6
"522","three months ","Neutral",6
"523","got told ","Neutral",6
"524","extra £ ","Positive",6
"525","new provider ","Positive",6
"526","phone week ","Neutral",5
"527","go wrong ","Negative",5
"528","wanted leave ","Negative",5
"529","ask speak ","Neutral",5
"530","hung phone ","Neutral",5
"531","far better ","Positive",5
"532","miles away ","Neutral",5
"533","mobile got ","Neutral",5
"534","phone working ","Positive",5
"535","fix issue ","Neutral",5
"536","told everything ","Neutral",5
"537","now cancelled ","Negative",5
"538","send another ","Neutral",5
"539","decided leave ","Negative",5
"540","another sim ","Neutral",5
"541","dont know ","Neutral",5
"542","t use ","Neutral",5
"543","even offer ","Positive",5
"544","give pac ","Neutral",5
"545","ever misfortune ","Negative",5
"546","now going ","Neutral",5
"547","raised complaint ","Negative",5
"548","service phone ","Neutral",5
"549","wait hours ","Negative",5
"550","made clear ","Positive",5
"551","resolve issues ","Positive",5
"552","access online ","Neutral",5
"553","sim work ","Positive",5
"554","haven t ","Positive",5
"555","next bill ","Neutral",5
"556","want cancel ","Negative",5
"557","phone signal ","Neutral",5
"558","now say ","Neutral",5
"559","give us ","Neutral",5
"560","phone asked ","Neutral",5
"561","got passed ","Neutral",5
"562","said going ","Neutral",5
"563","doubt worst ","Negative",5
"564","told wrong ","Negative",5
"565","tesco mobile ","Neutral",5
"566","time phone ","Neutral",5
"567","m told ","Neutral",5
"568","called said ","Neutral",5
"569","etc told ","Neutral",5
"570","great customer ","Positive",5
"571","card details ","Neutral",5
"572","phone contracts ","Neutral",5
"573","said problem ","Negative",5
"574","cost £ ","Neutral",5
"575","said manager ","Neutral",5
"576","number call ","Neutral",5
"577","english language ","Neutral",5
"578","phone trying ","Neutral",5
"579","man said ","Neutral",5
"580","information given ","Positive",5
"581","online chat ","Neutral",5
"582","good one ","Positive",5
"583","order parked ","Neutral",5
"584","incompetent staff ","Negative",5
"585","minutes call ","Neutral",5
"586","please stay ","Positive",5
"587","speak supervisor ","Neutral",5
"588","anywhere near ","Neutral",5
