"","wordcloud_bigram_oo$ngrams","cat_sent_oo","wordcloud_bigram_oo$freq"
"47501","process set ","Neutral",1
"47502","truth beats ","Positive",1
"47503","phone collection ","Neutral",1
"47504","person rude ","Negative",1
"47505","waiting hold ","Neutral",1
"47506","o gutted ","Neutral",1
"47507","star even ","Positive",1
"47508","store months ","Neutral",1
"47509","travel automatically ","Neutral",1
"47510","forget toothless ","Negative",1
"47511","fail say ","Negative",1
"47512","error thorough ","Negative",1
"47513","opt end ","Neutral",1
"47514","original sum ","Neutral",1
"47515","told explicitly ","Neutral",1
"47516","ex ee ","Neutral",1
"47517","jan change ","Neutral",1
"47518","cut demand ","Negative",1
"47519","sale nothing ","Neutral",1
"47520","apparently spoke ","Neutral",1
"47521","lies says ","Negative",1
"47522","waiting years ","Neutral",1
"47523","sms bank ","Neutral",1
"47524","anything"", 
""absolutely ","Neutral",1
"47525","customer couple ","Neutral",1
"47526","database prepared ","Positive",1
"47527","wish given ","Positive",1
"47528","problem tomorrow ","Negative",1
"47529","throw o ","Neutral",1
"47530","available asked ","Positive",1
"47531","amazon decent ","Positive",1
"47532","go something ","Neutral",1
"47533","someone sort ","Neutral",1
"47534","cost sensible ","Positive",1
"47535","mark started ","Neutral",1
"47536","inquiry question ","Neutral",1
"47537","around dealing ","Neutral",1
"47538","calls dropped ","Neutral",1
"47539","query rejection ","Negative",1
"47540","consumer chance ","Positive",1
"47541","company"", ""recently ","Neutral",1
"47542","""spend mins ","Neutral",1
"47543","africa think"", ","Neutral",1
"47544","explanation ombudsman ","Neutral",1
"47545","""overcharged £ ","Neutral",1
"47546","nice o ","Positive",1
"47547","even regret ","Negative",1
"47548","sent backok ","Neutral",1
"47549","star existing ","Positive",1
"47550","today simple ","Neutral",1
"47551","wanted buy ","Neutral",1
"47552","professional manner"", ","Positive",1
"47553","repairs say ","Neutral",1
"47554","done signed ","Neutral",1
"47555","standards swansea ","Neutral",1
"47556","months customer ","Neutral",1
"47557","followingsend handset ","Neutral",1
"47558","significantly terms ","Neutral",1
"47559","since joined ","Positive",1
"47560","sharp tactics ","Negative",1
"47561","despite lots ","Neutral",1
"47562","seems e ","Neutral",1
"47563","rival provider ","Negative",1
"47564","ones find ","Neutral",1
"47565","collect owed ","Neutral",1
"47566","better"", ""four ","Positive",1
"47567","payg service ","Neutral",1
"47568","calling discovered ","Neutral",1
"47569","tomorrow reached ","Neutral",1
"47570","much worse ","Negative",1
"47571","predicament well ","Positive",1
"47572","interested funny ","Positive",1
"47573","signal means ","Neutral",1
"47574","reflecting company ","Neutral",1
"47575","accident also ","Negative",1
"47576","unwanted items ","Negative",1
"47577","spend least ","Neutral",1
"47578","strong area ","Positive",1
"47579","extortion money ","Negative",1
"47580","vodafone much ","Neutral",1
"47581","message issues ","Neutral",1
"47582","bugs bad ","Negative",1
"47583","yet order ","Neutral",1
"47584","support say ","Positive",1
"47585","banks fault ","Negative",1
"47586","wasted money ","Negative",1
"47587","day live ","Neutral",1
"47588","letter lowell ","Neutral",1
"47589","battle lots ","Negative",1
"47590","pay one ","Negative",1
"47591","wet downpour ","Neutral",1
"47592","tried absolutely ","Neutral",1
"47593","authorised card ","Neutral",1
"47594","admit keep ","Positive",1
"47595","poor billing ","Negative",1
"47596","however husband ","Neutral",1
"47597","
""title says ","Neutral",1
"47598","excuse keep ","Negative",1
"47599","service retail ","Neutral",1
"47600","dealing directly ","Neutral",1
"47601","sell anything ","Neutral",1
"47602","never try ","Neutral",1
"47603","non existence ","Neutral",1
"47604","hung seems ","Neutral",1
"47605","hours contacting ","Neutral",1
"47606","depth wife ","Negative",1
"47607","three daughter ","Positive",1
"47608","providers first ","Neutral",1
"47609","access even ","Neutral",1
"47610","amazingly poor ","Neutral",1
"47611","contradict one ","Negative",1
"47612","""getting extra ","Positive",1
"47613","card arrived ","Neutral",1
"47614","information deceive ","Negative",1
"47615","use times ","Neutral",1
"47616","go run ","Neutral",1
"47617","say cancelling ","Negative",1
"47618","service existing ","Neutral",1
"47619","care consumer"", ","Positive",1
"47620","invalid invalid ","Negative",1
"47621","number kept ","Neutral",1
"47622","delivery refuses ","Negative",1
"47623","charge due ","Neutral",1
"47624","stage now ","Neutral",1
"47625","answering phones ","Neutral",1
"47626","lg something ","Neutral",1
"47627","serve went ","Neutral",1
"47628","service t ","Neutral",1
"47629","time ago ","Neutral",1
"47630","action cancellation ","Positive",1
"47631","efficient friendly ","Positive",1
"47632","hold next ","Neutral",1
"47633","managing responsible ","Positive",1
"47634","minutes thankfully ","Neutral",1
"47635","shocking central ","Negative",1
"47636","score far ","Neutral",1
"47637","means query ","Neutral",1
"47638","times space ","Neutral",1
"47639","lines continued ","Neutral",1
"47640","quid decided ","Neutral",1
"47641","telefonica ombudsman ","Neutral",1
"47642","miss khan ","Neutral",1
"47643","jobs"", ""trying ","Neutral",1
"47644","agreements late ","Negative",1
"47645","even money ","Positive",1
"47646","payed twice ","Neutral",1
"47647","contract searching ","Neutral",1
"47648","entire account ","Neutral",1
"47649","additional items ","Positive",1
"47650","legal right ","Positive",1
"47651","know give ","Neutral",1
"47652","geuss manager ","Neutral",1
"47653","told reach ","Neutral",1
"47654","turned minute ","Neutral",1
"47655","need explain ","Neutral",1
"47656","£ balance ","Positive",1
"47657","t rely ","Neutral",1
"47658","carried even ","Neutral",1
"47659","imagine pain ","Negative",1
"47660","problem phone"", ","Negative",1
"47661","drives store ","Neutral",1
"47662","""use two ","Neutral",1
"47663","pound cheaper ","Neutral",1
"47664","dated back ","Neutral",1
"47665","called oxford ","Neutral",1
"47666","definitely paying ","Neutral",1
"47667","else yet ","Neutral",1
"47668","passed billing ","Neutral",1
"47669","billing pay ","Negative",1
"47670","thing keep ","Neutral",1
"47671","never cheaperalways ","Neutral",1
"47672","one largest ","Neutral",1
"47673","arriving guys ","Neutral",1
"47674","usually sim ","Neutral",1
"47675","bothered tell ","Negative",1
"47676","originally manager ","Neutral",1
"47677","week loyal ","Positive",1
"47678","s great ","Positive",1
"47679","parents tickets ","Neutral",1
"47680","sack aswell"", ","Negative",1
"47681","nothing attitude ","Neutral",1
"47682","u useless ","Negative",1
"47683","wrong type ","Negative",1
"47684","contacting every ","Neutral",1
"47685","amazon wrong ","Negative",1
"47686","works cheaper ","Positive",1
"47687","care keeping ","Positive",1
"47688","bars less"", ","Neutral",1
"47689","luckily phone ","Positive",1
"47690","might even ","Neutral",1
"47691","ported yet ","Neutral",1
"47692","months long ","Neutral",1
"47693","close first ","Neutral",1
"47694","customer newold ","Neutral",1
"47695","honestly dont ","Neutral",1
"47696","emails wot ","Neutral",1
"47697","ended changed ","Neutral",1
"47698","never talk ","Positive",1
"47699","billing team ","Neutral",1
"47700","seem able ","Neutral",1
"47701","""whatever contract ","Neutral",1
"47702","continued stay ","Neutral",1
"47703","business"", ""o ","Neutral",1
"47704","expected case ","Neutral",1
"47705","responded making ","Neutral",1
"47706","say cleared ","Positive",1
"47707","date o ","Neutral",1
"47708","little warning ","Negative",1
"47709","""want hate ","Negative",1
"47710","s staff ","Neutral",1
"47711","bags mean ","Neutral",1
"47712","reasonable level ","Positive",1
"47713","fault now ","Negative",1
"47714","lacking skills ","Negative",1
"47715","seperate cost ","Neutral",1
"47716","proffessional manner ","Neutral",1
"47717","gave insurance ","Neutral",1
"47718","coverage worst ","Negative",1
"47719","ridiculous much ","Negative",1
"47720","recycle still ","Neutral",1
"47721","online send ","Neutral",1
"47722","support nightmare ","Negative",1
"47723","us something ","Neutral",1
"47724","phone leave"", ","Negative",1
"47725","call recordings ","Neutral",1
"47726","internet purchases ","Neutral",1
"47727","massive problems ","Negative",1
"47728","deserve recognition ","Positive",1
"47729","months business ","Neutral",1
"47730","basis know ","Neutral",1
"47731","bill several ","Neutral",1
"47732","round houses ","Neutral",1
"47733","times fault ","Negative",1
"47734","crediting wifes ","Neutral",1
"47735","start review ","Neutral",1
"47736","biggest communication ","Neutral",1
"47737","time sorted ","Neutral",1
"47738","longer reticently ","Neutral",1
"47739","much self ","Neutral",1
"47740","lacks integrity ","Positive",1
"47741","see convince ","Positive",1
"47742","new mobilecontract ","Positive",1
"47743","activate swopped ","Neutral",1
"47744","services nothing ","Neutral",1
"47745","mins data ","Neutral",1
"47746","days meantime ","Neutral",1
"47747","upset treatment ","Negative",1
"47748","fed paying ","Neutral",1
"47749","downhill well ","Positive",1
"47750","credits charges ","Neutral",1
"47751","even angry ","Negative",1
"47752","though took ","Neutral",1
"47753","refund receive ","Positive",1
"47754","dealing also ","Neutral",1
"47755","away phoned ","Neutral",1
"47756","many phones ","Neutral",1
"47757","moment contract ","Neutral",1
"47758","told place ","Neutral",1
"47759","aswell still ","Neutral",1
"47760","freezing continues ","Negative",1
"47761","paygoing complain ","Negative",1
"47762","using french ","Neutral",1
"47763","lies example ","Negative",1
"47764","expecting anything ","Neutral",1
"47765","warranty going ","Positive",1
"47766","returnkeep making ","Neutral",1
"47767","back purchased ","Neutral",1
"47768","o previous ","Neutral",1
"47769","record even ","Neutral",1
"47770","ones getting ","Neutral",1
"47771","price gone ","Neutral",1
"47772","daughters pay ","Negative",1
"47773","mbpsrichmond max ","Neutral",1
"47774","live post ","Neutral",1
"47775","nearly done ","Neutral",1
"47776","new deal"", ","Positive",1
"47777","customer might ","Neutral",1
"47778","ee weeks ","Neutral",1
"47779","used really ","Neutral",1
"47780","way helpful ","Positive",1
"47781","store change ","Neutral",1
"47782","well phone ","Positive",1
"47783","company network ","Neutral",1
"47784","sense fraudulent ","Negative",1
"47785","cheque cheque ","Neutral",1
"47786","given years"") ","Neutral",1
"47787","home necessarily ","Neutral",1
"47788","mind anymore ","Neutral",1
"47789","saw signed ","Neutral",1
"47790","working staff ","Positive",1
"47791","guess days ","Neutral",1
"47792","questions around ","Neutral",1
"47793","service"", ""cancelled ","Negative",1
"47794","waiting least ","Neutral",1
"47795","thanks rach"", ","Positive",1
"47796","keep passing ","Neutral",1
"47797","brought phone ","Neutral",1
"47798","recompense forthcoming ","Positive",1
"47799","proper scam ","Neutral",1
"47800","red warning ","Negative",1
"47801","
""two years ","Neutral",1
"47802","phone plus ","Neutral",1
"47803","month company ","Neutral",1
"47804","£ drawn ","Neutral",1
"47805","clearly denied ","Negative",1
"47806","apparently going ","Neutral",1
"47807","managers horrible ","Negative",1
"47808","expensive service ","Negative",1
"47809","either review ","Neutral",1
"47810","four telephone ","Neutral",1
"47811","days refunded ","Positive",1
"47812","talk text ","Positive",1
"47813","probably many ","Neutral",1
"47814","around wanted ","Neutral",1
"47815","management leaving ","Positive",1
"47816","decide phone ","Neutral",1
"47817","trade store ","Neutral",1
"47818","cant log ","Neutral",1
"47819","frustrating slow ","Negative",1
"47820","use customer ","Neutral",1
"47821","ring automated ","Neutral",1
"47822","compensation problems ","Negative",1
"47823","simple thing ","Neutral",1
"47824","none camenow ","Neutral",1
"47825","course understand ","Neutral",1
"47826","valley last ","Neutral",1
"47827","refresh payments ","Positive",1
"47828","sales travelled ","Neutral",1
"47829","helped tried ","Positive",1
"47830","consists houses ","Neutral",1
"47831","crooks take ","Negative",1
"47832","store assistants ","Neutral",1
"47833","customers feel ","Neutral",1
"47834","outdoors £ ","Neutral",1
"47835","g phones ","Neutral",1
"47836","insulting persevering ","Negative",1
"47837","period available ","Positive",1
"47838","pre paid ","Neutral",1
"47839","found corrected ","Positive",1
"47840","account bill ","Neutral",1
"47841","keen patronising ","Positive",1
"47842","know already ","Neutral",1
"47843","customers directly ","Neutral",1
"47844","front yet ","Neutral",1
"47845","see voicemails ","Neutral",1
"47846","ignoring telling ","Neutral",1
"47847","contract based ","Neutral",1
"47848","obviously wasnt ","Neutral",1
"47849","services things ","Neutral",1
"47850","days letter ","Neutral",1
"47851","somehow simply ","Neutral",1
"47852","power ofcom ","Neutral",1
"47853","money obviously ","Positive",1
"47854","asked chat ","Neutral",1
"47855","meant duration ","Neutral",1
"47856","idiot shop ","Negative",1
"47857","devicethree phone ","Neutral",1
"47858","disappointed"", 
""dont ","Negative",1
"47859","o bunch ","Neutral",1
"47860","weeks preorder ","Neutral",1
"47861","waiting finish ","Neutral",1
"47862","focus customer ","Positive",1
"47863","swore fixed ","Neutral",1
"47864","change £ ","Neutral",1
"47865","enquiries optimistically ","Neutral",1
"47866","times reply ","Neutral",1
"47867","rental matter ","Neutral",1
"47868","benefits generous ","Positive",1
"47869","back times ","Neutral",1
"47870","joke"", ""expensive ","Positive",1
"47871","less able ","Neutral",1
"47872","phone flags ","Neutral",1
"47873","trade descriptions ","Neutral",1
"47874","phone voice ","Neutral",1
"47875","implied said ","Neutral",1
"47876","£ devicethree ","Neutral",1
"47877","without minute ","Neutral",1
"47878","internet poor ","Negative",1
"47879","
""phone stolen ","Negative",1
"47880","upgrades fact ","Neutral",1
"47881","visits store ","Neutral",1
"47882","ok sign ","Neutral",1
"47883","stores hours ","Neutral",1
"47884","joy either ","Positive",1
"47885","details mentioned ","Neutral",1
"47886","service headache ","Negative",1
"47887","defect days ","Negative",1
"47888","premium international ","Neutral",1
"47889","fufuuafufuuafufuuafufuuafufuua"", 
""purchased ","Neutral",1
"47890","home following ","Neutral",1
"47891","
""end april ","Neutral",1
"47892","multitude questions ","Neutral",1
"47893","bad inconsiderate ","Negative",1
"47894","literally mean ","Neutral",1
"47895","holder past ","Neutral",1
"47896","someone keep ","Neutral",1
"47897","hour evening ","Neutral",1
"47898","fairness charge ","Positive",1
"47899","need"", 
""trust ","Positive",1
"47900","everyone never ","Neutral",1
"47901","advertisements consistent ","Positive",1
"47902","defensive employees ","Negative",1
"47903","january start ","Neutral",1
"47904","charges pales ","Negative",1
"47905","rich masochist ","Positive",1
"47906","years wrong ","Negative",1
"47907","ethics"", 
""bad ","Negative",1
"47908","surprised efficiency ","Positive",1
"47909","terrible mobile ","Negative",1
"47910","largely surface ","Neutral",1
"47911","phone respect ","Positive",1
"47912","know record ","Neutral",1
"47913","recalled becuase ","Neutral",1
"47914","o ballymena ","Neutral",1
"47915","depths os ","Neutral",1
"47916","conversation left ","Neutral",1
"47917","wanted try ","Neutral",1
"47918","telephone operator ","Neutral",1
"47919","bunch foreigners ","Neutral",1
"47920","also send ","Neutral",1
"47921","massively left ","Neutral",1
"47922","later actual ","Positive",1
"47923","unhelpfulness saying ","Neutral",1
"47924","shops gd ","Neutral",1
"47925","listen taking ","Neutral",1
"47926","years recent ","Neutral",1
"47927","online note ","Neutral",1
"47928","sent saturday ","Neutral",1
"47929","demanding recompense ","Negative",1
"47930","issues well ","Positive",1
"47931","day impressed ","Positive",1
"47932","participating stores ","Neutral",1
"47933","phone pester ","Neutral",1
"47934","got response ","Neutral",1
"47935","world traveller ","Neutral",1
"47936","provider"", 
""years ","Neutral",1
"47937","stand half ","Neutral",1
"47938","offered old ","Neutral",1
"47939","say somebody ","Neutral",1
"47940","days cut ","Negative",1
"47941","within year ","Neutral",1
"47942","always sung ","Neutral",1
"47943","phoning number ","Neutral",1
"47944","every conversation ","Neutral",1
"47945","instantly disconnecting ","Negative",1
"47946","robotic options ","Negative",1
"47947","st week ","Neutral",1
"47948","two month ","Neutral",1
"47949","now annoying ","Negative",1
"47950","advised transferred ","Neutral",1
"47951","signal mb ","Neutral",1
"47952","charged theft ","Negative",1
"47953","salesperson use ","Neutral",1
"47954","hold year ","Neutral",1
"47955","network"", ""every ","Neutral",1
"47956","details think ","Neutral",1
"47957","works dream ","Positive",1
"47958","see request ","Neutral",1
"47959","o staffcon ","Neutral",1
"47960","late good ","Positive",1
"47961","security department ","Neutral",1
"47962","great hear ","Positive",1
"47963","kept informed ","Neutral",1
"47964","migration code ","Neutral",1
"47965","places nicola ","Neutral",1
"47966","honestly love ","Positive",1
"47967","apparently outstanding ","Positive",1
"47968","data run ","Neutral",1
"47969","given went ","Neutral",1
"47970","soon hooked ","Neutral",1
"47971","recently never ","Neutral",1
"47972","helpful"", 
""signed ","Positive",1
"47973","problems act ","Negative",1
"47974","staff means ","Neutral",1
"47975","good way ","Positive",1
"47976","extortionate considering ","Neutral",1
"47977","helpful worth ","Positive",1
"47978","financial difficulties ","Negative",1
"47979","charged moral ","Positive",1
"47980","although put ","Neutral",1
"47981","calls review ","Neutral",1
"47982","especially sam ","Neutral",1
"47983","texts short ","Neutral",1
"47984","nov day ","Neutral",1
"47985","getting precious ","Positive",1
"47986","awful level ","Negative",1
"47987","free iphone ","Positive",1
"47988","contacting various ","Neutral",1
"47989","excess top ","Negative",1
"47990","number agreement ","Positive",1
"47991","charge hundred ","Neutral",1
"47992","terms bought ","Neutral",1
"47993","allowance internet ","Neutral",1
"47994","slowest ever ","Negative",1
"47995","rates tried ","Neutral",1
"47996","enter phone ","Neutral",1
"47997","rubbish network ","Negative",1
"47998","£ cheaper"", ","Neutral",1
"47999","offered refurbished ","Neutral",1
"48000","data often ","Neutral",1
"48001","kept dropping ","Neutral",1
"48002","away repair ","Neutral",1
"48003","locations sign ","Neutral",1
"48004","available know ","Positive",1
"48005","connection chat ","Neutral",1
"48006","even mentioned ","Neutral",1
"48007","point cumulatively ","Neutral",1
"48008","clearly based ","Positive",1
"48009","provider accept ","Positive",1
"48010","asked done ","Neutral",1
"48011","b note ","Neutral",1
"48012","particularly marginal ","Negative",1
"48013","least fix ","Neutral",1
"48014","transaction id ","Neutral",1
"48015","someones entire ","Neutral",1
"48016","faultless every ","Positive",1
"48017","repaired typically ","Neutral",1
"48018","rating £ ","Neutral",1
"48019","papers say ","Neutral",1
"48020","fussed long ","Negative",1
"48021","intention whatsoever ","Neutral",1
"48022","companys like ","Positive",1
"48023","said husband ","Neutral",1
"48024","cases november ","Neutral",1
"48025","saying make ","Neutral",1
"48026","yes precise ","Positive",1
"48027","changed st ","Neutral",1
"48028","lies requested ","Negative",1
"48029","phone daily ","Neutral",1
"48030","cut done ","Negative",1
"48031","wifi without ","Neutral",1
"48032","automated carries ","Neutral",1
"48033","instead bill ","Neutral",1
"48034","offers even ","Neutral",1
"48035","experience decide ","Neutral",1
"48036","mast unreliable ","Negative",1
"48037","gave script ","Neutral",1
"48038","us visited ","Neutral",1
"48039","sorted minutes ","Neutral",1
"48040","try everything ","Neutral",1
"48041","upgraded etc ","Positive",1
"48042","situation want ","Neutral",1
"48043","bank written ","Neutral",1
"48044","though remaining ","Neutral",1
"48045","teams regards ","Neutral",1
"48046","money guess ","Positive",1
"48047","one say ","Neutral",1
"48048","o success ","Positive",1
"48049","heard far ","Neutral",1
"48050","frustrated o"", ","Negative",1
"48051","vodafone years ","Neutral",1
"48052","money wrong ","Negative",1
"48053","provider offering ","Neutral",1
"48054","nuisance text ","Negative",1
"48055","forgotten new ","Positive",1
"48056","happy deal ","Positive",1
"48057","online bad ","Negative",1
"48058","service contracts ","Neutral",1
"48059","acknowledges never ","Neutral",1
"48060","time"", ""left ","Neutral",1
"48061","old account ","Neutral",1
"48062","willing hear ","Positive",1
"48063","actually listen ","Neutral",1
"48064","problems advice ","Negative",1
"48065","work regional ","Positive",1
"48066","time range ","Neutral",1
"48067","haris managed ","Neutral",1
"48068","however people ","Neutral",1
"48069","main page ","Positive",1
"48070","passwords disconnecting ","Neutral",1
"48071","working told ","Positive",1
"48072","problem hour ","Negative",1
"48073","co tract ","Neutral",1
"48074","upgrading options ","Neutral",1
"48075","query nightmarelive ","Neutral",1
"48076","morning trouble ","Negative",1
"48077","discussing product ","Neutral",1
"48078","unhelpful years ","Negative",1
"48079","passed manager ","Neutral",1
"48080","place feel ","Neutral",1
"48081","non ability ","Positive",1
"48082","though handset ","Neutral",1
"48083","newbury store ","Neutral",1
"48084","information tariffs ","Positive",1
"48085","home brand ","Neutral",1
"48086","correct february ","Positive",1
"48087","mad nobody ","Negative",1
"48088","hugely inconvenienced ","Neutral",1
"48089","recommend staying ","Positive",1
"48090","repeated tonight ","Neutral",1
"48091","longer want ","Neutral",1
"48092","ahead logged ","Positive",1
"48093","app debit ","Neutral",1
"48094","tried sort ","Neutral",1
"48095","good staff ","Positive",1
"48096","shock charge ","Negative",1
"48097","recommend"", 
""went ","Positive",1
"48098","provide worst ","Positive",1
"48099","fixing told ","Neutral",1
"48100","changed now ","Neutral",1
"48101","years children ","Neutral",1
"48102","left go ","Neutral",1
"48103","month lost ","Negative",1
"48104","
""bad phone ","Negative",1
"48105","actual charges ","Positive",1
"48106","stuff incompetent ","Negative",1
"48107","done cancelled ","Negative",1
"48108","network deteriorated ","Negative",1
"48109","link agree ","Positive",1
"48110","nearing end ","Neutral",1
"48111","phones neither ","Neutral",1
"48112","joshua unsurprisingly ","Neutral",1
"48113","use web ","Neutral",1
"48114","pleased service ","Positive",1
"48115","excellent two ","Positive",1
"48116","money unfairly ","Negative",1
"48117","""fraud money ","Negative",1
"48118","ridiculous answer ","Negative",1
"48119","give great ","Positive",1
"48120","""decided take ","Neutral",1
"48121","mins unhelpful ","Negative",1
"48122","problems warranty ","Negative",1
"48123","miss sell ","Neutral",1
"48124","""first tricked ","Negative",1
"48125","got calls ","Neutral",1
"48126","cash holding ","Positive",1
"48127","involved due ","Neutral",1
"48128","untrained lie ","Negative",1
"48129","bad"", ""billing ","Negative",1
"48130","customer creating ","Neutral",1
"48131","longer still ","Neutral",1
"48132","occasions made ","Neutral",1
"48133","beware"", ""o ","Negative",1
"48134","o discovered ","Neutral",1
"48135","numbers another ","Neutral",1
"48136","daughter allowed ","Positive",1
"48137","time dont ","Neutral",1
"48138","""spoken customer ","Neutral",1
"48139","usuall friendly ","Positive",1
"48140","dealt care ","Positive",1
"48141","many problem ","Negative",1
"48142","star o ","Positive",1
"48143","alone pick ","Negative",1
"48144","painful weeks ","Negative",1
"48145","reiceved message ","Neutral",1
"48146","g bar ","Neutral",1
"48147","despite nearly ","Neutral",1
"48148","phoneless everything ","Neutral",1
"48149","work oh ","Positive",1
"48150","yet shame ","Negative",1
"48151","mini girlfriend ","Neutral",1
"48152","example must ","Neutral",1
"48153","house mast ","Neutral",1
"48154","surely shall ","Neutral",1
"48155","occassions challenged ","Neutral",1
"48156","payments less ","Neutral",1
"48157","luck everyone ","Positive",1
"48158","thought document ","Neutral",1
"48159","gig ticket ","Neutral",1
"48160","notes seem ","Neutral",1
"48161","iphone box ","Neutral",1
"48162","issue products ","Neutral",1
"48163","agrees think ","Positive",1
"48164","sale"", 
""constant ","Neutral",1
"48165","left short ","Neutral",1
"48166","multinational company ","Neutral",1
"48167","child lived ","Positive",1
"48168","years cost ","Neutral",1
"48169","lie trump ","Negative",1
"48170","away politely ","Positive",1
"48171","gives headache ","Negative",1
"48172","years remain ","Neutral",1
"48173","arrive day ","Neutral",1
"48174","bank details"", ","Neutral",1
"48175","cancel cancelling ","Negative",1
"48176","asked final ","Neutral",1
"48177","now checked ","Neutral",1
"48178","done saidstay ","Neutral",1
"48179","ee greedy ","Negative",1
"48180","team follow ","Neutral",1
"48181","upgraded sept ","Positive",1
"48182","carried phone ","Neutral",1
"48183","pressed constant ","Neutral",1
"48184","totally let ","Neutral",1
"48185","service overcharged ","Neutral",1
"48186","complained complaint ","Negative",1
"48187","excessive charges ","Negative",1
"48188","recently"", 
""o ","Neutral",1
"48189","despatched now ","Neutral",1
"48190","spring mind"", ","Neutral",1
"48191","plus always ","Neutral",1
"48192","mean check ","Neutral",1
"48193","drain disabled ","Negative",1
"48194","border another ","Neutral",1
"48195","plague"", 
""o ","Negative",1
"48196","fault never ","Negative",1
"48197","commission clinching ","Neutral",1
"48198","lose change ","Negative",1
"48199","money guys ","Positive",1
"48200","customers obviously ","Neutral",1
"48201","something small ","Neutral",1
"48202","trusted network ","Positive",1
"48203","holiday another ","Positive",1
"48204","oleela"", 
""o ","Neutral",1
"48205","everyday calling ","Neutral",1
"48206","turns network ","Neutral",1
"48207","kind retailer ","Positive",1
"48208","either join ","Positive",1
"48209","help advisor ","Neutral",1
"48210","queues minutes ","Neutral",1
"48211","lousy weak ","Negative",1
"48212","ect barely ","Neutral",1
"48213","please contact"", ","Positive",1
"48214","stage asked ","Neutral",1
"48215","say seem ","Neutral",1
"48216","extended one ","Neutral",1
"48217","trying always ","Neutral",1
"48218","contract"", 
""went ","Neutral",1
"48219","sales reps ","Neutral",1
"48220","customer like"", ","Positive",1
"48221","plan carphone ","Neutral",1
"48222","shop bolton ","Neutral",1
"48223","o mixed ","Neutral",1
"48224","terrible taste ","Negative",1
"48225","written pay ","Negative",1
"48226","night failed ","Negative",1
"48227","seem push ","Neutral",1
"48228","months hell ","Negative",1
"48229","disappointed always ","Negative",1
"48230","go mth ","Neutral",1
"48231","costs bought ","Neutral",1
"48232","disagreement e ","Negative",1
"48233","received letters ","Positive",1
"48234","refurbished unit ","Neutral",1
"48235","legally use ","Positive",1
"48236","took policy ","Neutral",1
"48237","customers"", 
""posted ","Neutral",1
"48238","contract fobbed ","Neutral",1
"48239","anyone hope ","Positive",1
"48240","tactic incorrectly ","Negative",1
"48241","checks phone ","Neutral",1
"48242","guy worked ","Positive",1
"48243","suggest friends ","Neutral",1
"48244","late new ","Positive",1
"48245","deals expensive ","Negative",1
"48246","customer wondering ","Neutral",1
"48247","mobiles ipad ","Neutral",1
"48248","livid took ","Negative",1
"48249","manner advise ","Positive",1
"48250","need considering ","Neutral",1
"48251","ee refused ","Negative",1
"48252","month responded ","Neutral",1
"48253","chargeos attitude ","Neutral",1
"48254","said somebody ","Neutral",1
"48255","told ignore ","Negative",1
"48256","""terrible online ","Negative",1
"48257","days tops ","Neutral",1
"48258","refund apparently ","Positive",1
"48259","intentionally ripping ","Neutral",1
"48260","since problem ","Negative",1
"48261","seeing got ","Neutral",1
"48262","credit weeks ","Positive",1
"48263","letters yes ","Positive",1
"48264","none ever ","Neutral",1
"48265","complaint give ","Negative",1
"48266","still closer ","Neutral",1
"48267","months begging ","Negative",1
"48268","improve storenew ","Positive",1
"48269","music minutes ","Positive",1
"48270","glasgow coverage"", ","Neutral",1
"48271","unauthorised charges ","Neutral",1
"48272","yet change ","Neutral",1
"48273","totally hope ","Positive",1
"48274","free upgrade ","Positive",1
"48275","use outside ","Neutral",1
"48276","cost ineptness ","Neutral",1
"48277","o curtsy ","Neutral",1
"48278","somewhat insulted ","Negative",1
"48279","contract active ","Positive",1
"48280","abysmal clearly ","Neutral",1
"48281","app though ","Neutral",1
"48282","wait contact ","Positive",1
"48283","years issues ","Neutral",1
"48284","broken even ","Negative",1
"48285","truly delayed ","Negative",1
"48286","claudia work ","Positive",1
"48287","travel asia ","Neutral",1
"48288","capital careful ","Positive",1
"48289","order button ","Neutral",1
"48290","weeks two ","Neutral",1
"48291","said happy ","Positive",1
"48292","recieve days ","Neutral",1
"48293","service unacceptable ","Negative",1
"48294","
""sent warranty ","Positive",1
"48295","things unaware ","Negative",1
"48296","frequently went ","Neutral",1
"48297","deal suited ","Positive",1
"48298","risk family ","Negative",1
"48299","fined malpractices ","Negative",1
"48300","customers rather ","Neutral",1
"48301","outright never ","Neutral",1
"48302","""wanted cancel ","Negative",1
"48303","bit happens ","Neutral",1
"48304","nearly three ","Neutral",1
"48305","replaced faulty ","Negative",1
"48306","nothing accommodating ","Neutral",1
"48307","processed need ","Neutral",1
"48308","ressolutions unresolved ","Negative",1
"48309","want making ","Neutral",1
"48310","debit already ","Neutral",1
"48311","problems service ","Negative",1
"48312","whatsapp bbm ","Neutral",1
"48313","bluntly say ","Neutral",1
"48314","however received ","Positive",1
"48315","forever"", 
""experience ","Neutral",1
"48316","even cloe ","Neutral",1
"48317","bright blue ","Positive",1
"48318","managers set ","Neutral",1
"48319","""four years ","Neutral",1
"48320","back good ","Positive",1
"48321","fall level ","Positive",1
"48322","take stand ","Neutral",1
"48323","misleading called ","Negative",1
"48324","problem previous ","Negative",1
"48325","people talking ","Neutral",1
"48326","proposition trying ","Neutral",1
"48327","apology talking ","Positive",1
"48328","opening hrs ","Neutral",1
