"","wordcloud_bigram_oo$ngrams","cat_sent_oo","wordcloud_bigram_oo$freq"
"582","g signal ","Neutral",9
"583","lot money ","Positive",9
"584","th april ","Neutral",9
"585","waste time"", ","Negative",9
"586","hold minutes ","Neutral",9
"587","awful customer ","Negative",9
"588","never recommend ","Positive",9
"589","times told ","Neutral",9
"590","o sent ","Neutral",9
"591","business customer ","Neutral",9
"592","back call ","Neutral",9
"593","someone call ","Neutral",9
"594","receive calls ","Neutral",9
"595","cancellation fee ","Negative",9
"596","phone network ","Neutral",9
"597","month bill ","Neutral",9
"598","explain situation ","Neutral",9
"599","contract now ","Neutral",9
"600","new samsung ","Positive",9
"601","ever dealt ","Neutral",9
"602","bought phone ","Neutral",9
"603","phone £ ","Neutral",9
"604","sent email ","Neutral",9
"605","deal o ","Positive",9
"606","phone paid ","Neutral",9
"607","said wanted ","Neutral",9
"608","phone online ","Neutral",9
"609","another £ ","Neutral",9
"610","going another ","Neutral",9
"611","g speeds ","Neutral",9
"612","set new ","Positive",9
"613","wanted upgrade ","Neutral",9
"614","later o ","Neutral",9
"615","phone arrived ","Neutral",9
"616","best customer ","Positive",9
"617","security questions ","Neutral",9
"618","service provide ","Positive",9
"619","owe money ","Positive",9
"620","o like ","Positive",9
"621","went shop ","Neutral",9
"622","store manager ","Neutral",9
"623","later phone ","Neutral",9
"624","long term ","Neutral",9
"625","told wanted ","Neutral",9
"626","done o ","Neutral",9
"627","received refund ","Positive",9
"628","service terrible ","Negative",9
"629","network signal ","Neutral",9
"630","leave contract ","Negative",9
"631","o best ","Positive",9
"632","next days ","Neutral",9
"633","phone cut ","Negative",9
"634","phone locked ","Neutral",9
"635","trying cancel ","Negative",9
"636","another one ","Neutral",9
"637","boost box ","Positive",9
"638","made complaint ","Negative",9
"639","doesn t ","Neutral",9
"640","bearing mind ","Neutral",9
"641","reference number ","Neutral",9
"642","looks like ","Positive",9
"643","contract last ","Neutral",9
"644","texts calls ","Neutral",9
"645","need call ","Neutral",9
"646","wasn t ","Neutral",9
"647","receive phone ","Neutral",9
"648","last two ","Neutral",9
"649","make complaint ","Negative",9
"650","credit history ","Positive",9
"651","numerous times ","Neutral",9
"652","won t ","Positive",9
"653","years always ","Neutral",9
"654","now stuck ","Negative",9
"655","save money ","Positive",9
"656","o ask ","Neutral",9
"657","use wifi ","Neutral",9
"658","sent phone ","Neutral",9
"659","treat customers ","Neutral",9
"660","friendly helpful ","Positive",9
"661","free charge ","Positive",9
"662","goodwill gesture ","Positive",9
"663","customers like ","Positive",9
"664","monthly bill ","Neutral",9
"665","service good ","Positive",9
"666","company o ","Neutral",9
"667","refund £ ","Positive",9
"668","cost phone ","Neutral",9
"669","keep number ","Neutral",9
"670","order number ","Neutral",9
"671","repair centre ","Neutral",9
"672","different network ","Neutral",9
"673","o website ","Neutral",9
"674","o always ","Neutral",9
"675","service even ","Neutral",9
"676","mobile data ","Neutral",9
"677","faulty phone ","Negative",9
"678","service person ","Neutral",9
"679","o really ","Neutral",9
"680","told pay ","Negative",9
"681","o even ","Neutral",9
"682","really bad ","Negative",9
"683","centre staff ","Neutral",9
"684","""worst company ","Negative",9
"685","nothing happened ","Neutral",9
"686","account still ","Neutral",9
"687","via email ","Neutral",9
"688","contract finished ","Neutral",9
"689","tu go ","Neutral",8
"690","contract still ","Neutral",8
"691","basically told ","Neutral",8
"692","ask speak ","Neutral",8
"693","contract went ","Neutral",8
"694","also told ","Neutral",8
"695","pay another ","Negative",8
"696","level customer ","Positive",8
"697","couple days ","Neutral",8
"698","send another ","Neutral",8
"699","ending contract ","Neutral",8
"700","service years ","Neutral",8
"701","go pay ","Negative",8
"702","came end ","Neutral",8
"703","
""o since ","Neutral",8
"704","decided leave ","Negative",8
"705","value money ","Positive",8
"706","bt cellnet ","Neutral",8
"707","account told ","Neutral",8
"708","click collect ","Neutral",8
"709","unlimited minutes ","Positive",8
"710","full refund ","Positive",8
"711","time wasted ","Negative",8
"712","wait hours ","Negative",8
"713","time money ","Positive",8
"714","promised refund ","Positive",8
"715","g coverage ","Neutral",8
"716","next bill ","Neutral",8
"717","worst ever ","Negative",8
"718","refurbished phone ","Neutral",8
"719","call number ","Neutral",8
"720","phone returned ","Neutral",8
"721","via phone ","Neutral",8
"722","staff store ","Neutral",8
"723","card details ","Neutral",8
"724","got someone ","Neutral",8
"725","sign contract ","Neutral",8
"726","using data ","Neutral",8
"727","said phone ","Neutral",8
"728","days now ","Neutral",8
"729","number call ","Neutral",8
"730","past years ","Neutral",8
"731","consumer rights ","Neutral",8
"732","three weeks ","Neutral",8
"733","o ever ","Neutral",8
"734","phone stolen ","Negative",8
"735","saying owe ","Neutral",8
"736","go online ","Neutral",8
"737","o open ","Neutral",8
"738","nearly years ","Neutral",8
"739","trying sell ","Neutral",8
"740","call backs ","Neutral",8
"741","back uk ","Neutral",8
"742","decided go ","Neutral",8
"743","pay device ","Negative",8
"744","account now ","Neutral",8
"745","sales staff ","Neutral",8
"746","excellent service ","Positive",8
"747","two phones ","Neutral",8
"748","service joke ","Positive",8
"749","now still ","Neutral",8
"750","service really ","Neutral",8
"751","provide good ","Positive",8
"752","still money ","Positive",8
"753","day phone ","Neutral",8
"754","now months ","Neutral",8
"755","change contract ","Neutral",8
"756","complaints review ","Negative",8
"757","agent told ","Neutral",8
"758","asked cancel ","Negative",8
"759","speak o ","Neutral",8
"760","go customer ","Neutral",8
"761","yet still ","Neutral",8
"762","waiting call ","Neutral",8
"763","family friends ","Neutral",8
"764","phone put ","Neutral",8
"765","calls made ","Neutral",8
"766","o stores ","Neutral",8
"767","hadn t ","Neutral",8
"768","calling customer ","Neutral",8
"769","taken £ ","Neutral",8
"770","getting phone ","Neutral",8
"771","o went ","Neutral",8
"772","way treat ","Neutral",8
"773","set contract ","Neutral",8
"774","£ o ","Neutral",8
"775","company called ","Neutral",8
"776","order cancelled ","Negative",8
"777","person spoke ","Neutral",8
"778","t know ","Neutral",8
"779","told need ","Neutral",8
"780","mobile provider ","Neutral",8
"781","samsung s ","Neutral",8
"782","minutes texts ","Neutral",8
"783","£ called ","Neutral",8
"784","never even ","Neutral",8
"785","signed contract ","Neutral",8
"786","phone broken ","Negative",8
"787","back £ ","Neutral",8
"788","happy o ","Positive",8
"789","now lost ","Negative",8
"790","took months ","Neutral",8
