"","wordcloud_bigram_th$ngrams","cat_sent_th","wordcloud_bigram_th$freq"
"48759","way hold ","Neutral",1
"48760","tethering ok ","Neutral",1
"48761","calls"", ""great ","Positive",1
"48762","society give ","Neutral",1
"48763","always big ","Positive",1
"48764","identity contacting ","Neutral",1
"48765","standards fraudulent ","Negative",1
"48766","wasting days ","Negative",1
"48767","""overall reason ","Positive",1
"48768","like something ","Positive",1
"48769","skills disgusting ","Negative",1
"48770","back g ","Neutral",1
"48771","today reluctantly ","Negative",1
"48772","questions outcome ","Negative",1
"48773","hacked ebay ","Negative",1
"48774","coverage absolutely ","Neutral",1
"48775","previous bad ","Negative",1
"48776","wrong services ","Negative",1
"48777","evidently scripted ","Neutral",1
"48778","quality also ","Neutral",1
"48779","awfull customer ","Neutral",1
"48780","eventually fed ","Neutral",1
"48781","understand increase ","Positive",1
"48782","authorize amount ","Neutral",1
"48783","give loads ","Neutral",1
"48784","even call ","Neutral",1
"48785","delusional upgrade ","Negative",1
"48786","coverage pretty ","Positive",1
"48787","situation well ","Positive",1
"48788","customer agents ","Neutral",1
"48789","weeks sais ","Neutral",1
"48790","rather repeatedly ","Neutral",1
"48791","""unlimited binge ","Positive",1
"48792","deliver hold ","Neutral",1
"48793","roaming deals ","Neutral",1
"48794","times fixed ","Neutral",1
"48795","losing contract ","Negative",1
"48796","free gear ","Positive",1
"48797","ask want ","Neutral",1
"48798","offers months"", ","Neutral",1
"48799","asking hence ","Neutral",1
"48800","record person ","Neutral",1
"48801","solutions network ","Positive",1
"48802","resolver received ","Positive",1
"48803","networks needed ","Neutral",1
"48804","staff want ","Neutral",1
"48805","damaged morning ","Negative",1
"48806","anyways"", ""anything ","Neutral",1
"48807","missed labour ","Negative",1
"48808","relented put ","Neutral",1
"48809","open case ","Neutral",1
"48810","amazon left ","Neutral",1
"48811","still deliver ","Neutral",1
"48812","cs visit ","Positive",1
"48813","voice calling ","Neutral",1
"48814","saved great ","Positive",1
"48815","sunday september ","Neutral",1
"48816","called eat ","Positive",1
"48817","charge threatened ","Negative",1
"48818","cancelled everytime ","Negative",1
"48819","""led believe ","Positive",1
"48820","excellent"", ""second ","Positive",1
"48821","also wrong ","Negative",1
"48822","""usually great ","Positive",1
"48823","contract comes ","Neutral",1
"48824","start friends ","Neutral",1
"48825","left account ","Neutral",1
"48826","family g ","Neutral",1
"48827","agent making ","Neutral",1
"48828","extra didn ","Positive",1
"48829","screens called ","Neutral",1
"48830","authentication bank ","Neutral",1
"48831","known ordered ","Neutral",1
"48832","tye treatment ","Negative",1
"48833","service sh ","Neutral",1
"48834","slower useless ","Negative",1
"48835","responses leading ","Positive",1
"48836","lady helpful ","Positive",1
"48837","result poor ","Negative",1
"48838","dont live ","Neutral",1
"48839","gone good ","Positive",1
"48840","said note ","Neutral",1
"48841","resolved letter ","Positive",1
"48842","protect personal ","Positive",1
"48843","discovered person ","Neutral",1
"48844","trial sim ","Neutral",1
"48845","terrible nothing ","Negative",1
"48846","account low ","Neutral",1
"48847","s social ","Neutral",1
"48848","s saturday ","Neutral",1
"48849","called many ","Neutral",1
"48850","person able ","Neutral",1
"48851","actuality spent ","Negative",1
"48852","passwords delete ","Neutral",1
"48853","use something ","Neutral",1
"48854","save lot ","Positive",1
"48855","network accomodate ","Neutral",1
"48856","broadband package ","Neutral",1
"48857","bill booting ","Neutral",1
"48858","world able ","Neutral",1
"48859","everything without ","Neutral",1
"48860","told answer ","Neutral",1
"48861","slow usless ","Negative",1
"48862","cancel furthermore ","Negative",1
"48863","something changes ","Neutral",1
"48864","move back ","Neutral",1
"48865","able confirm ","Neutral",1
"48866","phones even ","Neutral",1
"48867","slow impressed ","Positive",1
"48868","even cheapest ","Neutral",1
"48869","experienced coverage ","Positive",1
"48870","today fair ","Positive",1
"48871","good lady ","Positive",1
"48872","fact longer ","Neutral",1
"48873","deal take ","Positive",1
"48874","live signal ","Neutral",1
"48875","telling f ","Neutral",1
"48876","pardon pun ","Neutral",1
"48877","stars negative ","Negative",1
"48878","try pay ","Negative",1
"48879","take theiradvice ","Neutral",1
"48880","happy staff ","Positive",1
"48881","yes mobile ","Positive",1
"48882","bills gone ","Neutral",1
"48883","waze wanted ","Neutral",1
"48884","office responses ","Neutral",1
"48885","needed replacement ","Neutral",1
"48886","charges explained ","Neutral",1
"48887","times via ","Neutral",1
"48888","deadlock still ","Negative",1
"48889","slow loading ","Negative",1
"48890","desperate without ","Negative",1
"48891","excellent"", ""mobile ","Positive",1
"48892","got pasted ","Neutral",1
"48893","common sense ","Neutral",1
"48894","£ paygo ","Neutral",1
"48895","expecting bill ","Neutral",1
"48896","intermittent access ","Negative",1
"48897","asking corporate ","Neutral",1
"48898","details want ","Neutral",1
"48899","people incompetent ","Negative",1
"48900","away india ","Neutral",1
"48901","getting pursued ","Negative",1
"48902","number yesterday ","Neutral",1
"48903","want check ","Neutral",1
"48904","connection"", 
""love ","Positive",1
"48905","multiple cards ","Neutral",1
"48906","re bringing ","Neutral",1
"48907","comment wishing ","Positive",1
"48908","problem clearly ","Negative",1
"48909","manager rang ","Neutral",1
"48910","phonedatatext plan ","Neutral",1
"48911","etc request ","Neutral",1
"48912","wrong find ","Negative",1
"48913","worryingly appears ","Negative",1
"48914","unless usp ","Neutral",1
"48915","funny systems ","Positive",1
"48916","shop carphone ","Neutral",1
"48917","place think ","Neutral",1
"48918","trip florida ","Neutral",1
"48919","""great coverage ","Positive",1
"48920","trustworthy brand ","Positive",1
"48921","ofcom advice ","Neutral",1
"48922","quidco details ","Neutral",1
"48923","wuntuis biggest ","Neutral",1
"48924","knowledge goldfish ","Positive",1
"48925","supposed call ","Neutral",1
"48926","iknew deadlock ","Negative",1
"48927","pricing help ","Neutral",1
"48928","demand speak ","Negative",1
"48929","kept dragging ","Negative",1
"48930","goodness able ","Positive",1
"48931","yesterday got ","Neutral",1
"48932","seems crazy ","Negative",1
"48933","happen trying ","Neutral",1
"48934","password memorable ","Positive",1
"48935","story everybody ","Neutral",1
"48936","return following ","Neutral",1
"48937","data worries ","Negative",1
"48938","maybe result ","Neutral",1
"48939","fufuuf"", 
""signed ","Neutral",1
"48940","plus direct ","Neutral",1
"48941","request careful ","Positive",1
"48942","fly canada ","Neutral",1
"48943","twice monthly ","Neutral",1
"48944","results pmnahidim ","Positive",1
"48945","data kissed ","Neutral",1
"48946","affect anything ","Neutral",1
"48947","dealt tell ","Neutral",1
"48948","see resolve ","Positive",1
"48949","gross"", ""got ","Negative",1
"48950","stop delivered ","Negative",1
"48951","nothing dhort ","Neutral",1
"48952","bill left ","Neutral",1
"48953","paper company ","Neutral",1
"48954","found absolutely ","Positive",1
"48955","years attempted ","Neutral",1
"48956","apologising shame ","Negative",1
"48957","join online ","Positive",1
"48958","car breaking ","Negative",1
"48959","oct shouting ","Neutral",1
"48960","says upgrade ","Neutral",1
"48961","reply kirsty ","Neutral",1
"48962","premium networks ","Neutral",1
"48963","considerably good ","Positive",1
"48964","passport like ","Positive",1
"48965","give worst ","Negative",1
"48966","stop strange ","Negative",1
"48967","got failed ","Negative",1
"48968","country train ","Neutral",1
"48969","companies complaining ","Negative",1
"48970","contact speak ","Positive",1
"48971","remove stars ","Negative",1
"48972","highest manager ","Neutral",1
"48973","usa pmvisitorwhy ","Neutral",1
"48974","settings checked ","Neutral",1
"48975","phone away ","Neutral",1
"48976","se phone ","Neutral",1
"48977","trade responsibly ","Positive",1
"48978","phone accounts ","Neutral",1
"48979","speeds services ","Neutral",1
"48980","skilled nothing ","Positive",1
"48981","iphone rosegold ","Neutral",1
"48982","time linked ","Neutral",1
"48983","sometimes internet ","Neutral",1
"48984","named yash ","Neutral",1
"48985","rome data ","Neutral",1
"48986","generous compensation ","Positive",1
"48987","totally corrupt ","Negative",1
"48988","complain regulator ","Negative",1
"48989","call impersonal ","Negative",1
"48990","solution customer ","Positive",1
"48991","x amount ","Neutral",1
"48992","traveling spending ","Neutral",1
"48993","soon disregard ","Negative",1
"48994","plan god ","Neutral",1
"48995","meant multiple ","Neutral",1
"48996","working pmvisitorthats ","Positive",1
"48997","line often ","Neutral",1
"48998","needs also ","Neutral",1
"48999","rubbish dealing ","Negative",1
"49000","pensioner considered ","Neutral",1
"49001","gone £ ","Neutral",1
"49002","monthly another ","Neutral",1
"49003","needed go ","Neutral",1
"49004","explanation allowance ","Neutral",1
"49005","coverage many ","Neutral",1
"49006","poor strabane ","Negative",1
"49007","repeated promises ","Positive",1
"49008","rating absolutely ","Neutral",1
"49009","straight name ","Positive",1
"49010","right payforit ","Positive",1
"49011","limit reason ","Positive",1
"49012","friendly wish ","Positive",1
"49013","chat rudely ","Neutral",1
"49014","soon"", ""really ","Neutral",1
"49015","parties includes ","Neutral",1
"49016","yet find ","Neutral",1
"49017","charge questions ","Neutral",1
"49018","lindsey promised ","Positive",1
"49019","god s ","Neutral",1
"49020","abysmal wish ","Positive",1
"49021","provider switching ","Neutral",1
"49022","feedback area ","Neutral",1
"49023","years purely ","Positive",1
"49024","generic robbot ","Neutral",1
"49025","continues stay ","Neutral",1
"49026","take name ","Neutral",1
"49027","go even ","Neutral",1
"49028","costs service ","Neutral",1
"49029","speak line ","Neutral",1
"49030","previous weeks ","Neutral",1
"49031","protection someone ","Positive",1
"49032","ombudsman management ","Positive",1
"49033","talk loudspeaker ","Positive",1
"49034","bill exorbitant ","Negative",1
"49035","order sims ","Neutral",1
"49036","maps whilst ","Neutral",1
"49037","person street ","Neutral",1
"49038","protector two ","Positive",1
"49039","first phonecall ","Neutral",1
"49040","hutchison now ","Neutral",1
"49041","phone naturally ","Neutral",1
"49042","messages came ","Neutral",1
"49043","spoken level ","Positive",1
"49044","team pathetic ","Negative",1
"49045","keep promises ","Positive",1
"49046","simple card ","Neutral",1
"49047","telling shouldn ","Neutral",1
"49048","took quite ","Neutral",1
"49049","hold fantastic ","Positive",1
"49050","deal paying ","Positive",1
"49051","contact paul ","Positive",1
"49052","scripted answer ","Neutral",1
"49053","awful different ","Negative",1
"49054","found bean ","Positive",1
"49055","bet money ","Positive",1
"49056","absolutely trust"", ","Positive",1
"49057","shows repaired ","Neutral",1
"49058","conversation instead ","Neutral",1
"49059","t verify ","Positive",1
"49060","given came ","Neutral",1
"49061","june rang ","Neutral",1
"49062","giant fib ","Negative",1
"49063","still stick ","Neutral",1
"49064","days travel ","Neutral",1
"49065","black vice ","Negative",1
"49066","one line ","Neutral",1
"49067","exact opposite ","Neutral",1
"49068","notice start ","Neutral",1
"49069","useful rearrange ","Positive",1
"49070","staff network ","Neutral",1
"49071","saying yes ","Positive",1
"49072","zealand worry ","Negative",1
"49073","account september ","Neutral",1
"49074","charge sending ","Neutral",1
"49075","taken business ","Neutral",1
"49076","half hearted ","Positive",1
"49077","modemlaptop etc ","Neutral",1
"49078","couple prompts ","Neutral",1
"49079","time unbelievable ","Negative",1
"49080","appwebsite helpful ","Positive",1
"49081","bank go ","Neutral",1
"49082","chat box ","Neutral",1
"49083","chosen word ","Positive",1
"49084","asked live ","Neutral",1
"49085","reps polite ","Positive",1
"49086","trying back ","Neutral",1
"49087","lte advanced ","Positive",1
"49088","hold go ","Neutral",1
"49089","phone explaining ","Neutral",1
"49090","ended £ ","Neutral",1
"49091","service bars ","Neutral",1
"49092","creditors arround ","Neutral",1
"49093","guys s ","Neutral",1
"49094","explore options ","Neutral",1
"49095","clear offered ","Positive",1
"49096","manners common ","Positive",1
"49097","paid suddenly ","Neutral",1
"49098","phones disgraceful"", ","Negative",1
"49099","sent consignment ","Neutral",1
"49100","never roaming ","Neutral",1
"49101","want open ","Neutral",1
"49102","agitated refused ","Negative",1
"49103","dont call ","Neutral",1
"49104","everything tape ","Neutral",1
"49105","contract fees ","Neutral",1
"49106","atm machine ","Neutral",1
"49107","ignore excited ","Neutral",1
"49108","country visiting"", ","Neutral",1
"49109","outrageous absolutely ","Negative",1
"49110","change"", ""tried ","Neutral",1
"49111","allow make ","Positive",1
"49112","populated area ","Neutral",1
"49113","pass cancellations ","Neutral",1
"49114","requests consumer ","Neutral",1
"49115","ratings losing ","Negative",1
"49116","march ended ","Neutral",1
"49117","assist claim ","Positive",1
"49118","random address ","Neutral",1
"49119","away guys ","Neutral",1
"49120","chat working ","Positive",1
"49121","weekends away ","Neutral",1
"49122","little savings ","Positive",1
"49123","daughter problem ","Negative",1
"49124","friggin greasy ","Negative",1
"49125","contract use ","Neutral",1
"49126","tried resetting ","Neutral",1
"49127","husband son ","Neutral",1
"49128","kate gray"", ","Neutral",1
"49129","believing simple ","Positive",1
"49130","enabled somebody ","Positive",1
"49131","upset customer ","Negative",1
"49132","topcashback tcb ","Neutral",1
"49133","yet lost ","Negative",1
"49134","husband potentially ","Neutral",1
"49135","operators due ","Neutral",1
"49136","finally helps ","Positive",1
"49137","internet rely ","Neutral",1
"49138","ago cancelling ","Negative",1
"49139","uk born ","Neutral",1
"49140","temporary replacement ","Neutral",1
"49141","saving abroad ","Positive",1
"49142","nowhere email ","Neutral",1
"49143","certificate computer ","Positive",1
"49144","push phoning ","Neutral",1
"49145","internet around ","Neutral",1
"49146","fresh year ","Positive",1
"49147","rethink"", 
""really ","Neutral",1
"49148","none assist ","Positive",1
"49149","payforit purchases ","Neutral",1
"49150","cancelled realised ","Negative",1
"49151","towards s ","Neutral",1
"49152","
""service appalling ","Negative",1
"49153","band hopefully ","Positive",1
"49154","mobile explanationnext ","Neutral",1
"49155","rights finish ","Neutral",1
"49156","reasons excuse ","Negative",1
"49157","""company offering ","Neutral",1
"49158","deliberately evasive ","Negative",1
"49159","month need ","Neutral",1
"49160","free watched ","Positive",1
"49161","unhappy disturbed ","Negative",1
"49162","dongle use ","Neutral",1
"49163","nothing need ","Neutral",1
"49164","absolutely delightful ","Positive",1
"49165","attitude instead ","Neutral",1
"49166","midspeechavoid company ","Neutral",1
"49167","best possible ","Positive",1
"49168","lot"", ""bought ","Neutral",1
"49169","kicked promised ","Positive",1
"49170","connection speed ","Neutral",1
"49171","uk recommend ","Positive",1
"49172","friends back ","Neutral",1
"49173","minutes put ","Neutral",1
"49174","quite experience ","Neutral",1
"49175","area still ","Neutral",1
"49176","£month received ","Positive",1
"49177","happy wife ","Positive",1
"49178","rate network ","Neutral",1
"49179","arrive back ","Neutral",1
"49180","possible favour ","Neutral",1
"49181","original handset ","Neutral",1
"49182","thing account ","Neutral",1
"49183","idiots thanxxxx ","Negative",1
"49184","daily everyone ","Neutral",1
"49185","months late ","Negative",1
"49186","put u ","Neutral",1
"49187","""fun chat ","Positive",1
"49188","worked others ","Positive",1
"49189","initially happy ","Positive",1
"49190","cold think ","Negative",1
"49191","month cancelled"", ","Negative",1
"49192","thinking getting ","Neutral",1
"49193","stores go ","Neutral",1
"49194","random people ","Neutral",1
"49195","""great savings ","Positive",1
"49196","call collections ","Neutral",1
"49197","owing account ","Negative",1
"49198","unfortunately sign ","Negative",1
"49199","stuck samsung ","Negative",1
"49200","statutory rights ","Neutral",1
"49201","many suppliers ","Neutral",1
"49202","instagram m ","Neutral",1
"49203","delight pot ","Positive",1
"49204","anyone feel ","Neutral",1
"49205","talked rudest ","Neutral",1
"49206","mbps even ","Neutral",1
"49207","lives fact"", ","Neutral",1
"49208","hung times ","Neutral",1
"49209","honorary x ","Neutral",1
"49210","called o ","Neutral",1
"49211","calling wait ","Negative",1
"49212","realised use ","Neutral",1
"49213","mr david ","Neutral",1
"49214","contract stick ","Neutral",1
"49215","seem covered ","Neutral",1
"49216","£ bit ","Neutral",1
"49217","sent bills ","Neutral",1
"49218","idea going ","Neutral",1
"49219","people impression ","Positive",1
"49220","yet spoke ","Neutral",1
"49221","idea check ","Neutral",1
"49222","progress unlike ","Positive",1
"49223","now mess ","Negative",1
"49224","ryan phone ","Neutral",1
"49225","also job ","Neutral",1
"49226","void th ","Neutral",1
"49227","s rubish ","Neutral",1
"49228","gloated phone ","Negative",1
"49229","top notch ","Neutral",1
"49230","commute work ","Neutral",1
"49231","model lo ","Positive",1
"49232","deals include ","Positive",1
"49233","taking business ","Neutral",1
"49234","acoomodating made ","Neutral",1
"49235","month someone ","Neutral",1
"49236","without solution ","Positive",1
"49237","roaming good ","Positive",1
"49238","thing real ","Positive",1
"49239","old woman ","Neutral",1
"49240","front illegal ","Negative",1
"49241","unable run ","Negative",1
"49242","hrs hrs ","Neutral",1
"49243","team calls ","Neutral",1
"49244","often bars ","Neutral",1
"49245","pricing competitive ","Positive",1
"49246","service ireland ","Neutral",1
"49247","say sell ","Neutral",1
"49248","address dont ","Neutral",1
"49249","bothered give ","Negative",1
"49250","hours closing ","Neutral",1
"49251","outside wifi ","Neutral",1
"49252","overseas call ","Neutral",1
"49253","text form ","Neutral",1
"49254","told sell ","Neutral",1
"49255","suddenly cut ","Negative",1
"49256","previous advisers ","Neutral",1
"49257","live area ","Neutral",1
"49258","datatextsminutes abroad ","Neutral",1
"49259","care experience ","Positive",1
"49260","wayyyyy slow ","Negative",1
"49261","cancellation"", 
""extremley ","Neutral",1
"49262","abroad however ","Neutral",1
"49263","situation time ","Neutral",1
"49264","purchased pay ","Negative",1
"49265","right laura ","Positive",1
"49266","times price ","Neutral",1
"49267","money luckily ","Positive",1
"49268","people lying ","Negative",1
"49269","continue contact ","Positive",1
"49270","limited package ","Negative",1
"49271","contract takes ","Neutral",1
"49272","standard second ","Neutral",1
"49273","time waited ","Neutral",1
"49274","even thou ","Neutral",1
"49275","app update ","Neutral",1
"49276","got add ","Neutral",1
"49277","may face ","Neutral",1
"49278","advisers dismissed ","Neutral",1
"49279","later rang ","Neutral",1
"49280","screwing consumer ","Neutral",1
"49281","link idea ","Neutral",1
"49282","allocated sent ","Neutral",1
"49283","hole amount ","Neutral",1
"49284","wifi € ","Neutral",1
"49285","agents transferred ","Neutral",1
"49286","centre difficult ","Negative",1
"49287","recognised credit ","Positive",1
"49288","phenominal understand ","Neutral",1
"49289","staff definitely ","Neutral",1
"49290","told truthroll ","Neutral",1
"49291","party obviously ","Neutral",1
"49292","july coverage ","Neutral",1
"49293","since starting ","Neutral",1
"49294","still old ","Neutral",1
"49295","asked needed ","Neutral",1
"49296","unwanted calls ","Negative",1
"49297","security processes ","Neutral",1
"49298","online see ","Neutral",1
"49299","tomorrow card ","Neutral",1
"49300","local numbers ","Neutral",1
"49301","t finally ","Positive",1
"49302","afford payments ","Positive",1
"49303","contracts"", ""ordered ","Neutral",1
"49304","fee onto ","Negative",1
"49305","mick apart ","Neutral",1
"49306","help texted ","Neutral",1
"49307","current prices ","Neutral",1
"49308","therefore permitted ","Neutral",1
"49309","cove customer ","Neutral",1
"49310","team irritating ","Negative",1
"49311","pmvisitorwhat typed ","Neutral",1
"49312","terms use ","Neutral",1
"49313","instead review ","Neutral",1
"49314","time considering ","Neutral",1
"49315","charged gbp ","Neutral",1
"49316","code meantime ","Neutral",1
"49317","internet worked ","Positive",1
"49318","advise avoid ","Positive",1
"49319","brexit going ","Neutral",1
"49320","vodafones unreliable ","Negative",1
"49321","like set ","Positive",1
"49322","maps failed ","Negative",1
"49323","service newly ","Neutral",1
"49324","called spoke ","Neutral",1
"49325","staff poorly ","Negative",1
"49326","fault using ","Negative",1
"49327","bill grand ","Positive",1
"49328","right pmvisitorwhy ","Positive",1
"49329","say also ","Neutral",1
"49330","modus operandi ","Neutral",1
"49331","spoken politeness ","Positive",1
"49332","""take extra ","Positive",1
"49333","around company ","Neutral",1
"49334","said learned ","Neutral",1
"49335","signed blatant ","Negative",1
"49336","without alerting ","Neutral",1
"49337","things break ","Negative",1
"49338","necessary good ","Positive",1
"49339","first screen ","Neutral",1
"49340","downgrade much ","Negative",1
"49341","operatorsinterupt speaking ","Neutral",1
"49342","recovering phone ","Neutral",1
"49343","excellent account ","Positive",1
"49344","caused blood ","Neutral",1
"49345","part agony ","Negative",1
"49346","take offer ","Positive",1
"49347","right decision ","Positive",1
"49348","signal"", 
""taken ","Neutral",1
"49349","people experiencing ","Neutral",1
"49350","situation bought ","Neutral",1
"49351","lot better"", ","Positive",1
"49352","must minutes ","Neutral",1
"49353","years said ","Neutral",1
"49354","put crap"", ","Negative",1
"49355","asked cancell ","Neutral",1
"49356","allowances still ","Neutral",1
"49357","policies training"", ","Neutral",1
"49358","home threating ","Neutral",1
"49359","extremely unhappy ","Negative",1
"49360","problems literally ","Negative",1
"49361","something contract ","Neutral",1
"49362","difficult like ","Neutral",1
"49363","contacted said ","Neutral",1
"49364","wit recognised ","Positive",1
"49365","horrible customer ","Negative",1
"49366","money cost ","Positive",1
"49367","letter say ","Neutral",1
"49368","bad also ","Negative",1
"49369","website claims ","Neutral",1
"49370","sort deal"", ","Positive",1
"49371","managed set ","Neutral",1
"49372","code ee ","Neutral",1
"49373","away need ","Neutral",1
"49374","horrible quality"", ","Negative",1
"49375","active calling ","Positive",1
"49376","however wasnt ","Neutral",1
"49377","time access ","Neutral",1
"49378","id still ","Neutral",1
"49379","team directly ","Neutral",1
"49380","uninstalling trying ","Neutral",1
"49381","unused written ","Neutral",1
"49382","writers mum ","Neutral",1
"49383","date without ","Neutral",1
"49384","friends able ","Neutral",1
"49385","company beware ","Negative",1
"49386","officer promising ","Positive",1
"49387","come using ","Neutral",1
"49388","
""believe half ","Neutral",1
"49389","find difficult ","Negative",1
"49390","case took ","Neutral",1
"49391","colleagues"", ""absolutely ","Neutral",1
"49392","complaint line ","Negative",1
"49393","totally shocking ","Negative",1
"49394","like g ","Positive",1
"49395","found lies ","Negative",1
"49396","thought knew ","Neutral",1
"49397","bill dont ","Neutral",1
"49398","overseas enjoy ","Positive",1
"49399","free days ","Positive",1
"49400","recommend"", 
""mixed ","Positive",1
"49401","listen wat ","Neutral",1
"49402","unique since ","Positive",1
"49403","store days ","Neutral",1
"49404","basic service ","Neutral",1
"49405","simply says ","Neutral",1
"49406","minutes precisely ","Positive",1
"49407","put paid ","Neutral",1
"49408","told buying ","Neutral",1
"49409","days s ","Neutral",1
"49410","day chased ","Neutral",1
"49411","dial connectioneven ","Neutral",1
"49412","cut staff ","Negative",1
"49413","chance speak ","Positive",1
"49414","think finally ","Positive",1
"49415","result even ","Neutral",1
"49416","collectors demanding ","Negative",1
"49417","screen use ","Neutral",1
"49418","september september ","Neutral",1
"49419","""partner got ","Positive",1
"49420","stated £ ","Neutral",1
"49421","binge watch ","Neutral",1
"49422","rude guys ","Negative",1
"49423","d suggest ","Neutral",1
"49424","calling enabled ","Positive",1
"49425","going fb ","Neutral",1
"49426","phone rang ","Neutral",1
"49427","contract refund ","Positive",1
"49428","believe customer ","Neutral",1
"49429","account rather ","Neutral",1
"49430","calls received ","Positive",1
"49431","money peace ","Positive",1
"49432","operation days ","Neutral",1
"49433","nice able ","Positive",1
"49434","international service"", ","Neutral",1
"49435","se processed ","Neutral",1
"49436","turning personal ","Neutral",1
"49437","shocking recently ","Negative",1
"49438","help without ","Neutral",1
"49439","package now ","Neutral",1
"49440","unfortunately many ","Negative",1
"49441","texts mobile ","Neutral",1
"49442","experiences odious ","Negative",1
"49443","company commission ","Neutral",1
"49444","thursday pm ","Neutral",1
"49445","sorted thinking ","Neutral",1
"49446","hay moving ","Neutral",1
"49447","without squeezing ","Neutral",1
"49448","services unorganised ","Neutral",1
"49449","envelope even ","Neutral",1
"49450","priority sorry ","Positive",1
"49451","appalled experience ","Negative",1
"49452","list explained ","Neutral",1
"49453","replacing sending ","Neutral",1
"49454","relatives home ","Neutral",1
"49455","useless"", 
""absolutely ","Negative",1
"49456","expensive incredibly ","Positive",1
"49457","call write ","Neutral",1
"49458","contract lot ","Neutral",1
"49459","months calling ","Neutral",1
"49460","covered america ","Neutral",1
"49461","waiting problem ","Negative",1
"49462","without warning ","Negative",1
"49463","felt phone ","Neutral",1
"49464","offer compensation ","Positive",1
"49465","done provide ","Positive",1
"49466","ookla app ","Neutral",1
"49467","bothered let ","Negative",1
"49468","store extremely ","Neutral",1
"49469","find nothing ","Neutral",1
"49470","terminated chat ","Neutral",1
"49471","dodgy move ","Neutral",1
"49472","pages briefly ","Neutral",1
"49473","self able ","Neutral",1
"49474","looking pretty ","Positive",1
"49475","obvious manual ","Neutral",1
"49476","activity number ","Neutral",1
"49477","add eat ","Positive",1
"49478","questions related ","Neutral",1
"49479","collect balance ","Positive",1
"49480","mention problems ","Negative",1
"49481","id never ","Neutral",1
"49482","ee offer ","Positive",1
"49483","got interest ","Positive",1
"49484","elapsed updated ","Neutral",1
"49485","brixton store ","Neutral",1
"49486","address problem ","Negative",1
"49487","willing put ","Positive",1
"49488","minutes unknown ","Negative",1
"49489","basically say ","Neutral",1
"49490","asking staff ","Neutral",1
"49491","appallingstill rectify ","Positive",1
"49492","working took ","Positive",1
"49493","sim add ","Neutral",1
"49494","persons rights ","Neutral",1
"49495","ever cant ","Neutral",1
"49496","webchat confirmed ","Positive",1
"49497","etc need ","Neutral",1
"49498","horrendous"", 
""past ","Negative",1
"49499","customer life ","Neutral",1
"49500","returned huntingdon ","Neutral",1
"49501","
""recently travelled ","Neutral",1
"49502","package nothing ","Neutral",1
"49503","month getting ","Neutral",1
"49504","contact knowing ","Positive",1
"49505","went whole ","Neutral",1
"49506","complained coverage ","Negative",1
"49507","poor remedy ","Negative",1
"49508","idea model ","Positive",1
"49509","refused gbp ","Negative",1
"49510","usa general ","Positive",1
"49511","transferring return ","Neutral",1
"49512","april september ","Neutral",1
"49513","year problem ","Negative",1
"49514","charge £mb ","Neutral",1
"49515","new budget ","Positive",1
"49516","payablei hope ","Positive",1
"49517","allowed keep ","Neutral",1
"49518","signal phoned ","Neutral",1
"49519","concellation still ","Neutral",1
"49520","phoned went ","Neutral",1
"49521","networkslastly asked ","Neutral",1
"49522","pence account ","Neutral",1
"49523","legal requirement ","Positive",1
"49524","record told ","Neutral",1
"49525","daughter taken ","Positive",1
"49526","""amazing signal ","Positive",1
"49527","way talk ","Positive",1
"49528","online longer ","Neutral",1
"49529","hour passed ","Neutral",1
"49530","complaints happen ","Negative",1
"49531","re wrong ","Negative",1
"49532","interested way ","Positive",1
"49533","least took ","Neutral",1
"49534","area suppliers ","Neutral",1
"49535","trips trying ","Neutral",1
"49536","experience deserve ","Positive",1
"49537","country covered ","Neutral",1
"49538","card"", ""customer ","Neutral",1
"49539","suggested really ","Neutral",1
"49540","occasions now ","Neutral",1
"49541","aware sim ","Neutral",1
"49542","store wait ","Negative",1
"49543","received pound ","Positive",1
"49544","basically lied ","Negative",1
"49545","regularly really ","Neutral",1
"49546","sarcastic rude ","Negative",1
"49547","poo absoulutley ","Neutral",1
"49548","realise bad ","Negative",1
"49549","continues pressure ","Negative",1
"49550","encourage conscious ","Positive",1
"49551","feeling making ","Positive",1
"49552","reimbursement unauthorized ","Negative",1
"49553","passing round ","Neutral",1
"49554","final billing ","Neutral",1
"49555","never encountered ","Neutral",1
"49556","feedback request ","Neutral",1
"49557","sim found ","Positive",1
"49558","departments told ","Neutral",1
"49559","coverage virtually ","Neutral",1
"49560","contract expiring ","Neutral",1
"49561","amount times ","Neutral",1
"49562","replied £ ","Neutral",1
"49563","deal switched ","Positive",1
"49564","price however ","Neutral",1
"49565","whenever needed ","Neutral",1
"49566","reviewing trustpilot ","Neutral",1
"49567","pink sea ","Neutral",1
"49568","told waste ","Negative",1
"49569","happening sim ","Neutral",1
"49570","therefore expected ","Neutral",1
"49571","back absolute ","Negative",1
"49572","service operator ","Neutral",1
"49573","ireland help ","Neutral",1
"49574","provider"", ""saved ","Positive",1
"49575","aftercare poor ","Negative",1
"49576","yearhowever since ","Neutral",1
"49577","charged aiding ","Positive",1
"49578","pull finger ","Neutral",1
"49579","willing give ","Positive",1
"49580","o say ","Neutral",1
"49581","waited disconnection ","Negative",1
"49582","bit"", 
""terrible ","Negative",1
"49583","phone fully ","Positive",1
"49584","chargesmonth month ","Neutral",1
