"","wordcloud_bigram_th$ngrams","cat_sent_th","wordcloud_bigram_th$freq"
"409","lot money ","Positive",9
"410","sorry sir ","Negative",9
"411","t give ","Neutral",9
"412","coverage area ","Neutral",9
"413","keep touch ","Neutral",9
"414","came back ","Neutral",9
"415","contract sim ","Neutral",9
"416","excellent customer ","Positive",9
"417","home countries ","Neutral",9
"418","make call ","Neutral",9
"419","solve problem ","Positive",9
"420","service went ","Neutral",9
"421","customers service ","Neutral",9
"422","joke company ","Positive",9
"423","contract now ","Neutral",9
"424","years contract ","Neutral",9
"425","month unlimited ","Positive",9
"426","fair enough ","Positive",9
"427","top £ ","Neutral",9
"428","go sim ","Neutral",9
"429","mobile company ","Neutral",9
"430","like plague ","Neutral",9
"431","stopped working ","Negative",9
"432","time call ","Neutral",9
"433","want pay ","Negative",9
"434","closed account ","Neutral",9
"435","receive text ","Neutral",9
"436","mobile provider ","Neutral",9
"437","£ contract ","Neutral",9
"438","one thing ","Neutral",9
"439","data plan ","Neutral",9
"440","contacted customer ","Neutral",9
"441","travel lot ","Neutral",9
"442","called cancel ","Negative",9
"443","good coverage ","Positive",9
"444","debit card ","Neutral",9
"445","leave contract ","Negative",9
"446","two contracts ","Neutral",9
"447","service agent ","Neutral",9
"448","right now ","Positive",9
"449","got phone ","Neutral",9
"450","still received ","Positive",9
"451","unlimited calls ","Positive",9
"452","different provider ","Neutral",9
"453","free roaming ","Positive",9
"454","£ add ","Neutral",9
"455","phone companies ","Neutral",9
"456","paid bill ","Neutral",9
"457","provide pac ","Positive",9
"458","used data ","Neutral",9
"459","month ago ","Neutral",9
"460","every single ","Neutral",9
"461","obtain pac ","Neutral",9
"462","g network ","Neutral",9
"463","charge extra ","Positive",9
"464","avoid like ","Neutral",9
"465","account £ ","Neutral",9
"466","early termination ","Negative",9
"467","home saved ","Positive",9
"468","saying saved ","Positive",9
"469","service good ","Positive",9
"470","termination fee ","Negative",9
"471","whilst abroad ","Neutral",9
"472","new iphone ","Positive",9
"473","another contract ","Neutral",9
"474","poor coverage ","Negative",9
"475","data package ","Neutral",9
"476","upgrade iphone ","Neutral",9
"477","based india ","Neutral",9
"478","call within ","Neutral",9
"479","credit rating ","Positive",9
"480","mobile number ","Neutral",9
"481","told go ","Neutral",9
"482","last bill ","Neutral",9
"483","account closed ","Neutral",9
"484","service excellent ","Positive",9
"485","need pay ","Negative",9
"486","within working ","Positive",9
"487","amount money ","Positive",9
"488","phone use ","Neutral",9
"489","contract still ","Neutral",8
"490","time told ","Neutral",8
"491","network issues ","Neutral",8
"492","couple days ","Neutral",8
"493","phone sim ","Neutral",8
"494","works well ","Positive",8
"495","due poor ","Negative",8
"496","centre india ","Neutral",8
"497","decided leave ","Negative",8
"498","another sim ","Neutral",8
"499","pay phone ","Negative",8
"500","take £ ","Neutral",8
"501","start new ","Positive",8
"502","never problems ","Negative",8
"503","£ charge ","Neutral",8
"504","full g ","Neutral",8
"505","got back ","Neutral",8
"506","phone said ","Neutral",8
"507","£ now ","Neutral",8
"508","love feel ","Positive",8
"509","avoid costs ","Negative",8
"510","phone us ","Neutral",8
"511","ever experienced ","Positive",8
"512","
""worst network ","Negative",8
"513","one call ","Neutral",8
"514","back home ","Neutral",8
"515","feel home"", ","Neutral",8
"516","signal coverage ","Neutral",8
"517","post code ","Neutral",8
"518","uk call ","Neutral",8
"519","got better ","Positive",8
"520","need phone ","Neutral",8
"521","offered £ ","Neutral",8
"522","message saying ","Neutral",8
"523","explain situation ","Neutral",8
"524","spent minutes ","Negative",8
"525","got cut ","Negative",8
"526","store told ","Neutral",8
"527","internet access ","Neutral",8
"528","never issue ","Neutral",8
"529","company like ","Positive",8
"530","old contract ","Neutral",8
"531","outstanding balance ","Positive",8
"532","told nothing ","Neutral",8
"533","worst network ","Negative",8
"534","pillar post ","Neutral",8
"535","use feel ","Neutral",8
"536","one star ","Positive",8
"537","phone told ","Neutral",8
"538","even g ","Neutral",8
"539","another £ ","Neutral",8
"540","g speeds ","Neutral",8
"541","hadn t ","Neutral",8
"542","sales team ","Neutral",8
"543","phone line ","Neutral",8
"544","per minute ","Neutral",8
