"","wordcloud_bigram_te$ngrams","cat_sent_te","wordcloud_bigram_te$freq"
"1732","paying handset ","Neutral",1
"1733","garbage companyreported ","Negative",1
"1734","years much ","Neutral",1
"1735","signal"", ""great ","Positive",1
"1736","shameful mobile ","Negative",1
"1737","account directly ","Neutral",1
"1738","now now ","Neutral",1
"1739","decision offer ","Positive",1
"1740","went explained ","Neutral",1
"1741","companyreported trading ","Neutral",1
"1742","practice"", ""mobile ","Positive",1
"1743","sympathetic told ","Positive",1
"1744","take days ","Neutral",1
"1745","mobile legitimately ","Neutral",1
"1746","full extent ","Neutral",1
"1747","another weeks ","Neutral",1
"1748","""mobile charged ","Neutral",1
"1749","pressure doctor ","Negative",1
"1750","expensive example ","Negative",1
"1751","asked much ","Neutral",1
"1752","ever needed ","Neutral",1
"1753","lousiest phone ","Neutral",1
"1754","blood pressure ","Negative",1
"1755","daily surprise ","Positive",1
"1756","""mobile now ","Neutral",1
"1757","compensation thing ","Neutral",1
"1758","help resolve ","Positive",1
"1759","give left ","Neutral",1
"1760","manger identified ","Neutral",1
"1761","trustpilot social ","Neutral",1
"1762","receive monthly ","Neutral",1
"1763","also seems ","Neutral",1
"1764","customers capable ","Positive",1
"1765","realise full ","Neutral",1
"1766","day lose ","Negative",1
"1767","handset see ","Neutral",1
"1768","service reps ","Neutral",1
"1769","range troubles ","Negative",1
"1770","house wales ","Neutral",1
"1771","wrong went ","Negative",1
"1772","restricting back ","Negative",1
"1773","account instead ","Neutral",1
"1774","still waiting ","Neutral",1
"1775","called abdul ","Neutral",1
"1776","traumatic stress ","Negative",1
"1777","needed unlock ","Neutral",1
"1778","hours dealing ","Neutral",1
"1779","godawful website ","Negative",1
"1780","salesperson phone ","Neutral",1
"1781","gave mobile ","Neutral",1
"1782","fact use ","Neutral",1
"1783","contact customer ","Positive",1
"1784","potential buyers ","Neutral",1
"1785","nothing part ","Neutral",1
"1786","k ayear ","Neutral",1
"1787","continue months ","Positive",1
"1788","phone sonmust ","Neutral",1
"1789","£ continued ","Neutral",1
"1790","wrote back ","Neutral",1
"1791","eu basically ","Neutral",1
"1792","uswitch really ","Neutral",1
"1793","without paying ","Neutral",1
"1794","even boot ","Neutral",1
"1795","disgraceful shameful ","Negative",1
"1796","thing however ","Neutral",1
"1797","remain high ","Neutral",1
"1798","later send ","Neutral",1
"1799","later finally ","Positive",1
"1800","trying contact ","Positive",1
"1801","pulled mobile ","Neutral",1
"1802","damn motorola ","Negative",1
"1803","truth matter ","Positive",1
"1804","also suffer ","Negative",1
"1805","arrogant attitude ","Negative",1
"1806","within hours ","Neutral",1
"1807","happened person ","Neutral",1
"1808","re potential ","Neutral",1
"1809","particular model ","Positive",1
"1810","way asked ","Neutral",1
"1811","another month ","Neutral",1
"1812","quality food ","Positive",1
"1813","lived reliable ","Positive",1
"1814","psychological problems ","Negative",1
"1815","adverts telling ","Neutral",1
"1816","stress disorder ","Negative",1
"1817","service quality ","Neutral",1
"1818","deal signed ","Positive",1
"1819","terms conditions ","Neutral",1
"1820","weeks without ","Neutral",1
"1821","help reset ","Neutral",1
"1822","got sim ","Neutral",1
"1823","internet e ","Neutral",1
"1824","subliminally disfunctional ","Neutral",1
"1825","felt fine ","Positive",1
"1826","now claim ","Neutral",1
"1827","missus star ","Positive",1
"1828","last monday ","Neutral",1
"1829","days asked ","Neutral",1
"1830","companies past ","Neutral",1
"1831","people use ","Neutral",1
"1832","questions poor ","Negative",1
"1833","absolute crap ","Negative",1
"1834","odd bad ","Negative",1
"1835","sim deal ","Positive",1
"1836","past never ","Neutral",1
"1837","see things ","Neutral",1
"1838","end asked ","Neutral",1
"1839","suffer post ","Negative",1
"1840","regular thing ","Neutral",1
"1841","latest software ","Neutral",1
"1842","agents seeing ","Neutral",1
"1843","dealing customer ","Neutral",1
"1844","service desk ","Neutral",1
"1845","september car ","Neutral",1
"1846","favour awarded ","Positive",1
"1847","even make ","Neutral",1
"1848","received bill ","Positive",1
"1849","wales gave ","Neutral",1
"1850","price find ","Neutral",1
"1851","phone ever ","Neutral",1
"1852","mobile genuinely ","Positive",1
"1853","told fixed ","Neutral",1
"1854","
""pay go ","Negative",1
"1855","tetherd via ","Neutral",1
"1856","efficient assured ","Positive",1
"1857","contact internet ","Positive",1
"1858","rating give ","Neutral",1
"1859","weeks maybe ","Neutral",1
"1860","agents trying ","Neutral",1
"1861","warranty came ","Positive",1
"1862","problems like ","Neutral",1
"1863","moral problem ","Negative",1
"1864","side contract ","Neutral",1
"1865","tried keeping ","Neutral",1
"1866","probably due ","Neutral",1
"1867","neededwhilst outcome ","Negative",1
"1868","gigs two ","Neutral",1
"1869","theft"", ""one ","Negative",1
"1870","repair charging ","Neutral",1
"1871","keep postedfinally ","Neutral",1
"1872","phone quick ","Neutral",1
"1873","reasons service ","Neutral",1
"1874","use access ","Neutral",1
"1875","mb ridiculously ","Negative",1
"1876","phone used ","Neutral",1
"1877","similar many ","Neutral",1
"1878","system rip ","Negative",1
"1879","star give ","Positive",1
"1880","thing want ","Neutral",1
"1881","ask give ","Neutral",1
"1882","telling us ","Neutral",1
"1883","monthly pay ","Negative",1
"1884","rude"", ""mobile ","Negative",1
"1885","face calling ","Neutral",1
"1886","legend walk ","Neutral",1
"1887","going data ","Neutral",1
"1888","phone useless ","Negative",1
"1889","friday decided ","Neutral",1
"1890","handset return ","Neutral",1
"1891","pay flat ","Negative",1
"1892","needs taken ","Neutral",1
"1893","see happens ","Neutral",1
"1894","told ruan ","Neutral",1
"1895","service excellent ","Positive",1
"1896","mobility restricting ","Negative",1
"1897","connecting human"", ","Neutral",1
"1898","view mobile ","Neutral",1
"1899","june bought ","Neutral",1
"1900","fuel keep ","Neutral",1
"1901","go phone ","Neutral",1
"1902","kind text ","Positive",1
"1903","phone switched ","Neutral",1
"1904","contacts microsoft ","Neutral",1
"1905","told pay ","Negative",1
"1906","previously told ","Neutral",1
"1907","giffgaff british ","Neutral",1
"1908","wanted brand ","Neutral",1
"1909","knowledge appear ","Positive",1
"1910","charging account ","Neutral",1
"1911","days email ","Neutral",1
"1912","thing noticed ","Neutral",1
"1913","model called ","Positive",1
"1914","computer says ","Neutral",1
"1915","work complaint ","Negative",1
"1916","day need ","Neutral",1
"1917","pensioner breadline ","Neutral",1
"1918","outcome different ","Negative",1
"1919","stuck night ","Negative",1
"1920","
""using internet ","Neutral",1
"1921","calls pick ","Neutral",1
"1922","well done ","Positive",1
"1923","something use ","Neutral",1
"1924","course unlocked ","Neutral",1
"1925","money bank ","Positive",1
"1926","cambridge cambridgeshire ","Neutral",1
"1927","dirt receiver ","Negative",1
"1928","manger said ","Neutral",1
"1929","bag guess ","Neutral",1
"1930","lot work ","Positive",1
"1931","mast went ","Neutral",1
"1932","since ignored ","Negative",1
"1933","helpful store ","Positive",1
"1934","insurance expected ","Neutral",1
"1935","£ leaving ","Neutral",1
"1936","info settings ","Neutral",1
"1937","case promised ","Positive",1
"1938","accessed settings ","Neutral",1
"1939","ask manger ","Neutral",1
"1940","telling accessed ","Neutral",1
"1941","neighbours seem ","Neutral",1
"1942","bully give ","Negative",1
"1943","local mobile ","Neutral",1
"1944","now cornwall ","Neutral",1
"1945","options provide ","Positive",1
"1946","limit app ","Negative",1
"1947","alrady cancelled ","Negative",1
"1948","think retailgeneral ","Neutral",1
"1949","disorder also ","Negative",1
"1950","agreed compensation ","Positive",1
"1951","mobile operations ","Neutral",1
"1952","razr years ","Neutral",1
"1953","personal problems ","Negative",1
"1954","wether uses"", ","Neutral",1
"1955","etc"", ""bought ","Neutral",1
"1956","america australia ","Neutral",1
"1957","go complain ","Negative",1
"1958","car broke ","Negative",1
"1959","never ever ","Neutral",1
"1960","useless area ","Negative",1
"1961","finally contacted ","Positive",1
"1962","set mobile ","Neutral",1
"1963","months first ","Neutral",1
"1964","favour big ","Positive",1
"1965","ever normal ","Neutral",1
"1966","never pay ","Negative",1
"1967","post traumatic ","Negative",1
