"","wordcloud_bigram_te$ngrams","cat_sent_te","wordcloud_bigram_te$freq"
"275","customers manifestation ","Neutral",1
"276","nearby call ","Neutral",1
"277","connection e ","Neutral",1
"278","london g ","Neutral",1
"279","data allowance ","Neutral",1
"280","mainly use ","Neutral",1
"281","illegal practice ","Negative",1
"282","reception often ","Neutral",1
"283","faulty later ","Negative",1
"284","reliable decent ","Positive",1
"285","use send ","Neutral",1
"286","""earlier comments ","Neutral",1
"287","imagine buy ","Neutral",1
"288","september realised ","Neutral",1
"289","remote back ","Neutral",1
"290","c(""already reviewed ","Neutral",1
"291","disorder dangerously ","Negative",1
"292","noted also ","Positive",1
"293","manager also ","Neutral",1
"294","broke little ","Negative",1
"295","standard however ","Neutral",1
"296","still one ","Neutral",1
"297","house explained ","Neutral",1
"298","boycott aldi ","Negative",1
"299","£ lot ","Neutral",1
"300","works network ","Positive",1
"301","text telling ","Neutral",1
"302","arrange viewing ","Neutral",1
"303","behaviour"", 
""visit ","Positive",1
"304","towards customers ","Neutral",1
"305","operations remain ","Neutral",1
"306","wasting fuel ","Negative",1
"307","renege terms ","Neutral",1
"308","like scum ","Neutral",1
"309","months now ","Neutral",1
"310","treat shoplifters ","Neutral",1
"311","phone signal ","Neutral",1
"312","longer expected ","Neutral",1
"313","separate entity ","Positive",1
"314","transfer contacts ","Neutral",1
"315","trend always ","Positive",1
"316","longer explained ","Neutral",1
"317","details order ","Neutral",1
"318","support rude"", ","Neutral",1
"319","account months ","Neutral",1
"320","calls texts ","Neutral",1
"321","lot money ","Positive",1
"322","interested"", ""bought ","Positive",1
"323","customers identity ","Neutral",1
"324","payment owed ","Negative",1
"325","easier need ","Positive",1
"326","ombudsman experience ","Neutral",1
"327","meanness towards ","Negative",1
"328","last friday ","Neutral",1
"329","nearing limit ","Negative",1
"330","se longer ","Neutral",1
"331","long told ","Neutral",1
"332","recounted stuff ","Neutral",1
"333","towards vouchers ","Neutral",1
"334","service still ","Neutral",1
"335","phones bought ","Neutral",1
"336","credit sons ","Positive",1
"337","experience matter ","Neutral",1
"338","told several ","Neutral",1
"339","also importance ","Positive",1
"340","someone came ","Neutral",1
"341","imbecile brings ","Negative",1
"342","flawless service"", ","Positive",1
"343","phone please ","Positive",1
"344","says david ","Neutral",1
"345","service experience ","Neutral",1
"346","compensation reasoning ","Neutral",1
"347","guys sadly ","Negative",1
"348","page put ","Neutral",1
"349","postedfinally last ","Neutral",1
"350","without expected ","Neutral",1
"351","britain mobile ","Neutral",1
"352","awards uswitch ","Positive",1
"353","pay wanted ","Negative",1
"354","runs month ","Neutral",1
"355","well now ","Positive",1
"356","fixed go ","Neutral",1
"357","ago two ","Neutral",1
"358","offered programed ","Neutral",1
"359","gave managers ","Neutral",1
"360","""great signal ","Positive",1
"361","change within ","Neutral",1
"362","back warranty ","Positive",1
"363","decided contact ","Positive",1
"364","
""decided monthly ","Neutral",1
"365","limit indication ","Negative",1
"366","fee back ","Negative",1
"367","rely mobile ","Neutral",1
"368","current manager ","Neutral",1
"369","asked please ","Positive",1
"370","basically nonexistent ","Negative",1
"371","via phone ","Neutral",1
"372","three days ","Neutral",1
