"","wordcloud_bigram_vo$ngrams","cat_sent_vo","wordcloud_bigram_vo$freq"
"432","one ever ","Neutral",10
"433","ever deal ","Positive",10
"434","access account ","Neutral",10
"435","put back ","Neutral",10
"436","service phone ","Neutral",10
"437","resolve issues ","Positive",10
"438","time money ","Positive",10
"439","member staff ","Neutral",10
"440","next bill ","Neutral",10
"441","recommend anyone"", ","Positive",10
"442","friends family ","Neutral",10
"443","awful customer ","Negative",10
"444","days now ","Neutral",10
"445","long story ","Neutral",10
"446","prepaid sim ","Neutral",10
"447","another call ","Neutral",10
"448","better service ","Positive",10
"449","company never ","Neutral",10
"450","missed payment ","Negative",10
"451","contract expired ","Negative",10
"452","network coverage ","Neutral",10
"453","£ gb ","Neutral",10
"454","business account ","Neutral",10
"455","correct address ","Positive",10
"456","years contract ","Neutral",10
"457","customer experience ","Neutral",10
"458","call said ","Neutral",10
"459","contract early ","Neutral",10
"460","video pass ","Neutral",10
"461","send email ","Neutral",10
"462","back phone ","Neutral",10
"463","phone line ","Neutral",10
"464","phone phone ","Neutral",10
"465","told order ","Neutral",10
"466","receive text ","Neutral",10
"467","needless say ","Negative",10
"468","loyal customers ","Positive",10
"469","phone called ","Neutral",10
"470","phone store ","Neutral",10
"471","terrible service ","Negative",10
"472","contacted customer ","Neutral",10
"473","never experienced ","Positive",10
"474","last days ","Neutral",10
"475","broadband speed ","Neutral",10
"476","years customer ","Neutral",10
"477","back within ","Neutral",10
"478","contract never ","Neutral",10
"479","time customer ","Neutral",10
"480","fibre broadband ","Neutral",10
"481","extra gb ","Positive",10
"482","made mistake ","Negative",10
"483","wifi calling ","Neutral",10
"484","contract without ","Neutral",10
"485","use company ","Neutral",10
"486","unlock code ","Neutral",10
"487","three times ","Neutral",10
"488","go elsewhere ","Neutral",10
"489","now trying ","Neutral",10
"490","sent phone ","Neutral",10
"491","early termination ","Negative",10
"492","free charge ","Positive",10
"493","got bill ","Neutral",10
"494","received phone ","Positive",10
"495","termination fee ","Negative",10
"496","wasted time ","Negative",10
"497","passed one ","Neutral",10
"498","take days ","Neutral",10
"499","old number ","Neutral",10
"500","head office ","Neutral",10
"501","today th ","Neutral",10
"502","time promised ","Positive",10
"503","received bill ","Positive",10
"504","story short ","Neutral",10
"505","told problem ","Negative",10
"506","around £ ","Neutral",10
"507","need pay ","Negative",10
"508","month told ","Neutral",10
"509","ordered new ","Positive",10
"510","still internet ","Neutral",10
"511","contract still ","Neutral",9
"512","now going ","Neutral",9
"513","nearly £ ","Neutral",9
"514","useless customer ","Negative",9
"515","th january ","Neutral",9
"516","time wasted ","Negative",9
"517","past months ","Neutral",9
"518","""worst service ","Negative",9
"519","service experience ","Neutral",9
"520","bank details ","Neutral",9
"521","second time ","Neutral",9
"522","th december ","Neutral",9
"523","back forth ","Neutral",9
"524","three weeks ","Neutral",9
"525","bad bad ","Negative",9
"526","taken account ","Neutral",9
"527","contract paying ","Neutral",9
"528","""terrible customer ","Negative",9
"529","avoid avoid"", ","Negative",9
"530","phone network ","Neutral",9
"531","hold mins ","Neutral",9
"532","called th ","Neutral",9
"533","appalling service ","Negative",9
"534","message saying ","Neutral",9
"535","th feb ","Neutral",9
"536","money taken ","Positive",9
"537","ever seen ","Neutral",9
"538","make payment ","Negative",9
"539","t think ","Neutral",9
"540","bought phone ","Neutral",9
"541","month gb ","Neutral",9
"542","service customer ","Neutral",9
"543","still fixed ","Neutral",9
"544","number one ","Neutral",9
"545","call call ","Neutral",9
"546","another £ ","Neutral",9
"547","broadband provider ","Neutral",9
"548","sales team ","Neutral",9
"549","still working ","Positive",9
"550","company customer ","Neutral",9
"551","third time ","Neutral",9
"552","renewed contract ","Positive",9
"553","big value ","Positive",9
"554","tried cancel ","Negative",9
"555","care customers ","Positive",9
"556","samsung s ","Neutral",9
"557","never heard ","Neutral",9
"558","store staff ","Neutral",9
"559","contact us ","Positive",9
"560","early upgrade ","Neutral",9
"561","t pay ","Negative",9
"562","received letter ","Positive",9
"563","refund money ","Positive",9
"564","current contract ","Neutral",9
"565","staff rude ","Negative",9
"566","wrong information ","Negative",9
"567","network ever ","Neutral",9
"568","rang said ","Neutral",9
"569","give stars ","Neutral",9
"570","technical team ","Neutral",9
"571","day contract ","Neutral",9
"572","existing customers ","Neutral",9
"573","call charges ","Neutral",9
"574","date th ","Neutral",9
"575","next months ","Neutral",9
"576","
""customer service ","Neutral",9
"577","back said ","Neutral",9
"578","service poor ","Negative",9
"579","later received ","Positive",9
"580","last two ","Neutral",9
"581","another day ","Neutral",9
"582","take responsibility ","Neutral",9
"583","awful company ","Negative",9
"584","nothing changed ","Neutral",9
"585","steer clear ","Positive",9
"586","cancel account ","Negative",9
"587","save money ","Positive",9
"588","sent back ","Neutral",9
"589","treat customers ","Neutral",9
"590","told cancel ","Negative",9
"591","credit file ","Positive",9
"592","value bundle ","Neutral",9
"593","let know ","Neutral",9
"594","disgusting customer ","Negative",9
"595","black friday ","Negative",9
"596","terrible company ","Negative",9
"597","ever used ","Neutral",9
"598","shocking customer ","Negative",9
"599","passed around ","Neutral",9
"600","t wait ","Negative",9
"601","phone hour ","Neutral",9
"602","problem phone ","Negative",9
"603","need help ","Neutral",8
"604","read notes ","Neutral",8
"605","change address ","Neutral",8
"606","cancel phone ","Negative",8
"607","bill came ","Neutral",8
"608","zero stars ","Neutral",8
"609","give days ","Neutral",8
"610","network issues ","Neutral",8
"611","away company ","Neutral",8
"612","speak customer ","Neutral",8
"613","tried calling ","Neutral",8
"614","never use"", ","Neutral",8
"615","contract one ","Neutral",8
"616","paid bills ","Neutral",8
"617","full amount ","Neutral",8
"618","said want ","Neutral",8
"619","phone never ","Neutral",8
"620","even asked ","Neutral",8
"621","deadlock letter ","Negative",8
"622","wait hours ","Negative",8
"623","day call ","Neutral",8
"624","upgrade team ","Neutral",8
"625","service still ","Neutral",8
"626","got back ","Neutral",8
"627","phone returned ","Neutral",8
