"","wordcloud_bigram_vo$ngrams","cat_sent_vo","wordcloud_bigram_vo$freq"
"30795","recified takes ","Neutral",1
"30796","busy apparently ","Neutral",1
"30797","attempt still ","Neutral",1
"30798","normal november ","Neutral",1
"30799","completely locked ","Positive",1
"30800","sorry chance ","Negative",1
"30801","attempting sign ","Neutral",1
"30802","explained mistake ","Negative",1
"30803","pay order ","Negative",1
"30804","rejected agent ","Negative",1
"30805","voda messed ","Negative",1
"30806","t m ","Neutral",1
"30807","ran manchester ","Neutral",1
"30808","numberperson store ","Neutral",1
"30809","now don ","Neutral",1
"30810","disappointed vadafone ","Negative",1
"30811","please pis ","Positive",1
"30812","detail failed ","Negative",1
"30813","deal business ","Positive",1
"30814","stated name ","Neutral",1
"30815","superior appreciate ","Positive",1
"30816","hit massive ","Negative",1
"30817","job put ","Neutral",1
"30818","spare ve ","Neutral",1
"30819","protection completely ","Positive",1
"30820","contemplating suicide ","Negative",1
"30821","cancellation account ","Neutral",1
"30822","thought putting ","Neutral",1
"30823","""given trying ","Neutral",1
"30824","bill whatever ","Neutral",1
"30825","nothing travelled ","Neutral",1
"30826","discovered sent ","Neutral",1
"30827","expiring talk ","Positive",1
"30828","issued error ","Negative",1
"30829","wrong screenshots ","Negative",1
"30830","town london ","Neutral",1
"30831","data take ","Neutral",1
"30832","removed agent ","Neutral",1
"30833","impressed coverage ","Positive",1
"30834","""network issueinternet ","Neutral",1
"30835","really store ","Neutral",1
"30836","contact soon"", ","Positive",1
"30837","weeks internet ","Neutral",1
"30838","waiting night ","Neutral",1
"30839","documents initially ","Neutral",1
"30840","whole incident ","Negative",1
"30841","date broadband ","Neutral",1
"30842","gift anymore ","Positive",1
"30843","speaking customers ","Neutral",1
"30844","made investigate ","Positive",1
"30845","phones years ","Neutral",1
"30846","doesnt need ","Neutral",1
"30847","envelope send ","Neutral",1
"30848","right feel ","Positive",1
"30849","active watch ","Positive",1
"30850","courteousness professionalism ","Neutral",1
"30851","phone eventually ","Neutral",1
"30852","livechat sent ","Neutral",1
"30853","mustafa seriously ","Neutral",1
"30854","""sister visits ","Neutral",1
"30855","appointment requested ","Neutral",1
"30856","completely utterly ","Neutral",1
"30857","recreate orderenough ","Neutral",1
"30858","back left ","Neutral",1
"30859","cancel straight ","Negative",1
"30860","customers reported ","Neutral",1
"30861","tough getting ","Positive",1
"30862","esa chalta ","Neutral",1
"30863","length wait ","Negative",1
"30864","t statements ","Neutral",1
"30865","system shockingthey ","Neutral",1
"30866","till broadband ","Neutral",1
"30867","waste space ","Negative",1
"30868","elses phone ","Neutral",1
"30869","even spoken ","Neutral",1
"30870","
""contract another ","Neutral",1
"30871","without extra ","Positive",1
"30872","times l ","Neutral",1
"30873","touch customers ","Neutral",1
"30874","owe debt ","Negative",1
"30875","store lot ","Neutral",1
"30876","companies need ","Neutral",1
"30877","seen full ","Neutral",1
"30878","mind order ","Neutral",1
"30879","s best ","Positive",1
"30880","busy yes ","Positive",1
"30881","t called ","Neutral",1
"30882","reviews give ","Neutral",1
"30883","handled end ","Neutral",1
"30884","phoned evening ","Neutral",1
"30885","various number ","Neutral",1
"30886","knew charges ","Neutral",1
"30887","pound account ","Neutral",1
"30888","enough credit ","Positive",1
"30889","soon running ","Neutral",1
"30890","misadvises someone ","Neutral",1
"30891","showed good ","Positive",1
"30892","texts spent ","Negative",1
"30893","provider"", ""paid ","Neutral",1
"30894","sim contravenes ","Neutral",1
"30895","several chats ","Neutral",1
"30896","days using ","Neutral",1
"30897","good purchase ","Positive",1
"30898","man ever ","Neutral",1
"30899","dreadful reviews ","Negative",1
"30900","changing network ","Neutral",1
"30901","uk went ","Neutral",1
"30902","practices now ","Neutral",1
"30903","car tools ","Neutral",1
"30904","speeds night ","Neutral",1
"30905","discounts accounts ","Neutral",1
"30906","sim though ","Neutral",1
"30907","msg stops ","Negative",1
"30908","abroad g ","Neutral",1
"30909","uk probably ","Neutral",1
"30910","ran details ","Neutral",1
"30911","without talking ","Neutral",1
"30912","recommend company"", ","Positive",1
"30913","trying try ","Neutral",1
"30914","appalling"", ""careful ","Negative",1
"30915","visited different ","Neutral",1
"30916","back addition ","Neutral",1
"30917","money rang ","Positive",1
"30918","charge likely ","Neutral",1
"30919","experience favour ","Neutral",1
"30920","phone older ","Neutral",1
"30921","people goes ","Neutral",1
"30922","provide transaction ","Positive",1
"30923","damage charging ","Negative",1
"30924","deactivated got ","Neutral",1
"30925","long enough ","Negative",1
"30926","shockingly poor"", ","Negative",1
"30927","play soon ","Neutral",1
"30928","sick"", ""never ","Negative",1
"30929","core network ","Neutral",1
"30930","account request ","Neutral",1
"30931","situation call ","Neutral",1
"30932","upgrades irritating ","Negative",1
"30933","reason oh ","Positive",1
"30934","help refund ","Positive",1
"30935","harassed give ","Negative",1
"30936","
""years signal ","Neutral",1
"30937","s rare ","Neutral",1
"30938","people sick ","Negative",1
"30939","d charges ","Neutral",1
"30940","address"", ""absolutely ","Neutral",1
"30941","good noticed ","Positive",1
"30942","accountant believe ","Negative",1
"30943","email things ","Neutral",1
"30944","accept claims ","Positive",1
"30945","replaced twice ","Neutral",1
"30946","bill discover ","Neutral",1
"30947","bill charges ","Neutral",1
"30948","existence paid ","Neutral",1
"30949","sins sept ","Neutral",1
"30950","go straight ","Positive",1
"30951","total phone ","Neutral",1
"30952","uk basedthese ","Neutral",1
"30953","liar bad ","Negative",1
"30954","free include ","Positive",1
"30955","november waitps ","Neutral",1
"30956","well completely ","Positive",1
"30957","provider yet ","Neutral",1
"30958","online due ","Neutral",1
"30959","slow voda ","Negative",1
"30960","ll lucky ","Positive",1
"30961","take board ","Neutral",1
"30962","though job ","Neutral",1
"30963","saying arrears ","Negative",1
"30964","employee gmbh ","Neutral",1
"30965","mean error ","Negative",1
"30966","woth guys ","Neutral",1
"30967","agent informed ","Neutral",1
"30968","customers waited ","Neutral",1
"30969","requested pac ","Neutral",1
"30970","treatment received"", ","Positive",1
"30971","three customer ","Neutral",1
"30972","shop definitely ","Neutral",1
"30973","service"", 
""awful ","Negative",1
"30974","switched uk ","Neutral",1
"30975","central customer ","Neutral",1
"30976","showed absolutely ","Neutral",1
"30977","love guys ","Positive",1
"30978","£ day ","Neutral",1
"30979","life made ","Neutral",1
"30980","ve complained ","Negative",1
"30981","patient unbelievable ","Negative",1
"30982","sign"", ""worst ","Negative",1
"30983","garbage every ","Negative",1
"30984","ombudsman review ","Neutral",1
"30985","th two ","Neutral",1
"30986","matter abrupt ","Negative",1
"30987","request hear ","Neutral",1
"30988","sure contact ","Positive",1
"30989","product return ","Neutral",1
"30990","cost gets ","Neutral",1
"30991","found paying ","Positive",1
"30992","basically know ","Neutral",1
"30993","basis claim ","Neutral",1
"30994","problem website ","Negative",1
"30995","mine got ","Neutral",1
"30996","reduction instead ","Neutral",1
"30997","bill billed ","Neutral",1
"30998","thing didnt ","Neutral",1
"30999","amounts without ","Neutral",1
"31000","nothing order ","Neutral",1
"31001","protected event ","Positive",1
"31002","sunday back ","Neutral",1
"31003","single parent ","Neutral",1
"31004","contract huawei ","Neutral",1
"31005","set go ","Neutral",1
"31006","helpful also ","Positive",1
"31007","£their customer ","Neutral",1
"31008","whereas moving ","Neutral",1
"31009","gb option ","Positive",1
"31010","find gb ","Neutral",1
"31011","aug made ","Neutral",1
"31012","order please ","Positive",1
"31013","thank enough ","Positive",1
"31014","payments gor ","Neutral",1
"31015","review s ","Neutral",1
"31016","mud times ","Negative",1
"31017","faced billing ","Neutral",1
"31018","dozens seen ","Neutral",1
"31019","avoid avoidwhere ","Negative",1
"31020","sort listen ","Neutral",1
"31021","better"", 
""finishing ","Positive",1
"31022","company unfit ","Negative",1
"31023","things hope ","Positive",1
"31024","clerical error ","Negative",1
"31025","completely ignores ","Negative",1
"31026","service extortionate ","Neutral",1
"31027","emails confirmation ","Neutral",1
"31028","gb worst ","Negative",1
"31029","others cheating ","Negative",1
"31030","information resulting ","Positive",1
"31031","month gradually ","Neutral",1
"31032","working home ","Positive",1
"31033","dongle sent ","Neutral",1
"31034","complaint ofcom ","Negative",1
"31035","birthday well ","Positive",1
"31036","""phone bill ","Neutral",1
"31037","times took ","Neutral",1
"31038","italy decided ","Neutral",1
"31039","provider whose ","Neutral",1
"31040","crap recent ","Negative",1
"31041","default called ","Neutral",1
"31042","going house ","Neutral",1
"31043","rejected outstanding ","Negative",1
"31044","due busy ","Neutral",1
"31045","now given ","Neutral",1
"31046","pattern leaving ","Neutral",1
"31047","time posting ","Neutral",1
"31048","used air ","Neutral",1
"31049","therefore still ","Neutral",1
"31050","worse bt ","Negative",1
"31051","second guy ","Neutral",1
"31052","giffgaff"", ""pure ","Positive",1
"31053","telling everyone ","Neutral",1
"31054","things valued ","Neutral",1
"31055","socket plug ","Neutral",1
"31056","least"", ""dad ","Neutral",1
"31057","replacement delivered ","Neutral",1
"31058","intended top ","Negative",1
"31059","decided easily ","Neutral",1
"31060","business shortly ","Neutral",1
"31061","shocking stressful ","Negative",1
"31062","know charges ","Neutral",1
"31063","found now ","Positive",1
"31064","costs add ","Neutral",1
"31065","rating first ","Neutral",1
"31066","person ignored ","Negative",1
"31067","normal person ","Neutral",1
"31068","release line ","Neutral",1
"31069","screwed causing ","Negative",1
"31070","needs top ","Neutral",1
"31071","mad called ","Negative",1
"31072","nine contacts ","Neutral",1
"31073","completely failed ","Negative",1
"31074","sort satisfactory ","Positive",1
"31075","hear anything ","Neutral",1
"31076","established made ","Positive",1
"31077","service mbps ","Neutral",1
"31078","browsing internet ","Neutral",1
"31079","steel look ","Neutral",1
"31080","today sh ","Neutral",1
"31081","""took second ","Neutral",1
"31082","many peoples ","Neutral",1
"31083","good days ","Positive",1
"31084","rarely thats ","Neutral",1
"31085","nice selling ","Positive",1
"31086","giving different ","Positive",1
"31087","working every ","Positive",1
"31088","particularly bad ","Negative",1
"31089","walk past ","Neutral",1
"31090","four weeks ","Neutral",1
"31091","pending also ","Neutral",1
"31092","overseas"", 
""live ","Neutral",1
"31093","money poorest ","Positive",1
"31094","amount something ","Neutral",1
"31095","equivalent flying ","Positive",1
"31096","local mps ","Neutral",1
"31097","numbers bill ","Neutral",1
"31098","cared providing ","Positive",1
"31099","store know ","Neutral",1
"31100","waiting contracts ","Neutral",1
"31101","two timescales ","Neutral",1
"31102","within deal ","Positive",1
"31103","days contacting"", ","Neutral",1
"31104","say synced ","Neutral",1
"31105","cake february ","Neutral",1
"31106","mum degenerative ","Negative",1
"31107","sorted employ ","Neutral",1
"31108","received hefty ","Positive",1
"31109","sure tell ","Neutral",1
"31110","owe value ","Neutral",1
"31111","fails every ","Negative",1
"31112","free around ","Positive",1
"31113","obviously worry ","Negative",1
"31114","samsung windows ","Neutral",1
"31115","trip wild ","Negative",1
"31116","gb space ","Neutral",1
"31117","tel number ","Neutral",1
"31118","m £ ","Neutral",1
"31119","month well ","Positive",1
"31120","may really ","Neutral",1
"31121","ve parents ","Neutral",1
"31122","reading machine ","Positive",1
"31123","unlocking become ","Neutral",1
"31124","ask compensation ","Neutral",1
"31125","going fork ","Neutral",1
"31126","help fufuua ","Neutral",1
"31127","reminders afternoonguess ","Neutral",1
"31128","bothering"", ""crap ","Negative",1
"31129","numbers last ","Neutral",1
"31130","imagine customer ","Neutral",1
"31131","""terrible booked ","Negative",1
"31132","came credit ","Positive",1
"31133","moronic company ","Negative",1
"31134","hell ordered ","Negative",1
"31135","waiting month ","Neutral",1
"31136","prior facility ","Neutral",1
"31137","anyone mention ","Neutral",1
"31138","thanks course ","Positive",1
"31139","shambles company ","Negative",1
"31140","visits months ","Neutral",1
"31141","weekend away ","Neutral",1
"31142","techonline staff ","Neutral",1
"31143","agents service ","Neutral",1
"31144","vodaphone want ","Neutral",1
"31145","things started ","Neutral",1
"31146","good told ","Positive",1
"31147","period code ","Neutral",1
"31148","trying best ","Positive",1
"31149","listen say ","Neutral",1
"31150","titled worst ","Negative",1
"31151","broadband months ","Neutral",1
"31152","sorted age ","Neutral",1
"31153","statement decided ","Neutral",1
"31154","see give ","Neutral",1
"31155","explained offered ","Neutral",1
"31156","sold signed ","Neutral",1
"31157","surprise answered ","Positive",1
"31158","g offer ","Positive",1
"31159","prepay phone ","Neutral",1
"31160","became extremely ","Neutral",1
"31161","rave pay ","Negative",1
"31162","discount new ","Positive",1
"31163","braindead wasting ","Negative",1
"31164","one leave ","Negative",1
"31165","sake trying ","Neutral",1
"31166","mess around ","Negative",1
"31167","mobile plans ","Neutral",1
"31168","work realised ","Positive",1
"31169","costs"", ""undoubtedly ","Neutral",1
"31170","broadband issue ","Neutral",1
"31171","inconvenience organised ","Negative",1
"31172","matters customer ","Neutral",1
"31173","realised provide ","Positive",1
"31174","beach two ","Neutral",1
"31175","review paying ","Neutral",1
"31176","hour explain ","Neutral",1
"31177","capping outside ","Neutral",1
"31178","anywhere spoke ","Neutral",1
"31179","debited even ","Neutral",1
"31180","contract decided ","Neutral",1
"31181","made home ","Neutral",1
"31182","one amazing ","Positive",1
"31183","going cost ","Neutral",1
"31184","lee subsequently ","Neutral",1
"31185","contract suddenly ","Neutral",1
"31186","low standards ","Neutral",1
"31187","email month ","Neutral",1
"31188","resolution anything ","Neutral",1
"31189","one good ","Positive",1
"31190","agreed deal ","Positive",1
"31191","happen automatically ","Neutral",1
"31192","heard broadband ","Neutral",1
"31193","great stuff ","Positive",1
"31194","others network ","Neutral",1
"31195","larger phone ","Neutral",1
"31196","services failed ","Negative",1
"31197","locked hesitant ","Negative",1
"31198","minutes delay ","Negative",1
"31199","network grim"", ","Negative",1
"31200","name record ","Neutral",1
"31201","costumerfufuuefufuuefufuuefufuuefufuue"", ""worst ","Negative",1
"31202","listen happy ","Positive",1
"31203","choice agree ","Positive",1
"31204","pressure driven ","Negative",1
"31205","charges y ","Neutral",1
"31206","issue unless ","Neutral",1
"31207","anyone signal ","Neutral",1
"31208","shot warning ","Negative",1
"31209","best outstanding ","Positive",1
"31210","unbelievable charges"", ","Negative",1
"31211","difficulties rate ","Negative",1
"31212","promises seal ","Positive",1
"31213","though want ","Neutral",1
"31214","way phone ","Neutral",1
"31215","family plan ","Neutral",1
"31216","weeks claiming ","Neutral",1
"31217","spent gb ","Negative",1
"31218","want account ","Neutral",1
"31219","tuesday th ","Neutral",1
"31220","family discount ","Neutral",1
"31221","th happened ","Neutral",1
"31222","rated zero ","Positive",1
"31223","wish stayed ","Positive",1
"31224","acknowledge first ","Neutral",1
"31225","service resolve ","Positive",1
"31226","apologized promised ","Positive",1
"31227","better following ","Positive",1
"31228","upi bank ","Neutral",1
"31229","novice lollast ","Negative",1
"31230","trying able ","Neutral",1
"31231","targeting wind ","Neutral",1
"31232","costsplease refund ","Positive",1
"31233","margin customer ","Neutral",1
"31234","little false ","Negative",1
"31235","said th ","Neutral",1
"31236","chosen hang ","Positive",1
"31237","dehte haaa ","Neutral",1
"31238","info debt ","Negative",1
"31239","communications ltd ","Neutral",1
"31240","toy rude ","Negative",1
"31241","share price ","Positive",1
"31242","youtube videos ","Neutral",1
"31243","international company ","Neutral",1
"31244","speed slow ","Negative",1
"31245","december phoned ","Neutral",1
"31246","connected vodaphone ","Neutral",1
"31247","trained specifically ","Neutral",1
"31248","happy solution ","Positive",1
"31249","day initial ","Neutral",1
"31250","guy put ","Neutral",1
"31251","charged called ","Neutral",1
"31252","absolutely associated ","Neutral",1
"31253","oh cancelled ","Negative",1
"31254","decided put ","Neutral",1
"31255","calls saving ","Positive",1
"31256","months became ","Neutral",1
"31257","made matters ","Neutral",1
"31258","keep guiding ","Positive",1
"31259","store photo ","Neutral",1
"31260","today wanted ","Neutral",1
"31261","went people ","Neutral",1
"31262","call speakerphone ","Neutral",1
"31263","contract agree ","Positive",1
"31264","appalled disgusted ","Negative",1
"31265","time whilst ","Neutral",1
"31266","went home ","Neutral",1
"31267","justifiable give ","Positive",1
"31268","getting away ","Neutral",1
"31269","vodaphone samsung ","Neutral",1
"31270","literally higher ","Neutral",1
"31271","person problem ","Negative",1
"31272","unexpected addional ","Negative",1
"31273","facility use ","Neutral",1
"31274","
""give less ","Neutral",1
"31275","iphone vodaphone ","Neutral",1
"31276","happen"", ""worst ","Negative",1
"31277","charges waiting ","Neutral",1
"31278","charged minutes ","Neutral",1
"31279","arrives day ","Neutral",1
"31280","november first ","Neutral",1
"31281","writing single ","Neutral",1
"31282","definitely use"", ","Neutral",1
"31283","needed replaced ","Neutral",1
"31284","overpaid scam ","Negative",1
"31285","stay"", ""absolutely ","Neutral",1
"31286","deal yet ","Positive",1
"31287","rha ki ","Neutral",1
"31288","use chance ","Positive",1
"31289","cancelled s ","Negative",1
"31290","since repeatedly ","Neutral",1
"31291","clearly true ","Positive",1
"31292","thought difficult ","Negative",1
"31293","enough crack ","Negative",1
"31294","review feels ","Neutral",1
"31295","mohammed complete ","Neutral",1
"31296","streets life ","Neutral",1
"31297","period agreed ","Positive",1
"31298","leave firm ","Negative",1
"31299","repaired due ","Neutral",1
"31300","though hoops ","Neutral",1
"31301","mate gets ","Positive",1
"31302","takes payment ","Negative",1
"31303","team hesitate ","Negative",1
"31304","providers vodaphone ","Neutral",1
"31305","£ offered ","Neutral",1
"31306","basically every ","Neutral",1
"31307","paying front ","Neutral",1
"31308","tuesday told ","Neutral",1
"31309","free chargevery ","Positive",1
"31310","originally phoned ","Neutral",1
"31311","got clue"", ","Neutral",1
"31312","cares customers ","Positive",1
"31313","cancel instructed ","Negative",1
"31314","set wifi ","Neutral",1
"31315","charge matter ","Neutral",1
"31316","looked bill ","Neutral",1
"31317","instantly mc ","Negative",1
"31318","m due ","Neutral",1
"31319","want come ","Neutral",1
"31320","resolved mistake ","Negative",1
"31321","change laugh ","Positive",1
"31322","apply job ","Neutral",1
"31323","visited one ","Neutral",1
"31324","knew straight ","Positive",1
"31325","regret chose ","Negative",1
"31326","calls calls ","Neutral",1
"31327","years days ","Neutral",1
"31328","msg tracked ","Neutral",1
"31329","give thanks"", ","Positive",1
"31330","inform also ","Neutral",1
"31331","obviously restricted ","Negative",1
"31332","hassle fight ","Negative",1
"31333","james persistent ","Positive",1
"31334","worry caused ","Negative",1
"31335","prepaid card ","Neutral",1
"31336","leave"", ""kind ","Positive",1
"31337","point annoyed ","Negative",1
"31338","merchants go ","Neutral",1
"31339","honoring day ","Positive",1
"31340","
""bad connection ","Negative",1
"31341","left mum ","Neutral",1
"31342","excepting miracles ","Positive",1
"31343","raised years ","Neutral",1
"31344","contract shocked ","Negative",1
"31345","iphonex advised ","Neutral",1
"31346","sometimes message ","Neutral",1
"31347","contracts followed ","Neutral",1
"31348","half next ","Neutral",1
"31349","staff solved ","Positive",1
"31350","number information ","Positive",1
"31351","alarm bells ","Negative",1
"31352","handset essential ","Positive",1
"31353","refund day ","Positive",1
"31354","connected overseas ","Neutral",1
"31355","determined uneconomical ","Negative",1
"31356","store text ","Neutral",1
"31357","cancelling wrong ","Negative",1
"31358","rate said ","Neutral",1
"31359","back ages ","Neutral",1
"31360","due issue ","Neutral",1
"31361","memorable hint ","Positive",1
"31362","vodaphone putting ","Neutral",1
"31363","thay dont ","Neutral",1
"31364","different advice ","Neutral",1
"31365","something assured ","Positive",1
"31366","awful even ","Negative",1
"31367","unable submit ","Negative",1
"31368","anything better ","Positive",1
"31369","long spent ","Negative",1
"31370","got texts ","Neutral",1
"31371","others thanks ","Positive",1
"31372","life precious ","Positive",1
"31373","nice man ","Positive",1
"31374","ask returns ","Neutral",1
"31375","told complaints ","Negative",1
"31376","easy left ","Positive",1
"31377","contacted later ","Neutral",1
"31378","away people ","Neutral",1
"31379","away software ","Neutral",1
"31380","huawei work ","Positive",1
"31381","money charged ","Positive",1
"31382","cancelled month ","Negative",1
"31383","monster please ","Positive",1
"31384","nexus p ","Neutral",1
"31385","networksadly torture ","Negative",1
"31386","phone coop ","Negative",1
"31387","wrong allowance ","Negative",1
"31388","energy getting ","Neutral",1
"31389","punctually possiblenow ","Neutral",1
"31390","girl knocking ","Neutral",1
"31391","fufuua also ","Neutral",1
"31392","amount taken ","Neutral",1
"31393","shame still ","Negative",1
"31394","issue sometimes ","Neutral",1
"31395","anyone wishes ","Positive",1
"31396","router ve ","Neutral",1
"31397","services appallingly ","Negative",1
"31398","paper written ","Neutral",1
"31399","mistakes right ","Positive",1
"31400","chat check ","Neutral",1
"31401","circus company ","Positive",1
"31402","totally inane ","Negative",1
"31403","patience moved ","Positive",1
"31404","use european ","Neutral",1
"31405","sudden texts ","Neutral",1
"31406","calls business ","Neutral",1
"31407","improvement service ","Positive",1
"31408","""wish review ","Positive",1
"31409","takes weeks ","Neutral",1
"31410","spent listening ","Negative",1
"31411","major problem ","Negative",1
"31412","thanks"", ""shocking ","Negative",1
"31413","realised m ","Neutral",1
"31414","setting landline ","Neutral",1
"31415","router till ","Neutral",1
"31416","home critical ","Negative",1
"31417","yhouma going ","Neutral",1
"31418","another marathon ","Neutral",1
"31419","put change ","Neutral",1
"31420","customers guessed ","Neutral",1
"31421","come concerned ","Negative",1
"31422","contact repeated ","Positive",1
"31423","universe time ","Neutral",1
"31424","account advised ","Neutral",1
"31425","shop said ","Neutral",1
"31426","moving companies ","Neutral",1
"31427","ended take ","Neutral",1
"31428","day supposed ","Neutral",1
"31429","minutes service ","Neutral",1
"31430","tehy resolve ","Positive",1
"31431","avoid"", 
""provider ","Negative",1
"31432","end seem"", ","Neutral",1
"31433","reply along ","Neutral",1
"31434","garbage company ","Negative",1
"31435","offer issue ","Positive",1
"31436","nd class ","Neutral",1
"31437","contract despite ","Neutral",1
"31438","plug sure ","Neutral",1
"31439","people part ","Neutral",1
"31440","trying accomplish ","Positive",1
"31441","damn might ","Negative",1
"31442","think guy ","Neutral",1
"31443","meant lost ","Negative",1
"31444","cute voice ","Positive",1
"31445","selves right ","Positive",1
"31446","slow run ","Negative",1
"31447","attempting upgrading ","Neutral",1
"31448","less majority ","Positive",1
"31449","problems kept ","Negative",1
"31450","tuesday gave ","Neutral",1
"31451","operatives tell ","Neutral",1
"31452","internet page ","Neutral",1
"31453","automatically cancelled ","Negative",1
"31454","times things ","Neutral",1
"31455","anything dont ","Neutral",1
"31456","told return ","Neutral",1
"31457","contract cancel"", ","Negative",1
"31458","amazing really ","Positive",1
"31459","free credit ","Positive",1
"31460","complaints constantly ","Negative",1
"31461","spain day ","Neutral",1
"31462","agreed apologised ","Positive",1
"31463","minimal useful ","Positive",1
"31464","ask sort ","Neutral",1
"31465","breaking even ","Negative",1
"31466","lives miles ","Neutral",1
"31467","wishing d ","Positive",1
"31468","hell changed ","Negative",1
"31469","buy fiber ","Neutral",1
"31470","""re want ","Neutral",1
"31471","accept getting ","Positive",1
"31472","prices even ","Neutral",1
"31473","fulltime student ","Neutral",1
"31474","stating definitely ","Neutral",1
"31475","unless tipperary ","Neutral",1
"31476","received iphone ","Positive",1
"31477","connection house ","Neutral",1
"31478","
""company worst ","Negative",1
"31479","contract renewed ","Positive",1
"31480","support received ","Positive",1
"31481","
""year old ","Neutral",1
"31482","re subcontractor ","Neutral",1
"31483","time september ","Neutral",1
"31484","showing re ","Neutral",1
"31485","request line ","Neutral",1
"31486","read £ ","Neutral",1
"31487","shocking said ","Negative",1
"31488","use option ","Positive",1
"31489","back listening ","Neutral",1
"31490","dec th ","Neutral",1
"31491","lost deliveries ","Negative",1
"31492","go lets ","Neutral",1
"31493","comms company ","Neutral",1
"31494","still confirmation ","Neutral",1
"31495","line hear ","Neutral",1
"31496","dpd wrong ","Negative",1
"31497","case euro ","Neutral",1
"31498","emotion view ","Neutral",1
"31499","soon"", ""set ","Neutral",1
"31500","new bundle ","Positive",1
"31501","vadafone"", 
""terrible ","Negative",1
"31502","order broadband ","Neutral",1
"31503","man hours ","Neutral",1
"31504","clients bill ","Neutral",1
"31505","always paying ","Neutral",1
"31506","house cards ","Neutral",1
"31507","put bank ","Neutral",1
"31508","emerge now ","Neutral",1
"31509","centre overseas ","Neutral",1
"31510","mobile handsets ","Neutral",1
"31511","stray script ","Negative",1
"31512","brickwall cut ","Negative",1
"31513","money advertising ","Positive",1
"31514","""company keep ","Neutral",1
"31515","feb hitchin ","Neutral",1
"31516","something putting ","Neutral",1
"31517","less expensive ","Negative",1
"31518","excellent however ","Positive",1
"31519","minutes another ","Neutral",1
"31520","lost sim ","Negative",1
"31521","asked closing ","Neutral",1
"31522","taunton alternative ","Neutral",1
"31523","custom moved ","Neutral",1
"31524","store early ","Neutral",1
"31525","help called ","Neutral",1
"31526","one giving ","Positive",1
"31527","running one ","Neutral",1
"31528","agreed window ","Positive",1
"31529","top voucher ","Neutral",1
"31530","""bad internet ","Negative",1
"31531","issues account ","Neutral",1
"31532","stopped coming ","Negative",1
"31533","days"", ""sister ","Neutral",1
"31534","company"", 
""misled ","Negative",1
"31535","abruptly happy ","Positive",1
"31536","august wasted ","Negative",1
"31537","adverts think ","Neutral",1
"31538","account balance ","Positive",1
"31539","competent staff ","Positive",1
"31540","adding lines ","Neutral",1
"31541","using vodafones ","Neutral",1
"31542","first option ","Positive",1
"31543","contract rectify ","Positive",1
"31544","us fool ","Negative",1
"31545","service worryingly ","Negative",1
"31546","resolving errors ","Negative",1
"31547","happened list ","Neutral",1
"31548","moment walk ","Neutral",1
"31549","listens feedback ","Neutral",1
"31550","deal initial ","Positive",1
"31551","next country ","Neutral",1
"31552","repaired cracked ","Negative",1
"31553","edge zero ","Neutral",1
"31554","true"", 
""one ","Positive",1
"31555","ee due ","Neutral",1
"31556","learn etc ","Positive",1
"31557","upgrade data ","Neutral",1
"31558","connection thanks ","Positive",1
"31559","years ashamed"", ","Negative",1
"31560","thought buying ","Neutral",1
"31561","rights still ","Neutral",1
"31562","speed excellent ","Positive",1
"31563","changed appointment ","Neutral",1
"31564","worst robot ","Negative",1
"31565","premiums"", 
""keep ","Neutral",1
"31566","vacation phone ","Positive",1
"31567","start courier ","Neutral",1
"31568","supposed visit ","Positive",1
"31569","decided bothered ","Negative",1
"31570","length custom ","Neutral",1
"31571","less agreed ","Positive",1
"31572","customers use ","Neutral",1
"31573","go went ","Neutral",1
"31574","called spoken ","Neutral",1
"31575","obviously sim ","Neutral",1
"31576","discriminate perhaps ","Negative",1
"31577","constantly phone ","Neutral",1
"31578","injury asked ","Negative",1
"31579","sign ask ","Neutral",1
"31580","offer three ","Positive",1
"31581","checked small ","Neutral",1
"31582","phone reset ","Neutral",1
"31583","endless apologies ","Neutral",1
"31584","december blatant ","Negative",1
"31585","premium service ","Neutral",1
"31586","told late ","Negative",1
"31587","update wont ","Neutral",1
"31588","workplace saying ","Neutral",1
"31589","form nuc ","Neutral",1
"31590","even longer ","Neutral",1
"31591","furthermore every ","Neutral",1
"31592","airtel guess ","Neutral",1
"31593","account place ","Neutral",1
"31594","even discount ","Neutral",1
"31595","refund big ","Positive",1
"31596","leave god ","Negative",1
"31597","everyday country ","Neutral",1
"31598","ombudsman didnt ","Neutral",1
"31599","account checked ","Neutral",1
"31600","make practically ","Neutral",1
"31601","queue hours ","Neutral",1
"31602","suspended messenger ","Negative",1
"31603","gb absolve ","Positive",1
"31604","chat ever ","Neutral",1
"31605","end massive ","Neutral",1
"31606","stress called ","Negative",1
"31607","agreed recorded ","Positive",1
"31608","arrives without ","Neutral",1
"31609","really frustrating ","Negative",1
"31610","address tag ","Neutral",1
"31611","schedule told ","Neutral",1
"31612","includes free ","Positive",1
"31613","real struggle ","Negative",1
"31614","referred shop ","Neutral",1
"31615","compensation bad"", ","Negative",1
"31616","company strung ","Neutral",1
"31617","cost € ","Neutral",1
"31618","experience signed ","Neutral",1
"31619","comparisons refusing ","Negative",1
"31620","oblivious fact ","Negative",1
"31621","minus star ","Positive",1
"31622","unhelpful member ","Negative",1
"31623","say"", 
""saw ","Neutral",1
"31624","charges much ","Neutral",1
"31625","became manager ","Neutral",1
