"","wordcloud_bigram_ee$ngrams","cat_sent_ee","wordcloud_bigram_ee$freq"
"50337","online rep ","Neutral",1
"50338","go km ","Neutral",1
"50339","days deliver ","Neutral",1
"50340","took recently ","Neutral",1
"50341","biggest life ","Neutral",1
"50342","booster box ","Neutral",1
"50343","positive answer ","Positive",1
"50344","heavily rely ","Neutral",1
"50345","luck hope ","Positive",1
"50346","mobile work ","Positive",1
"50347","portfolios shabby ","Negative",1
"50348","twice iphone ","Neutral",1
"50349","
""website time ","Neutral",1
"50350","company"", ""friendly ","Positive",1
"50351","tuesday wednesday ","Neutral",1
"50352","charging unlock ","Neutral",1
"50353","service apparently ","Neutral",1
"50354","elbow back ","Neutral",1
"50355","spoke pac ","Neutral",1
"50356","earliest money ","Positive",1
"50357","name contacted ","Neutral",1
"50358","rude apart ","Negative",1
"50359","others dont ","Neutral",1
"50360","high pressure ","Negative",1
"50361","service"", ""got ","Neutral",1
"50362","rip mention ","Negative",1
"50363","sure realise"", ","Neutral",1
"50364","kidding meps ","Positive",1
"50365","every th ","Neutral",1
"50366","site wonder ","Neutral",1
"50367","much agree ","Positive",1
"50368","purchase requested ","Positive",1
"50369","several dozen ","Neutral",1
"50370","hotspot home ","Neutral",1
"50371","unnecessary money ","Neutral",1
"50372","know number ","Neutral",1
"50373","""last year ","Neutral",1
"50374","home dromore ","Neutral",1
"50375","hate damn ","Negative",1
"50376","telling agents ","Neutral",1
"50377","instructed solicitor ","Neutral",1
"50378","change infosec ","Neutral",1
"50379","upset service ","Negative",1
"50380","runs th ","Neutral",1
"50381","hour discover ","Neutral",1
"50382","statements tell ","Neutral",1
"50383","""extremely satisfied ","Positive",1
"50384","world please ","Positive",1
"50385","company inept ","Negative",1
"50386","tried put ","Neutral",1
"50387","charging year ","Neutral",1
"50388","regret lied ","Negative",1
"50389","focus quite ","Positive",1
"50390","thank nothing"", ","Positive",1
"50391","lydon told ","Neutral",1
"50392","avoid"", 
""absolutely ","Negative",1
"50393","another courier ","Neutral",1
"50394","wait th ","Negative",1
"50395","letters asking ","Neutral",1
"50396","cake touch ","Neutral",1
"50397","sold st ","Neutral",1
"50398","branch especially ","Neutral",1
"50399","number screen ","Neutral",1
"50400","top range ","Neutral",1
"50401","using pop ","Neutral",1
"50402","line ees ","Neutral",1
"50403","additional thank ","Positive",1
"50404","clearly someone ","Positive",1
"50405","obliged top ","Neutral",1
"50406","time update ","Neutral",1
"50407","wait upfront ","Negative",1
"50408","classic phone ","Positive",1
"50409","posts mount ","Neutral",1
"50410","complains problems ","Negative",1
"50411","deal outfit ","Positive",1
"50412","gave longer ","Neutral",1
"50413","person speaking ","Neutral",1
"50414","us send ","Neutral",1
"50415","bly company ","Neutral",1
"50416","replied facebook ","Neutral",1
"50417","barely functional ","Neutral",1
"50418","networkalso often ","Neutral",1
"50419","broadband meant ","Neutral",1
"50420","networks home ","Neutral",1
"50421","none provide ","Positive",1
"50422","seems still ","Neutral",1
"50423","working find ","Positive",1
"50424","even time ","Neutral",1
"50425","everything £ ","Neutral",1
"50426","see facebook ","Neutral",1
"50427","locations metropolitan ","Neutral",1
"50428","asked bill ","Neutral",1
"50429","£pm subsequently ","Neutral",1
"50430","deficiencies politely"", ","Positive",1
"50431","care monthly ","Positive",1
"50432","interest help ","Positive",1
"50433","contract lasted ","Neutral",1
"50434","seamless transition ","Positive",1
"50435","deemed issue ","Neutral",1
"50436","works already ","Positive",1
"50437","now may ","Neutral",1
"50438","computer tech ","Neutral",1
"50439","unauthorised repair ","Neutral",1
"50440","fact hence ","Neutral",1
"50441","cant open ","Neutral",1
"50442","return june ","Neutral",1
"50443","person came ","Neutral",1
"50444","days neither ","Neutral",1
"50445","jokes"", 
""disgusting ","Negative",1
"50446","expensive deals ","Negative",1
"50447","money sort ","Positive",1
"50448","yes cancel ","Positive",1
"50449","click link ","Neutral",1
"50450","hard fulfill ","Positive",1
"50451","father sign ","Neutral",1
"50452","webchat waivered ","Neutral",1
"50453","experience really ","Neutral",1
"50454","memeber left ","Neutral",1
"50455","quality"", ""terrible ","Negative",1
"50456","years domestic ","Negative",1
"50457","weeks respond ","Neutral",1
"50458","may dearer ","Neutral",1
"50459","believe headphones ","Neutral",1
"50460","moment one ","Neutral",1
"50461","pretty weak ","Positive",1
"50462","helpful ask ","Positive",1
"50463","content £ ","Positive",1
"50464","upgraged phone ","Neutral",1
"50465","arrogant stupid ","Negative",1
"50466","say"", ""customer ","Neutral",1
"50467","check although ","Neutral",1
"50468","improves signal ","Positive",1
"50469","now point ","Neutral",1
"50470","asked crack ","Negative",1
"50471","services one ","Neutral",1
"50472","cs phone ","Neutral",1
"50473","speak taking ","Neutral",1
"50474","possibly ten ","Neutral",1
"50475","pay pay ","Negative",1
"50476","improvement needed ","Positive",1
"50477","rdptojects area ","Neutral",1
"50478","problem cancelled ","Negative",1
"50479","longer available ","Positive",1
"50480","said delivery ","Positive",1
"50481","phone makereally ","Neutral",1
"50482","carphone warehouse"", ","Neutral",1
"50483","recommend hope ","Positive",1
"50484","warned went ","Negative",1
"50485","asked order ","Neutral",1
"50486","phone newexcellent"", ","Neutral",1
"50487","logging issues ","Neutral",1
"50488","let others ","Neutral",1
"50489","insurers switch ","Neutral",1
"50490","reason contact ","Positive",1
"50491","sensitivity minutes ","Neutral",1
"50492","blamed excess ","Negative",1
"50493","ever ask ","Neutral",1
"50494","stores stop ","Negative",1
"50495","massive step ","Neutral",1
"50496","text top ","Neutral",1
"50497","never stepping ","Neutral",1
"50498","ask name ","Neutral",1
"50499","worth lot ","Positive",1
"50500","appreciates customers ","Positive",1
"50501","trade now ","Neutral",1
"50502","money joined ","Positive",1
"50503","£ looks ","Neutral",1
"50504","purpose lasts ","Neutral",1
"50505","see world ","Neutral",1
"50506","charging unless ","Neutral",1
"50507","outside help ","Neutral",1
"50508","problem fobbed ","Negative",1
"50509","closed really ","Neutral",1
"50510","missing photos ","Negative",1
"50511","days expecting ","Neutral",1
"50512","see rot ","Negative",1
"50513","advisor sorry ","Negative",1
"50514","extension minutes ","Neutral",1
"50515","usually go ","Neutral",1
"50516","avoid"", ""customer ","Negative",1
"50517","one help"", ","Neutral",1
"50518","really miss ","Neutral",1
"50519","s sign ","Neutral",1
"50520","slowly daughter ","Positive",1
"50521","day turnaround ","Neutral",1
"50522","constantly give ","Neutral",1
"50523","favour experience ","Neutral",1
"50524","sim cos ","Neutral",1
"50525","asked return ","Neutral",1
"50526","charge setting ","Neutral",1
"50527","noticed difference ","Neutral",1
"50528","sarcasm huh ","Negative",1
"50529","chat however ","Neutral",1
"50530","exclusive year ","Neutral",1
"50531","support g ","Positive",1
"50532","work trying ","Positive",1
"50533","bill cancelled ","Negative",1
"50534","phone plans ","Neutral",1
"50535","
""first thought ","Neutral",1
"50536","letter cancelling ","Negative",1
"50537","personal company ","Neutral",1
"50538","explain rules ","Neutral",1
"50539","wondered problem ","Negative",1
"50540","may last ","Neutral",1
"50541","deal sales ","Positive",1
"50542","stress frustration ","Negative",1
"50543","experience guys ","Neutral",1
"50544","wud receive ","Neutral",1
"50545","professional cheaters"", ","Positive",1
"50546","allowed minus ","Neutral",1
"50547","see bill ","Neutral",1
"50548","evening weekend ","Neutral",1
"50549","store last ","Neutral",1
"50550","mins nearest ","Neutral",1
"50551","employee reading ","Positive",1
"50552","etc makes ","Neutral",1
"50553","longer orange ","Neutral",1
"50554","paid"", 
""liars ","Negative",1
"50555","renewing treat ","Neutral",1
"50556","thank amy ","Positive",1
"50557","blame tried ","Negative",1
"50558","afternoon confirm ","Neutral",1
"50559","upgrade sharer ","Neutral",1
"50560","reasons unable ","Negative",1
"50561","void pay ","Negative",1
"50562","seem understand ","Neutral",1
"50563","wait line ","Negative",1
"50564","broadband informed ","Neutral",1
"50565","well second ","Positive",1
"50566","
""long believed ","Neutral",1
"50567","bank copy ","Neutral",1
"50568","""customer three ","Neutral",1
"50569","watch store ","Neutral",1
"50570","newmarket customer ","Neutral",1
"50571","simple waiting ","Neutral",1
"50572","persons account ","Neutral",1
"50573","trust professional ","Positive",1
"50574","farupdate march ","Neutral",1
"50575","much credited ","Positive",1
"50576","help chap ","Neutral",1
"50577","data looks ","Neutral",1
"50578","fufuua"", ""poor ","Negative",1
"50579","address request ","Neutral",1
"50580","store sorry ","Negative",1
"50581","poor end ","Negative",1
"50582","help store ","Neutral",1
"50583","send code ","Neutral",1
"50584","""many problems ","Negative",1
"50585","opt charged ","Neutral",1
"50586","anymore money ","Positive",1
"50587","service"", ""massive ","Neutral",1
"50588","chatted live ","Neutral",1
"50589","service absoloutely ","Neutral",1
"50590","purposes quoted ","Neutral",1
"50591","etc probably ","Neutral",1
"50592","intermittent repair ","Negative",1
"50593","quick call ","Neutral",1
"50594","bournemouth alexfantastic ","Neutral",1
"50595","waste resources ","Negative",1
"50596","customer repaired ","Neutral",1
"50597","otherwise reasonable ","Positive",1
"50598","able fix ","Neutral",1
"50599","two consequences ","Negative",1
"50600","recent complaint ","Negative",1
"50601","experiences part ","Neutral",1
"50602","incompetence solid ","Negative",1
"50603","cancel advised ","Negative",1
"50604","happy sometimes ","Positive",1
"50605","effect also ","Neutral",1
"50606","liars three ","Negative",1
"50607","us current ","Neutral",1
"50608","looking existing ","Neutral",1
"50609","back working ","Positive",1
"50610","review check ","Neutral",1
"50611","suggested employee ","Neutral",1
"50612","cancelled older ","Negative",1
"50613","worst company"", ","Negative",1
"50614","ons dont ","Neutral",1
"50615","work together ","Positive",1
"50616","certain phones ","Positive",1
"50617","treated dirt ","Negative",1
"50618","forced go ","Negative",1
"50619","improving services ","Positive",1
"50620","series automated ","Neutral",1
"50621","cancel agreement ","Negative",1
"50622","never return ","Neutral",1
"50623","team capable ","Positive",1
"50624","place now ","Neutral",1
"50625","online matched ","Neutral",1
"50626","suggesting free ","Positive",1
"50627","scam people ","Negative",1
"50628","christmas last ","Neutral",1
"50629","cocky little ","Negative",1
"50630","used fair ","Positive",1
"50631","number numbers ","Neutral",1
"50632","new supplier ","Positive",1
"50633","notice first ","Neutral",1
"50634","mum present ","Positive",1
"50635","simpler cheaper ","Positive",1
"50636","package really ","Neutral",1
"50637","customers considering ","Neutral",1
"50638","arrived explained ","Neutral",1
"50639","everyones start ","Neutral",1
"50640","usage time ","Neutral",1
"50641","different stores ","Neutral",1
"50642","also solution ","Positive",1
"50643","passed initial ","Neutral",1
"50644","covered looking ","Neutral",1
"50645","result pain ","Negative",1
"50646","received years ","Positive",1
"50647","hopehonestly"", ""orange ","Neutral",1
"50648","continuous phoning ","Neutral",1
"50649","world media ","Neutral",1
"50650","time bill ","Neutral",1
"50651","issued phone ","Neutral",1
"50652","one incompetent ","Negative",1
"50653","existing authority ","Positive",1
"50654","ends leave ","Negative",1
"50655","packing team ","Neutral",1
"50656","frustration cs ","Negative",1
"50657","however latest ","Neutral",1
"50658","plague customer ","Negative",1
"50659","
""catalogue poor ","Negative",1
"50660","letting matter ","Neutral",1
"50661","executive department ","Neutral",1
"50662","department useless ","Negative",1
"50663","bill one ","Neutral",1
"50664","new request ","Positive",1
"50665","disrespectful people ","Negative",1
"50666","suffer issues ","Negative",1
"50667","conflicting info ","Negative",1
"50668","upgrade stated ","Neutral",1
"50669","address perfect ","Positive",1
"50670","live another ","Neutral",1
"50671","tell either ","Neutral",1
"50672","lead scary ","Negative",1
"50673","immediately implied ","Neutral",1
"50674","awareness boss ","Neutral",1
"50675","customers good ","Positive",1
"50676","sims family ","Neutral",1
"50677","bills never ","Neutral",1
"50678","options sim ","Neutral",1
"50679","sort non ","Neutral",1
"50680","upgrade paying ","Neutral",1
"50681","enough already ","Negative",1
"50682","earphones wednesday ","Neutral",1
"50683","friendly easy ","Positive",1
"50684","another business ","Neutral",1
"50685","sky orange ","Neutral",1
"50686","giffgaff took ","Neutral",1
"50687","
""major problems ","Negative",1
"50688","able end ","Neutral",1
"50689","mobilehowever broadband ","Neutral",1
"50690","exactly problem ","Negative",1
"50691","promised contract ","Positive",1
"50692","htc signed ","Neutral",1
"50693","dozen tries ","Neutral",1
"50694","threats taking ","Negative",1
"50695","hand rather ","Neutral",1
"50696","bit payed ","Neutral",1
"50697","forward wouldn ","Positive",1
"50698","account signed ","Neutral",1
"50699","
""difficult find ","Negative",1
"50700","refund absolutely ","Positive",1
"50701","system covering ","Neutral",1
"50702","company employing ","Neutral",1
"50703","thing ask ","Neutral",1
"50704","life replying ","Neutral",1
"50705","longer waiting ","Neutral",1
"50706","vodafone retentions ","Neutral",1
"50707","t told ","Neutral",1
"50708","due equipment ","Neutral",1
"50709","marketplace perkbox ","Neutral",1
"50710","phones takes ","Neutral",1
"50711","time anything ","Neutral",1
"50712","substandard abysmal ","Negative",1
"50713","reason without ","Positive",1
"50714","totally different ","Neutral",1
"50715","busy noticed ","Neutral",1
"50716","took iphone ","Neutral",1
"50717","servicephone returned ","Neutral",1
"50718","""definitely worst ","Negative",1
"50719","lack better ","Positive",1
"50720","moving broadband ","Neutral",1
"50721","days use ","Neutral",1
"50722","highest person ","Neutral",1
"50723","company expect ","Positive",1
"50724","thanks use ","Positive",1
"50725","providers suck ","Negative",1
"50726","simulated therefore ","Neutral",1
"50727","lying loyal ","Positive",1
"50728","now costs ","Neutral",1
"50729","family owned ","Neutral",1
"50730","t great ","Positive",1
"50731","hear technician ","Neutral",1
"50732","office team ","Neutral",1
"50733","hsbc asked ","Neutral",1
"50734","nothing assist ","Positive",1
"50735","guy phoning ","Neutral",1
"50736","isolated issue ","Negative",1
"50737","stephen fry ","Neutral",1
"50738","stay mobile ","Neutral",1
"50739","causing bill ","Neutral",1
"50740","human kindness ","Positive",1
"50741","defensive raised ","Negative",1
"50742","illusion documents ","Negative",1
"50743","possible"", ""mislead ","Negative",1
"50744","old though ","Neutral",1
"50745","system supposed ","Neutral",1
"50746","gentleman whose ","Positive",1
"50747","cs calls ","Neutral",1
"50748","complain unless ","Negative",1
"50749","checker shows ","Neutral",1
"50750","provider based ","Neutral",1
"50751","hand call ","Neutral",1
"50752","jobs properlyspending ","Neutral",1
"50753","obroadband contract ","Neutral",1
"50754","arrive months ","Neutral",1
"50755","proceeded anyway ","Neutral",1
"50756","waited long ","Neutral",1
"50757","automatic received ","Positive",1
"50758","terrible uncaring ","Negative",1
"50759","middle new ","Positive",1
"50760","charges ed ","Neutral",1
"50761","business anythingbeware ","Neutral",1
"50762","working signal ","Positive",1
"50763","problems messaged ","Negative",1
"50764","contacted occasions ","Neutral",1
"50765","wont send ","Neutral",1
"50766","blocked told ","Negative",1
"50767","remedied switching ","Neutral",1
"50768","simple terms ","Neutral",1
"50769","actually said ","Neutral",1
"50770","clever sales ","Positive",1
"50771","swollen split ","Negative",1
"50772","card old ","Neutral",1
"50773","""disgusting service ","Negative",1
"50774","misrepresented sign ","Negative",1
"50775","deal turn ","Positive",1
"50776","sim dispatched ","Neutral",1
"50777","good hard ","Positive",1
"50778","placed another ","Neutral",1
"50779","gave card ","Neutral",1
"50780","re different ","Neutral",1
"50781","go vodafone"", ","Neutral",1
"50782","tracking order ","Neutral",1
"50783","unit jiffy ","Neutral",1
"50784","service gary ","Neutral",1
"50785","experience might ","Neutral",1
"50786","pays cell ","Neutral",1
"50787","opened set ","Neutral",1
"50788","page explaining ","Neutral",1
"50789","now dispute ","Negative",1
"50790","thing ordered ","Neutral",1
"50791","lucky dongle ","Positive",1
"50792","sales teams ","Neutral",1
"50793","able eventually ","Neutral",1
"50794","refund apple ","Positive",1
"50795","company delt ","Neutral",1
"50796","changed bad ","Negative",1
"50797","loyalty non ","Positive",1
"50798","ever mis ","Neutral",1
"50799","nothing horror ","Negative",1
"50800","""phoned ask ","Neutral",1
"50801","day putting ","Neutral",1
"50802","""come end ","Neutral",1
"50803","defence package ","Neutral",1
"50804","went phone ","Neutral",1
"50805","support apple ","Positive",1
"50806","notice also ","Neutral",1
"50807","abed telling ","Neutral",1
"50808","many discussions ","Neutral",1
"50809","spam rather ","Neutral",1
"50810","missing pounds ","Negative",1
"50811","dealt buy ","Neutral",1
"50812","experience suggests ","Neutral",1
"50813","staff shame ","Negative",1
"50814","infamous bt ","Negative",1
"50815","asked use ","Neutral",1
"50816","roaming go ","Neutral",1
"50817","year april ","Neutral",1
"50818","money next ","Positive",1
"50819","speed actually ","Neutral",1
"50820","broke mum ","Negative",1
"50821","pm increase ","Positive",1
"50822","downgrade point ","Negative",1
"50823","uncomfortable end ","Negative",1
"50824","set orange ","Neutral",1
"50825","going leaving ","Neutral",1
"50826","
""worst coverage ","Negative",1
"50827","immediate family ","Neutral",1
"50828","
""want miss ","Neutral",1
"50829","avoid"", 
""simple ","Negative",1
"50830","showed new ","Positive",1
"50831","t vodaphone ","Neutral",1
"50832","perhaps forget ","Negative",1
"50833","physically walk ","Neutral",1
"50834","wish done ","Positive",1
"50835","register using ","Neutral",1
"50836","work"", 
""sold ","Positive",1
"50837","fact pay ","Negative",1
"50838","sell services ","Neutral",1
"50839","testimony little ","Neutral",1
"50840","best ability"", ","Positive",1
"50841","account shafting ","Neutral",1
"50842","whilst driving ","Neutral",1
"50843","device give ","Neutral",1
"50844","extra fee ","Negative",1
"50845","dad ready ","Positive",1
"50846","flawless service ","Positive",1
"50847","thursday last ","Neutral",1
"50848","traffic social ","Neutral",1
"50849","helpful decided ","Positive",1
"50850","due year ","Neutral",1
"50851","deal public ","Positive",1
"50852","straightforward daylight ","Positive",1
"50853","impressed always ","Positive",1
"50854","achieving nothing ","Neutral",1
"50855","explained full ","Neutral",1
"50856","going overcharged ","Neutral",1
"50857","give much ","Neutral",1
"50858","calling use ","Neutral",1
"50859","words check ","Neutral",1
"50860","appalling executive ","Negative",1
"50861","great experiences ","Positive",1
"50862","broadband may ","Neutral",1
"50863","finally grown ","Positive",1
"50864","day confirm ","Neutral",1
"50865","services minus ","Neutral",1
"50866","loved orange ","Positive",1
"50867","misleading customer ","Negative",1
"50868","apple replace ","Neutral",1
"50869","workong phone ","Neutral",1
"50870","penny absolute ","Negative",1
"50871","experience avoid ","Negative",1
"50872","later home ","Neutral",1
"50873","rating possible ","Neutral",1
"50874","""somewhat surprised ","Neutral",1
"50875","cheap fibre ","Negative",1
"50876","call doubt ","Negative",1
"50877","prices usually ","Neutral",1
"50878","mine service ","Neutral",1
"50879","hope fall ","Positive",1
"50880","return contact ","Positive",1
"50881","company shamed ","Negative",1
"50882","courier said ","Neutral",1
"50883","answer tried ","Neutral",1
"50884","banking gb ","Neutral",1
"50885","care monkeys ","Positive",1
"50886","oh joy ","Positive",1
"50887","words disgusting ","Negative",1
"50888","tried diffs ","Neutral",1
"50889","advised add ","Neutral",1
"50890","fixed happy ","Positive",1
"50891","department helpful ","Positive",1
"50892","blocking account ","Negative",1
"50893","yellow boxes ","Neutral",1
"50894","bad somebody ","Negative",1
"50895","browser posted ","Neutral",1
"50896","money parking ","Positive",1
"50897","often quid ","Neutral",1
"50898","staff problem ","Negative",1
"50899","dreamy recently ","Positive",1
"50900","plan applied ","Neutral",1
"50901","finishing everything ","Neutral",1
"50902","entered support ","Positive",1
"50903","second device ","Neutral",1
"50904","dealings discussions ","Neutral",1
"50905","quite flawed ","Negative",1
"50906","enough trying ","Negative",1
"50907","calls rang ","Neutral",1
"50908","went witney ","Neutral",1
"50909","whole morning ","Neutral",1
"50910","apologetic even ","Positive",1
"50911","companies suck ","Negative",1
"50912","thought hey ","Neutral",1
"50913","now case ","Neutral",1
"50914","contact"", 
""went ","Positive",1
"50915","supposed day ","Neutral",1
"50916","better immediately ","Positive",1
"50917","eventually confirm ","Neutral",1
"50918","straitaway asked ","Neutral",1
"50919","disgusting now ","Negative",1
"50920","
""hi called ","Neutral",1
"50921","recommend"", ""without ","Positive",1
"50922","forgive give ","Positive",1
"50923","speed process ","Neutral",1
"50924","ever spent ","Negative",1
"50925","december call ","Neutral",1
"50926","find strange ","Negative",1
"50927","feel spoke ","Neutral",1
"50928","team process ","Neutral",1
"50929","said ah ","Neutral",1
"50930","s cold ","Negative",1
"50931","completely vanish ","Positive",1
"50932","expected service ","Neutral",1
"50933","worked fine ","Positive",1
"50934","went wrongyes ","Neutral",1
"50935","sorely disappointed ","Negative",1
"50936","like providers ","Positive",1
"50937","allowed merge ","Neutral",1
"50938","followed cutting ","Neutral",1
"50939","steam driven ","Neutral",1
"50940","unprofessional th ","Negative",1
"50941","miss orange ","Neutral",1
"50942","warned need ","Negative",1
"50943","requests mid ","Neutral",1
"50944","urge reconsider"", ","Neutral",1
"50945","expect never ","Positive",1
"50946","main reasons ","Positive",1
"50947","slow area ","Negative",1
"50948","centre today ","Neutral",1
"50949","poor bt ","Negative",1
"50950","highly advised ","Neutral",1
"50951","speed aint ","Neutral",1
"50952","customer giving ","Positive",1
"50953","car drove ","Neutral",1
"50954","switched sky ","Neutral",1
"50955","advantage elderly ","Positive",1
"50956","number ported ","Neutral",1
"50957","june call ","Neutral",1
"50958","account amended ","Neutral",1
"50959","account add ","Neutral",1
"50960","music customer ","Positive",1
"50961","later final ","Neutral",1
"50962","big plus ","Positive",1
"50963","properly need ","Positive",1
"50964","fossil phone ","Neutral",1
"50965","became messed ","Negative",1
"50966","ignored us ","Negative",1
"50967","fuming expensive ","Negative",1
"50968","sony m ","Neutral",1
"50969","review saying ","Neutral",1
"50970","ignore consumer ","Negative",1
"50971","company untill ","Neutral",1
"50972","business really ","Neutral",1
"50973","lovely customer ","Positive",1
"50974","service alone"", ","Negative",1
"50975","ago replaced ","Neutral",1
"50976","week broadband ","Neutral",1
"50977","girl shop ","Neutral",1
"50978","people half ","Neutral",1
"50979","claimed insurance ","Neutral",1
"50980","dunfermline centre ","Neutral",1
"50981","much woman ","Neutral",1
"50982","used years ","Neutral",1
"50983","ago renewing ","Neutral",1
"50984","kindness gone ","Positive",1
"50985","expect tablet ","Positive",1
"50986","move system ","Neutral",1
"50987","showing maybe ","Neutral",1
"50988","team incidentally ","Neutral",1
"50989","worst enemy"", ","Negative",1
"50990","provider"", ""view ","Neutral",1
"50991","closed every ","Neutral",1
"50992","buy gbp ","Neutral",1
"50993","network buy ","Neutral",1
"50994","number never ","Neutral",1
"50995","back refund"", ","Positive",1
"50996","practices regards ","Neutral",1
"50997","relationship treat ","Neutral",1
"50998","
""l really ","Neutral",1
"50999","pricing fact ","Neutral",1
"51000","added one ","Neutral",1
"51001","answer finally ","Positive",1
"51002","resolve seemed ","Positive",1
"51003","talking representative ","Neutral",1
"51004","think pay ","Negative",1
"51005","grabbing cuhnts ","Neutral",1
"51006","ombudsman rather ","Neutral",1
"51007","relax watch ","Neutral",1
"51008","civil service ","Positive",1
"51009","refund advised ","Positive",1
"51010","network care ","Positive",1
"51011","lengths take ","Neutral",1
"51012","textsgb internetunlimited ","Neutral",1
"51013","joke due ","Positive",1
"51014","says awaiting ","Neutral",1
"51015","stressed even ","Neutral",1
"51016","getting business"", ","Neutral",1
"51017","wish support ","Positive",1
"51018","line nearly ","Neutral",1
"51019","waiting manager ","Neutral",1
"51020","endure absolutely ","Positive",1
"51021","saying error ","Negative",1
"51022","""phone insurance ","Neutral",1
"51023","neither us ","Neutral",1
"51024","developed app ","Neutral",1
"51025","
""moved home ","Neutral",1
"51026","day perform ","Neutral",1
"51027","home pm ","Neutral",1
"51028","month tired ","Negative",1
"51029","marks ryan ","Neutral",1
"51030","data ideal ","Positive",1
"51031","took additional ","Positive",1
"51032","broadband possibly ","Neutral",1
"51033","despise womans ","Negative",1
"51034","send device ","Neutral",1
"51035","asked company ","Neutral",1
"51036","years thinking ","Neutral",1
"51037","phones different ","Neutral",1
"51038","rude wont ","Negative",1
"51039","time allow ","Positive",1
"51040","chocolate fireguard ","Positive",1
"51041","told engineer ","Neutral",1
"51042","awful crap ","Negative",1
"51043","contact signed ","Positive",1
"51044","followed many ","Neutral",1
"51045","device home ","Neutral",1
"51046","soft rogue ","Positive",1
"51047","disgusting looked ","Negative",1
"51048","g usually ","Neutral",1
"51049","customers served ","Neutral",1
"51050","""misold contractwas ","Neutral",1
"51051","cancelled regardless ","Negative",1
"51052","media years ","Neutral",1
"51053","consigner van ","Neutral",1
"51054","options fully ","Positive",1
"51055","something wrong"", ","Negative",1
"51056","decided revisit ","Neutral",1
"51057","life told ","Neutral",1
"51058","rude read ","Negative",1
"51059","upgrade left ","Neutral",1
"51060","phone full ","Neutral",1
"51061","financial terrorism ","Negative",1
"51062","rude call ","Negative",1
"51063","warned proove ","Negative",1
"51064","call replied ","Neutral",1
"51065","verbally given ","Neutral",1
"51066","call costumer ","Neutral",1
"51067","compatiable signed ","Neutral",1
"51068","company gamecrush ","Neutral",1
"51069","bad well ","Positive",1
"51070","tell specifics ","Positive",1
"51071","weeks escalation ","Neutral",1
"51072","goes amazing ","Positive",1
"51073","sims re ","Neutral",1
"51074","one decent ","Positive",1
"51075","order stating ","Neutral",1
"51076","debit payments ","Neutral",1
"51077","quick took ","Neutral",1
"51078","goes call ","Neutral",1
"51079","odd complete ","Negative",1
"51080","contract eecompletely ","Neutral",1
"51081","line correct ","Positive",1
"51082","outbound sales ","Neutral",1
"51083","woth small ","Neutral",1
"51084","november still ","Neutral",1
"51085","week despite ","Neutral",1
"51086","service"", ""moved ","Neutral",1
"51087","damage caused ","Negative",1
"51088","reply think ","Neutral",1
"51089","level inefficiency ","Negative",1
"51090","shows mins ","Neutral",1
"51091","pretty cheap ","Positive",1
"51092","""upgrade lost ","Negative",1
"51093","bar seconds ","Neutral",1
"51094","relation understanding ","Positive",1
"51095","little hesitant ","Negative",1
"51096","opted much ","Neutral",1
"51097","bundle package ","Neutral",1
"51098","
""tallk whit ","Neutral",1
"51099","basic phone ","Neutral",1
"51100","quoted opened ","Neutral",1
"51101","talkmobile bad ","Negative",1
"51102","listen honour ","Neutral",1
"51103","customers looks ","Neutral",1
"51104","understanding"", ""years ","Positive",1
"51105","fuming time ","Negative",1
"51106","google lots ","Neutral",1
"51107","bt however ","Neutral",1
"51108","apple ran ","Neutral",1
"51109","house txts ","Neutral",1
"51110","last summer ","Neutral",1
"51111","password went ","Neutral",1
"51112","order daughters ","Neutral",1
"51113","ignoring made ","Neutral",1
"51114","wrong dongles ","Negative",1
"51115","understand come ","Neutral",1
"51116","supposed interviewing ","Neutral",1
"51117","abroad work ","Positive",1
"51118","m spending ","Neutral",1
"51119","s expensive ","Negative",1
"51120","online found ","Positive",1
"51121","never used"", ","Neutral",1
"51122","fixed paying ","Neutral",1
"51123","deal discount ","Positive",1
"51124","
""idiots gave ","Negative",1
"51125","later lied ","Negative",1
"51126","fees data ","Neutral",1
"51127","seconds overall ","Neutral",1
"51128","investigate back ","Positive",1
"51129","potentially business ","Neutral",1
"51130","bills something ","Neutral",1
"51131","massive gb ","Neutral",1
"51132","since stick ","Neutral",1
"51133","like big ","Positive",1
"51134","shame shops ","Negative",1
"51135","newport gwent ","Neutral",1
"51136","leave certainly ","Negative",1
"51137","still run ","Neutral",1
"51138","agreed paying ","Positive",1
"51139","agreed year ","Positive",1
"51140","say marketing ","Neutral",1
"51141","handsets one ","Neutral",1
"51142","time communication ","Neutral",1
"51143","signal yeah ","Neutral",1
"51144","provide unlocked ","Positive",1
"51145","pins rather ","Neutral",1
"51146","hence sell ","Neutral",1
"51147","days going ","Neutral",1
"51148","obviously complicated ","Negative",1
"51149","store working"", ","Positive",1
"51150","weeks courier ","Neutral",1
"51151","declined reason ","Neutral",1
"51152","msg £ ","Neutral",1
"51153","software give ","Neutral",1
"51154","deal loyalty ","Positive",1
"51155","moneyball loading ","Neutral",1
"51156","broadband today"", ","Neutral",1
"51157","miscommunicate make ","Neutral",1
"51158","community forum ","Positive",1
"51159","someone instead ","Neutral",1
"51160","day separate ","Neutral",1
"51161","s terrible ","Negative",1
"51162","resigned letting ","Negative",1
"51163","horror stories ","Negative",1
