"","wordcloud_bigram_ee$ngrams","cat_sent_ee","wordcloud_bigram_ee$freq"
"319","awful customer ","Negative",11
"320","staff store ","Neutral",11
"321","card details ","Neutral",11
"322","another days ","Neutral",11
"323","wanted cancel ","Negative",11
"324","two phones ","Neutral",11
"325","wasting time ","Negative",11
"326","took money ","Positive",11
"327","month gb ","Neutral",11
"328","good deal ","Positive",11
"329","sent email ","Neutral",11
"330","time call ","Neutral",11
"331","able use ","Neutral",11
"332","phoned customer ","Neutral",11
"333","sim plan ","Neutral",11
"334","wouldn t ","Neutral",11
"335","per minute ","Neutral",11
"336","finally got ","Positive",11
"337","tech support ","Positive",11
"338","rolling contract ","Neutral",11
"339","order cancelled ","Negative",11
"340","ring ring ","Neutral",11
"341","year ago ","Neutral",11
"342","nothing done ","Neutral",11
"343","samsung s ","Neutral",11
"344","signed contract ","Neutral",11
"345","company now ","Neutral",11
"346","last week ","Neutral",11
"347","phone customer ","Neutral",11
"348","said call ","Neutral",11
"349","much time ","Neutral",11
"350","every day ","Neutral",11
"351","doesn t ","Neutral",11
"352","three times ","Neutral",11
"353","phone got ","Neutral",11
"354","numerous times ","Neutral",11
"355","go another ","Neutral",11
"356","left without ","Neutral",11
"357","broadband service ","Neutral",11
"358","never received ","Positive",11
"359","phone went ","Neutral",11
"360","months go ","Neutral",11
"361","trying sort ","Neutral",11
"362","mobile broadband ","Neutral",11
"363","now phone ","Neutral",11
"364","phone now ","Neutral",11
"365","need pay ","Negative",11
"366","told pay ","Negative",11
"367","well done ","Positive",11
"368","service staff ","Neutral",11
"369","make receive ","Neutral",10
"370","left contract ","Neutral",10
"371","paid £ ","Neutral",10
"372","access account ","Neutral",10
"373","make phone ","Neutral",10
"374","galaxy s ","Neutral",10
"375","contract first ","Neutral",10
"376","phone service ","Neutral",10
"377","told customer ","Neutral",10
"378","extra charges ","Positive",10
"379","full cover ","Neutral",10
"380","g signal ","Neutral",10
"381","haven t ","Positive",10
"382","next bill ","Neutral",10
"383","phone signal ","Neutral",10
"384","renew contract ","Neutral",10
"385","replacement sim ","Neutral",10
"386","phone new ","Positive",10
"387","never recommend ","Positive",10
"388","avoid costs ","Negative",10
"389","ever experienced ","Positive",10
"390","come back ","Neutral",10
"391","credit card ","Positive",10
"392","make call ","Neutral",10
"393","better service ","Positive",10
"394","nearly years ","Neutral",10
"395","phone arrive ","Neutral",10
"396","small print ","Neutral",10
"397","contract expired ","Negative",10
"398","end month ","Neutral",10
"399","services told ","Neutral",10
"400","£ top ","Neutral",10
"401","ever dealt ","Neutral",10
"402","broadband contract ","Neutral",10
"403","mobile company ","Neutral",10
"404","company like ","Positive",10
"405","notice period ","Neutral",10
"406","still charged ","Neutral",10
"407","back next ","Neutral",10
"408","multiple times ","Neutral",10
"409","data unlimited ","Positive",10
"410","nothing problems ","Negative",10
"411","phone months ","Neutral",10
"412","soon contract ","Neutral",10
"413","phone arrived ","Neutral",10
"414","best customer ","Positive",10
"415","new number ","Positive",10
"416","never heard ","Neutral",10
"417","cancelled direct ","Negative",10
"418","apple music ","Positive",10
"419","store staff ","Neutral",10
"420","said nothing ","Neutral",10
"421","cant wait ","Negative",10
"422","gb £ ","Neutral",10
"423","fibre broadband ","Neutral",10
"424","existing customers ","Neutral",10
"425","never go ","Neutral",10
"426","wifi calling ","Neutral",10
"427","care less ","Positive",10
"428","time called ","Neutral",10
"429","contract without ","Neutral",10
"430","service poor ","Negative",10
"431","great service ","Positive",10
"432","contract another ","Neutral",10
"433","contract due ","Neutral",10
"434","now customer ","Neutral",10
"435","two year ","Neutral",10
"436","friendly helpful ","Positive",10
"437","give money ","Positive",10
"438","people like ","Positive",10
"439","contract name ","Neutral",10
"440","better customer ","Positive",10
"441","call centres ","Neutral",10
"442","sent text ","Neutral",10
"443","yet another ","Neutral",10
"444","phone last ","Neutral",10
"445","last bill ","Neutral",10
"446","service even ","Neutral",10
"447","data protection ","Positive",10
"448","shocking customer ","Negative",10
"449","charging £ ","Neutral",10
"450","month free ","Positive",10
"451","iphone x ","Neutral",10
"452","said yes ","Positive",10
"453","local shop ","Neutral",9
"454","miles away ","Neutral",9
"455","extra mile ","Positive",9
"456","service bad ","Negative",9
"457","anyone else ","Neutral",9
"458","orange customer ","Neutral",9
"459","never happened ","Neutral",9
"460","told needed ","Neutral",9
"461","eventually got ","Neutral",9
"462","buy phone ","Neutral",9
"463","mobile service ","Neutral",9
"464","calls texts ","Neutral",9
"465","got call ","Neutral",9
"466","great customer ","Positive",9
"467","spoke another ","Neutral",9
"468","sign contract ","Neutral",9
"469","offer £ ","Positive",9
"470","online chat ","Neutral",9
"471","taken account ","Neutral",9
"472","three years ","Neutral",9
"473","decided go ","Neutral",9
"474","never problem ","Negative",9
"475","cancellation fee ","Negative",9
"476","useless company ","Negative",9
"477","business account ","Neutral",9
"478","offered £ ","Neutral",9
"479","excellent service ","Positive",9
"480","oxford street ","Neutral",9
"481","now still ","Neutral",9
"482","customer many ","Neutral",9
"483","international calls ","Neutral",9
"484","outstanding balance ","Positive",9
"485","technical support ","Positive",9
"486","unlimited texts ","Positive",9
"487","web site ","Neutral",9
"488","phone put ","Neutral",9
"489","new device ","Positive",9
"490","network provider ","Neutral",9
"491","wanted upgrade ","Neutral",9
"492","back phone ","Neutral",9
"493","""orange years ","Neutral",9
"494","sim phone ","Neutral",9
"495","told order ","Neutral",9
"496","absolute joke ","Positive",9
"497","service also ","Neutral",9
"498","worse customer ","Negative",9
"499","go shop ","Neutral",9
"500","day one ","Neutral",9
"501","stay away"", ","Neutral",9
"502","told help ","Neutral",9
"503","sent letter ","Neutral",9
"504","better deals ","Positive",9
"505","still nothing ","Neutral",9
"506","current contract ","Neutral",9
"507","staff rude ","Negative",9
"508","two contracts ","Neutral",9
"509","broadband speed ","Neutral",9
"510","change ownership ","Positive",9
"511","different people ","Neutral",9
"512","service line ","Neutral",9
"513","£ extra ","Positive",9
"514","money account ","Positive",9
"515","bad service ","Negative",9
"516","paying service ","Neutral",9
"517","paying bill ","Neutral",9
"518","kevin bacon ","Neutral",9
"519","person phone ","Neutral",9
"520","still phone ","Neutral",9
"521","need call ","Neutral",9
"522","phone shop ","Neutral",9
"523","couple months ","Neutral",9
"524","later told ","Neutral",9
"525","said need ","Neutral",9
"526","couple years ","Neutral",9
"527","want money ","Positive",9
"528","months old ","Neutral",9
"529","received phone ","Positive",9
"530","etc etc ","Neutral",9
"531","debt collectors ","Negative",9
"532","""worst customer ","Negative",9
"533","terms conditions ","Neutral",9
"534","service got ","Neutral",9
"535","took new ","Positive",9
"536","month told ","Neutral",9
"537","day notice ","Neutral",9
"538","one person ","Neutral",9
"539","online account ","Neutral",9
"540","ordered new ","Positive",9
"541","phone even ","Neutral",9
"542","samsung galaxy ","Neutral",9
"543","new provider ","Positive",9
"544","go wrong ","Negative",8
"545","give damn ","Negative",8
"546","time told ","Neutral",8
"547","phone sim ","Neutral",8
"548","service advisor ","Neutral",8
"549","phone never ","Neutral",8
"550","pay phone ","Negative",8
"551","service phone ","Neutral",8
"552","g coverage ","Neutral",8
"553","£ sim ","Neutral",8
"554","£ taken ","Neutral",8
"555","past months ","Neutral",8
"556","long standing ","Neutral",8
"557","got home ","Neutral",8
"558","phone one ","Neutral",8
"559","got back ","Neutral",8
"560","best part ","Positive",8
"561","three days ","Neutral",8
"562","wanted pay ","Negative",8
"563","day delivery ","Positive",8
"564","said phone ","Neutral",8
"565","still got ","Neutral",8
"566","long story ","Neutral",8
"567","told one ","Neutral",8
"568","avoid avoid ","Negative",8
"569","contract paying ","Neutral",8
"570","two phone ","Neutral",8
"571","good deals ","Positive",8
"572","new address ","Positive",8
"573","gesture good ","Positive",8
"574","solve problem ","Positive",8
"575","call backs ","Neutral",8
"576","said cancel ","Negative",8
"577","day cooling ","Neutral",8
"578","sales person ","Neutral",8
"579","network coverage ","Neutral",8
"580","month bill ","Neutral",8
"581","broadband tv ","Neutral",8
"582","never really ","Neutral",8
"583","calls even ","Neutral",8
"584","wrong phone ","Negative",8
"585","
""went store ","Neutral",8
"586","blah blah ","Negative",8
"587","talk talk ","Positive",8
"588","still pay ","Negative",8
"589","several years ","Neutral",8
"590","data boost ","Positive",8
"591","now months ","Neutral",8
"592","asked cancel ","Negative",8
"593","old contract ","Neutral",8
"594","go customer ","Neutral",8
"595","phone £ ","Neutral",8
"596","s edge ","Neutral",8
"597","made sure ","Neutral",8
"598","want pay ","Negative",8
"599","send email ","Neutral",8
"600","team told ","Neutral",8
"601","service representative ","Neutral",8
"602","phone phone ","Neutral",8
"603","back never ","Neutral",8
"604","phone tablet ","Neutral",8
"605","support team ","Positive",8
"606","phone provider ","Neutral",8
"607","told need ","Neutral",8
"608","day called ","Neutral",8
"609","contract said ","Neutral",8
"610","phone store ","Neutral",8
"611","delivered next ","Neutral",8
"612","highly recommend ","Positive",8
"613","best deal ","Positive",8
"614","called today ","Neutral",8
"615","fault line ","Negative",8
"616","ago still ","Neutral",8
"617","call cancel ","Negative",8
"618","every year ","Neutral",8
"619","text say ","Neutral",8
"620","money even ","Positive",8
"621","pay full ","Negative",8
"622","half price ","Neutral",8
"623","extremely helpful ","Positive",8
"624","p per ","Neutral",8
"625","company years ","Neutral",8
"626","spoke customer ","Neutral",8
"627","give company ","Neutral",8
"628","contract runs ","Neutral",8
"629","data use ","Neutral",8
"630","mobile years ","Neutral",8
"631","customer orange ","Neutral",8
"632","extra gb ","Positive",8
"633","th october ","Neutral",8
"634","phone companies ","Neutral",8
"635","took store ","Neutral",8
"636","service number ","Neutral",8
"637","s plus ","Neutral",8
"638","work properly ","Positive",8
"639","number years ","Neutral",8
"640","taking contract ","Neutral",8
"641","one day ","Neutral",8
"642","never worked ","Positive",8
"643","credit file ","Positive",8
"644","phone stopped ","Negative",8
"645","take hours ","Neutral",8
"646","one seems ","Neutral",8
"647","terminate contract ","Negative",8
"648","account even ","Neutral",8
"649","wasted time ","Negative",8
"650","came £ ","Neutral",8
"651","answer phone ","Neutral",8
"652","try later ","Neutral",8
"653","customer complaints ","Negative",8
"654","service never ","Neutral",8
"655","phone staff ","Neutral",8
"656","now go ","Neutral",8
"657","data usage ","Neutral",8
"658","contract years ","Neutral",8
"659","received bill ","Positive",8
"660","next week ","Neutral",8
"661","without internet ","Neutral",8
"662","month months ","Neutral",8
"663","gb extra ","Positive",8
"664","worst experience ","Negative",8
"665","big bill ","Positive",8
"666","broadband mobile ","Neutral",8
"667","want go ","Neutral",7
"668","cancel phone ","Negative",7
"669","pay another ","Negative",7
"670","far better ","Positive",7
"671","contract taken ","Neutral",7
"672","trying resolve ","Positive",7
"673","value customers ","Neutral",7
"674","told £ ","Neutral",7
"675","already paid ","Neutral",7
"676","help us ","Neutral",7
"677","told speak ","Neutral",7
"678","contract one ","Neutral",7
"679","full amount ","Neutral",7
"680","said want ","Neutral",7
"681","nothing ever ","Neutral",7
"682","run around ","Neutral",7
"683","now £ ","Neutral",7
"684","shop told ","Neutral",7
"685","ever misfortune ","Negative",7
"686","put back ","Neutral",7
"687","never problems ","Negative",7
"688","costumer service ","Neutral",7
"689","service shocking ","Negative",7
"690","wait weeks ","Negative",7
"691","gb month ","Neutral",7
"692","recommend anyone"", ","Positive",7
"693","tried call ","Neutral",7
"694","never came ","Neutral",7
"695","friends family ","Neutral",7
"696","seems like ","Positive",7
"697","please avoid ","Positive",7
"698","really care ","Positive",7
"699","went local ","Neutral",7
"700","still work ","Positive",7
"701","thank god ","Positive",7
"702","using data ","Neutral",7
"703","th november ","Neutral",7
"704","new router ","Positive",7
"705","spoke manager ","Neutral",7
"706","charged twice ","Neutral",7
"707","high street ","Neutral",7
"708","years old ","Neutral",7
"709","price contract ","Neutral",7
"710","anywhere near ","Neutral",7
"711","new line ","Positive",7
"712","without broadband ","Neutral",7
"713","time said ","Neutral",7
"714","g service ","Neutral",7
"715","took month ","Neutral",7
"716","phone took ","Neutral",7
"717","joke company ","Positive",7
"718","call told ","Neutral",7
"719","within minutes ","Neutral",7
"720","agent said ","Neutral",7
"721","month sim ","Neutral",7
"722","trying phone ","Neutral",7
"723","contract started ","Neutral",7
"724","service non ","Neutral",7
"725","anything else ","Neutral",7
"726","miss sold ","Neutral",7
"727","told new ","Positive",7
"728","another bill ","Neutral",7
"729","t work ","Positive",7
"730","treated like ","Positive",7
"731","big company ","Positive",7
"732","change contract ","Neutral",7
"733","absolutely nothing ","Neutral",7
"734","phone deal ","Positive",7
"735","new handset ","Positive",7
"736","upgrade told ","Neutral",7
"737","worst network ","Negative",7
"738","service awful ","Negative",7
"739","month month ","Neutral",7
"740","phone paid ","Neutral",7
"741","calls made ","Neutral",7
"742","calls later ","Neutral",7
"743","couple weeks ","Neutral",7
"744","caller id ","Neutral",7
"745","g speeds ","Neutral",7
"746","star rating ","Positive",7
"747","still took ","Neutral",7
"748","receive text ","Neutral",7
"749","person spoke ","Neutral",7
"750","waiting phone ","Neutral",7
"751","rude customer ","Negative",7
"752","store phone ","Neutral",7
"753","phone called ","Neutral",7
"754","contract days ","Neutral",7
"755","sort problem ","Negative",7
"756","mobile provider ","Neutral",7
"757","£ contract ","Neutral",7
"758","service rep ","Neutral",7
"759","one thing ","Neutral",7
"760","add insult ","Negative",7
"761","months told ","Neutral",7
"762","broadband services ","Neutral",7
"763","getting new ","Positive",7
"764","deal £ ","Positive",7
"765","technical issues ","Neutral",7
"766","never used ","Neutral",7
"767","go away ","Neutral",7
"768","end phone ","Neutral",7
"769","signal area ","Neutral",7
"770","mobile customer ","Neutral",7
"771","old contracts ","Neutral",7
"772","take contract ","Neutral",7
"773","check bill ","Neutral",7
"774","half time ","Neutral",7
"775","service terrible ","Negative",7
"776","now want ","Neutral",7
"777","service appalling ","Negative",7
"778","mis sold ","Neutral",7
"779","confirmation email ","Neutral",7
"780","th may ","Neutral",7
"781","right now ","Positive",7
"782","service worst ","Negative",7
"783","ever use ","Neutral",7
"784","try sell ","Neutral",7
"785","able help ","Neutral",7
"786","even worse ","Negative",7
"787","unlimited calls ","Positive",7
"788","give stars ","Neutral",7
"789","back within ","Neutral",7
"790","back now ","Neutral",7
"791","sales guy ","Neutral",7
"792","needed new ","Positive",7
"793","trading standards ","Neutral",7
"794","phone tried ","Neutral",7
"795","much money ","Positive",7
"796","day received ","Positive",7
"797","photo id ","Neutral",7
"798","contract last ","Neutral",7
"799","told wait ","Negative",7
"800","unlock code ","Neutral",7
"801","data sim ","Neutral",7
"802","deal offered ","Positive",7
"803","back said ","Neutral",7
"804","th july ","Neutral",7
"805","wait minutes ","Negative",7
"806","next time ","Neutral",7
"807","rang told ","Neutral",7
"808","may well ","Positive",7
"809","awful company ","Negative",7
"810","home move ","Neutral",7
"811","ever come ","Neutral",7
"812","work home ","Positive",7
"813","additional £ ","Positive",7
"814","keep charging ","Neutral",7
"815","getting money ","Positive",7
"816","back o ","Neutral",7
"817","ring customer ","Neutral",7
"818","service people ","Neutral",7
"819","£ first ","Neutral",7
"820","take another ","Neutral",7
"821","good signal ","Positive",7
"822","spoke someone ","Neutral",7
"823","service absolutely ","Neutral",7
"824","phone wanted ","Neutral",7
"825","told account ","Neutral",7
"826","internet speed ","Neutral",7
"827","want help ","Neutral",7
"828","go near ","Neutral",7
"829","phone another ","Neutral",7
"830","shop staff ","Neutral",7
"831","sent wrong ","Negative",7
"832","used phone ","Neutral",7
"833","contract got ","Neutral",7
"834","like plague"", ","Neutral",7
"835","experience ever ","Neutral",7
"836","ended paying ","Neutral",7
"837","whole process ","Neutral",7
"838","work phone ","Positive",7
"839","lack customer ","Negative",7
"840","hidden charges ","Negative",7
"841","around months ","Neutral",7
"842","able make ","Neutral",7
"843","contract going ","Neutral",7
"844","wifi box ","Neutral",7
"845","one point ","Neutral",7
"846","another month ","Neutral",7
"847","head office ","Neutral",7
"848","moved house ","Neutral",7
"849","different network ","Neutral",7
"850","customers need ","Neutral",7
"851","story short ","Neutral",7
"852","existing customer ","Neutral",7
"853","kept charging ","Neutral",7
"854","amount data ","Neutral",7
"855","service always ","Neutral",7
"856","faulty phone ","Negative",7
"857","""terrible service ","Negative",7
"858","go phone ","Neutral",7
"859","t care ","Positive",7
"860","price match ","Neutral",7
"861","really bad ","Negative",7
"862","contract company ","Neutral",7
"863","got one ","Neutral",7
"864","account still ","Neutral",7
"865","issue resolved ","Positive",7
"866","problem phone ","Negative",7
"867","never missed ","Negative",7
"868","recommend everyone ","Positive",6
"869","use another ","Neutral",6
"870","contract wanted ","Neutral",6
"871","checked account ","Neutral",6
"872","basically told ","Neutral",6
"873","wanted leave ","Negative",6
"874","contract went ","Neutral",6
"875","zero stars ","Neutral",6
"876","even called ","Neutral",6
"877","false information ","Negative",6
"878","£ pm ","Neutral",6
"879","level customer ","Positive",6
"880","send another ","Neutral",6
"881","th june ","Neutral",6
"882","many occasions ","Neutral",6
"883","use mobile ","Neutral",6
"884","give call ","Neutral",6
"885","£ early ","Neutral",6
"886","got contract ","Neutral",6
"887","phone lines ","Neutral",6
"888","got done ","Neutral",6
"889","dont know ","Neutral",6
"890","delivery charge ","Positive",6
"891","ever deal ","Positive",6
"892","time got ","Neutral",6
"893","go contract ","Neutral",6
"894","make feel ","Neutral",6
"895","monday th ","Neutral",6
"896","account asked ","Neutral",6
"897","wanted £ ","Neutral",6
"898","told store ","Neutral",6
"899","unlimited minutes ","Positive",6
"900","charged two ","Neutral",6
"901","got text ","Neutral",6
"902","service go ","Neutral",6
"903","start new ","Positive",6
"904","phone make ","Neutral",6
"905","access online ","Neutral",6
"906","automated service ","Neutral",6
"907","said well ","Positive",6
"908","free add ","Positive",6
"909","want cancel ","Negative",6
"910","give us ","Neutral",6
"911","th april ","Neutral",6
"912","waste money ","Negative",6
"913","another supplier ","Neutral",6
"914","bank card ","Neutral",6
"915","everything ok ","Neutral",6
"916","gb per ","Neutral",6
"917","read reviews ","Neutral",6
"918","term customer ","Neutral",6
"919","recently changed ","Neutral",6
"920","new plan ","Positive",6
"921","something wrong ","Negative",6
"922","coming end ","Neutral",6
"923","issues customer ","Neutral",6
"924","lot people ","Neutral",6
"925","month later ","Neutral",6
"926","days now ","Neutral",6
"927","paying monthly ","Neutral",6
