Sr.no.,Review_body,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,sent.val1,category_senti1,Date,Weekday,Month and Year,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18
34, travelling time love ,0,1,0,0,1,0,0,0,0,1,0.75,Positive,25-Oct-18,Thursday,Oct-18,1.05,2.3,3.2,1.15,-2.2,0.65,6.4,3.45,-1.25,0.45,-0.25,-0.9,-4.5,0.5,-0.4,-0.1,2.3,-2,
35, easy worked notified charges appropriately great service ,0,0,0,0,0,0,0,0,0,0,1.55,Positive,25-Oct-18,Thursday,Oct-18,1,0.3,3.35,1.55,0.45,0.2,1.05,1.85,2.9,1.6,0,-0.05,-4.1,0,1.25,3.1,3.75,0.7,
36, charged £ gb data ,0,0,0,0,0,0,0,0,0,0,0,Neutral,25-Oct-18,Thursday,Oct-18,3.5,1,-6,2.35,-0.55,-1.65,3,2.25,-0.45,-4.2,1,-1.85,-2.4,0.6,-3.15,-2.1,1.95,2.75,
37, year old mother wanted new smart phone visited store macclesfield served ryan absolute credit patient explained everything clearly offered sessions help mother familiarise forgot anything idea signal sales customer service like first impressions brilliant ,0,4,0,0,2,1,0,3,1,7,3.95,Positive,25-Oct-18,Thursday,Oct-18,3.3,1.25,-5,0.45,-0.15,1.35,-1.7,-5.15,1.5,3.05,-2.4,1,2.45,0.1,-1.5,-1.5,-1.95,1.35,
38, years now cheapest inclusive minutes texts data price plans problems literally phone signal anywhere house local supermarket literally nowhere uk ring indian call centre blame local area poor signal say lorry driver signal poor everywhere blame handset say four different top market hand sets non work signal horrendous indian call centres use make difficult explain problems give end put awful customer service signalconclusion actually going stop tight pay abit use decent network proper coverage actually able use phone services pay problems speak someone speaks english understands problems horrendous signal ,2,3,2,2,1,1,0,3,2,7,-1.95,Negative,24-Oct-18,Wednesday,Oct-18,2.4,2.55,-0.35,-1.55,0.95,4.9,1.4,-4.15,-4.05,-1.2,-2.75,2.75,-2.5,-1.75,-3.25,0.75,-2.7,-1.45,
39, customer service team understood word saying think got better taking different contacts finding area never signal town cancelled day period receives bills nearly £ phone call phone call struggled someone actually listen never go ridiculous unhappy company ,2,0,2,0,0,1,0,2,2,2,-2,Negative,24-Oct-18,Wednesday,Oct-18,0.8,4.2,2.85,-1.75,1.75,1.5,3.9,-1.45,-1.8,3.65,1.4,2.4,5.25,4.3,-3.45,-1,1,-0.8,
40, worst customer service ordered new phone upgrade arrive waited day wasted vacation day called complain said manager call within hours came went called said someone call within one hour never happened finally got complaints department repeated fifth time got th apology offered £ discount told bother time move asap another provider reply good enough considering written check spelling sincere apology matter resolved ,2,5,2,0,3,1,2,3,3,7,0.7,Positive,24-Oct-18,Wednesday,Oct-18,-0.5,0.8,1.11E-16,1.4,-0.4,10.95,2.2,1.85,2.3,2.65,0.6,0.55,1.75,-2.5,1.6,-0.35,-0.45,1,
41, quick info others elaine reviews left message callers able hear phone side converstation appears bug little whereby drop orange g network coverage anyone calls altough answer phone hear hear think sometimes also happens making call see signal bars gg shown phone likley dropped g best recommend volte enabled g phone think come unless iphone g areas seem covered g mhz band hopefully able call areas g voice calling actually working well now ,0,2,1,1,0,0,0,2,2,2,2.75,Positive,24-Oct-18,Wednesday,Oct-18,2.6,4.1,0.85,-0.8,2.35,2.65,-0.65,-0.5,3.3,-0.5,6.5,0.55,0.3,-0.75,0.85,1.35,-1.3,2.7,
42, thanks replyindian call centre person understand problem uk customers even problem internet signalslow complained many time online still problem resolve received message problem resolved fact value customernow days app free internet bundle anyway think suggest group leave another provider value customer ,0,1,0,1,0,2,1,2,2,2,1.35,Positive,24-Oct-18,Wednesday,Oct-18,1.45,3.5,5.3,0.15,3.6,3.95,2.4,6.8,0.3,0.7,3.05,-1.25,0.4,2.35,2.85,0.1,0.45,-0.75,
43, deal customer services yet comment lot trouble connection since taking mobile contracts almost two years ago second contract yr old daughter thankfully many issues constantly losing service completely certain places eg local asda supermarket phone certain parts storefufuu go far right shop phone allow calltext use internet frustrating tried switching mobile etc nothing helps joining much older model phone o honestly say problems whatsoever connection asda anywhere else matter one else spoken seems problem issue even annoying caused lot inconvenience last years phone certain people like somefamily members etc mobile phones hear speaking hear unable hear hang call normally resolves always occasions call back times finally hear anything daughter taken e year ago stay home dad went absolutely infuriating every time tried contacting dad update condition phone twice times eventually connected made whole situation even stressful contract ends february daughters april afraid really think anything tempt stay ,2,4,1,2,3,4,2,3,5,6,-1.45,Negative,24-Oct-18,Wednesday,Oct-18,5.8,1,0.9,1,1,2.3,0.75,2.85,2.75,2.05,0.15,1.45,1.5,-0.85,-2.75,-3.95,-1.1,-0.25,
44, father years now really frustrated recent attempt upgrade phone website says upgrade phone th november date final bill due taken direct debit however wanted upgrade week went onto account manually made payment still wanted charge us £ early upgrade despite think crazy made payment cleared worst part phone wouldn t delivered till th november anyway basically paying quid phone two days earlier although polite woman phone failed understand saying  ve come phone thinking probably better end contract stick phone ,2,1,0,1,0,1,0,2,3,1,-0.8,Negative,23-Oct-18,Tuesday,Oct-18,1.25,-0.4,-2.7,0.9,0.65,0.55,-0.05,3.25,0.05,5.85,-3.1,0.3,-0.7,0.35,3,0.65,1.1,-8.4,
